"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus"
"1","2021-04-05 14:26:04-03","UNESC","CRI","12152","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","Verdi, M","2010","05","26","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4501","2010","04","28","Brasil","Santa Catarina","Garopaba","Morro da Ressacada.","-48.69","-28.08","48º41'24''W","28º4'48''S","147","147","Florística IFFSC 175 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbórea;","CRI010330","CRI010330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:04-03","UNESC","CRI","9639","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","A. Stival-Santos","2010","08","25","A. Stival-Santos; D. Meyer & S. Silveira","3171","2010","07","06","Brasil","Santa Catarina","Tijucas",NA,"-48.705833","-27.331389","48º42'21''W","27º19'53''S","25","25","Floresta Ombrófila Densa Habitat: pastagem Habito: arbórea","CRI009577","CRI009577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1758936","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowana","Tocoyena sellowana","(Cham. & Schltdl.) K.Schum.",NA,NA,NA,NA,"L. A. Pereira","181","2011","02","22","Brazil","Paraíba","João Pessoa","Mata Ciliar do Rio Cabelo: Mangabeira.","-34.8631","-7.115",NA,NA,"47",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013709' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758936","NY01758936_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503072","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","L. B. Smith",NA,NA,NA,"L. B. Smith","7597","1956","11","13","Brazil","Santa Catarina","Ibirama","Along Rio Itajaí do Oeste above Ibirama","-49.5178","-27.0569",NA,NA,"100","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503072","NY00503072_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503068","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","A. L. Prado",NA,NA,NA,"M. de N. do C. Bastos","66","1978","03","18","Brazil","Pará",NA,"Marajó, Ensenada de Joanes, arrededores de Praia","-48.510046","-0.874688",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503068","NY00503068_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1006203","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","A. L. Prado",NA,NA,NA,"J. S. Blanchet","s.n.","1831",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006203","NY01006203_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503073","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","A. L. Prado",NA,NA,NA,"W. R. Anderson","37053","1972","03","16","Brazil","Bahia","Cocos","Extensive limestone outcrop 6 km S of Cocos, and adjacent pastures","-44.53","-14.18",NA,NA,"520","520","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503073","NY00503073_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503071","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","L. B. Smith",NA,NA,NA,"L. B. Smith","11826","1957","02","25","Brazil","Santa Catarina","Mondaí","Ruderal, 9 km e of Mondai","-53.4017","-27.1031",NA,NA,"200","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503071","NY00503071_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","503070","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","A. L. Prado",NA,NA,NA,"D. V. Johnson","32","1972","02","21","Brazil","Pernambuco","Recife","Praia da Conceiçao, 25 km N of Recife","-34.8808","-8.0542",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503070","NY00503070_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","503077","PreservedSpecimen","Plantae","Rubiaceae","Tocoyena","sellowiana","Tocoyena sellowiana","(Cham. & Schltdl.) K.Schum.","L. B. Smith",NA,NA,NA,"R. Reitz","4803","1952","12","05","Brazil","Santa Catarina","Brusque","Azambuja","-48.910147","-27.126635",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503077","NY00503077_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA
