"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","376564","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana","L.B.Sm.","L. B. Smith","G. G. Hatschbach","27198","1971","10","08","South America","Brazil","Paraná","Sengés","Senges, Estr. S. Antonio-Itararé","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376564","NY00376564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:52-03","MN","R","212495","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana","L.B. Sm.","Santos-Silva, F.","Moura, R. 692; Vianna-Filho, M.D.M.",NA,"2008","09","19",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"R010005697",NA,"2015","03","20","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:16-03","IAP","PACA-AGP","51164","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana","L. B. Smith","L. B. Smith","Hatschbach, G.","1567","1940","09","18",NA,"Brasil","PR","Campo Largo","Serra S. Luis de Puruña","-49.5283012390137","-25.4585990905762",NA,"Flor laranja-avermelhado. Habitat: in rupestribus (afloramento de arenito) Fenofase: flor","PACA051164",NA,"1954","05","17","53742","auto","Liliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:19:23-03","MBM","MBM","34113","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana robustior","L.B.Sm.","Smith, L.B.","Hatschbach, G.","17310","1967","10","05","Southern America","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-49.0553016662598","-25.3055992126465",NA,"Rupícola, topo do morro, flor amarela; Rupícola, flor amarela.; Topo do morro.","MBM034113","MBM034113",NA,NA,NA,"55154","auto",NA,"robustior","ISOTYPE","1950","1950",NA,NA,NA,NA,NA
"5","2020-12-21 16:19:23-03","MBM","MBM","320531","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana robustior","L.B.Sm.","Büneker, H.M.","Silva, J.M.; Barboza, E.; Barboza, E.","5067","2006","09","22","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,"Sobre pedra, flor zarcão.; Alto do morro.","MBM320531","MBM320531","2006",NA,NA,"55154","auto",NA,"robustior",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:18:23-03","UFPR","UPCB","50420","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana var. robustior","Dyckia fosteriana var. robustior","L.B.Sm.","Büneker, H.M.","Stange, E.J.","38","2004","09","26",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,"Herbácea, 40cm, pétalas alaranjadas. Refúgio vegetacional..",NA,NA,"2016","06","01","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:18:23-03","UFPR","UPCB","43288","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana var. robustior","Dyckia fosteriana var. robustior","L.B.Sm.","Büneker, H.M.","Santos, E.P.","918","2000","10","06",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Rupícola, flor alaranjada. Campo de altitude, 1350 m de altitude.",NA,NA,"2016","06","01","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-17 04:41:00-03","MO","MOBOT","2452832","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana fosteriana",NA,NA,"M. B. Foster","Foster 1154","1940",NA,NA,"South America","Brazil","Paraná",NA,"Serra São Luis de Purunã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fosteriana",NA,NA,NA,"1",NA,NA,NA,NA
"9","2009-07-09 17:05:00-03","MO","MOBOT","2452849","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana robustior","L.B. Sm.",NA,"Gert G. Hatschbach","Hatschbach 17310","1967","10","5","South America","Brazil","Paraná",NA,"Campina Grande do Sul. Pico Caratuva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"robustior",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2647935","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","fosteriana","Dyckia fosteriana",NA,NA,"G. Hatschbach","27198","1971","10","8","South America - Neotropics","Brazil","Paraná","Sengés","Estr. S. Antonio-Itararé","-49.4636001586914","-24.1128005981445",NA,NA,"US01935343","US01935343_01",NA,NA,NA,"55682","auto","Monocotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA
