"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","barcode","imagecode","recordNumber","continentOcean","country","occurrenceRemarks","class","typeStatus","decimalLongitude","decimalLatitude","fieldNumber","stateProvince","identifiedBy","year","month","day","county","locality","coordinatePrecision","relatedCatalogItem","geoFlag","yearIdentified","monthIdentified","sex","preparationType","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-04-08 17:38:21-03","EAO","IAN","5177","PreservedSpecimen","Plantae","Dicotiledônea","Euphorbiaceae","Croton","oliganthus","Croton oliganthus","Müll.Arg.","sc","IAN005177","IAN005177_ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:12-02","BGBM","B","B 10 0127730","S","Plantae",NA,"Euphorbiaceae","Croton","oliganthus","Croton oliganthus",NA,"F. Sellow","B100127730","B100127730","1243","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B100127730 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-09-04 18:50:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Euphorbiaceae","Croton","oliganthus","Croton oliganthus",NA,"F. Sellow",NA,NA,NA,"South America","Brazil",NA,"Dicotyledoneae","Type [status unknown]","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-07-09 13:24:13-03","F","FMNH-SEEDPLANTS","V0192366F","PreservedSpecimen","Plantae","Spermatophyta","Euphorbiaceae","Croton","oliganthus","Croton oliganthus",NA,"R. Harley","V0192366F","V0192366F_01 V0192366F_02","24341","South America","Brazil",NA,"Dicotyledoneae",NA,"-42","-11","24341","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-23 12:06:04-03","CEPLAC","CEPEC","34012","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","oliganthus","Croton oliganthus",NA,"F. S. Santos",NA,NA,"130",NA,"Brasil","<ll>dwc_commonname:</ll> Laranjeiras",NA,NA,"-39.0247001647949","-16.2780990600586",NA,"Bahia","M. B. R. Caruzo","1984","01","17","SANTA CRUZ CABRÁLIA","Área da Estação Ecológica do Pau-brasil (ESPAB). CEPLAC, ca. 16Km a W de Porto Seguro, Rod. BR-367.","49584","30/12/1989","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 10:04:04-03","IBt","SP","221485","S","Plantae",NA,"Euphorbiaceae","Croton","oliganthus","Croton oliganthus","Müll.Arg.","Harley, RM; et al.",NA,NA,"24341",NA,"Brasil",NA,NA,NA,"-41.5924987792969","-13.5166997909546",NA,"Bahia","Cordeiro, I","1987","02","16","Jussiapê","Água empoçada à margem do rio de Contas, próximo da Cidade. Cachoeira da Fraga.","26624",NA,"auto","1988","03",NA,NA,NA,NA,NA
"7","2010-08-16 16:38:40-03","A","HU-HERB","A 00047368","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Croton","oliganthus","Croton oliganthus","Müller Argoviensis","F. Sellow",NA,NA,"1243","South America","Brazil",NA,NA,"Isotype",NA,NA,"1243",NA,NA,NA,NA,NA,NA,"Inter Victoriam et Bahiam",NA,NA,NA,NA,NA,"undetermined","Sheet",NA,NA,NA
"8","2014-09-23 10:57:31-03","G","G","G00434596","S","Plantae",NA,"Euphorbiaceae","Croton","oliganthus","Croton oliganthus","Müll. Arg.","Sellow, F.","G00434596",NA,NA,"AMERIQUE DU SUD","Brazil","Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site",NA,"ISOTYPUS of Croton oliganthus Müll. Arg.","-53.08972222","-10.77305556",NA,NA,"Riina, R.",NA,NA,NA,NA,NA,NA,NA,NA,"2009","01",NA,NA,"01","-53.08972222","-10.77305556"
