"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","615508","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","riedeliana","Marlierea riedeliana","(O.Berg) D.Legrand","M. Sobral","S. C. de Sant'Ana","481","1993","11","29","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Cerca de 500 m. S do Distrito de Crasto (passando pelo Cemitéria)","-37.4481","-11.3508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615508","NY00615508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:42-03","ESALQ","ESA","9104","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","riedeliana","Marlierea riedeliana","(O. Berg) D. Legrand","Matsumoto, K.","Moraes, P.L.R.","819.0","1993","03","28",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA009104",NA,"2011","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:38-03","UFV","VIC","7263","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","riedeliana","Marlierea riedeliana",NA,NA,"Silva, A.F.","130","1979","02","13",NA,"Brasil","São Paulo","Ubatuba","Estação Experimental","-45.0699996948242","-23.4300003051758",NA,"Árvore de ca 10 m, de flores brancas muito aromática","VIC007263","VIC007263",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:23-03","UFJF","CESJ","70852","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E.Wilson","L.A. Funez","M. Verdi","5880","2011","02","18","América do Sul","Brasil","Santa Catarina","Blumenau","Parque Municipal São Francisco de Assis","-49.079167","-26.922222",NA,"Floresta Ombrófila Densa; estágio avançado. Arbórea, flor branca.","CESJ070852",NA,"2017",NA,NA,"05","02","-49.079167","-26.922222","87","87",NA,NA,NA,NA,NA
"5","2021-03-01 16:36:44-03","UNICAMP","UEC","160158","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson","Staggemeier, VG","Guedes, R; et al.","2292","1993","02","04",NA,"Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Trilha do Morro do Calcário. Ponto 900. Área P3D.","-42.25","-22.5",NA,"Indivíduo P0442. Caule com casca lisa esfoliante; ramos argenteos, folhas verdes discolores com pêlos dourados ao longo da nervura principal e face abaxial; floers alvo-esverdeadas; frutos imaturos verdes. DAP 9. Altura: 7,0 m.","UEC017450","UEC017450","2018",NA,NA,"06",NA,"-42.25","-22.5",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:36:44-03","UNICAMP","UEC","157771","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Matsumoto, K; Santos-Gonçalves, AP","770","2002","02","18",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Picadão da Marinha, Margem do Rio Picinguaba.","-44.811111","-23.347222",NA,"Árvore ca. 20 m, caule liso, com manchas mais escuras, flores e botões brancos.","UEC013849","UEC013849",NA,NA,NA,NA,NA,"-44.811111","-23.347222","14","14",NA,NA,NA,NA,NA
"7","2021-03-01 16:36:44-03","UNICAMP","UEC","121358","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Oliveira, PP","969A","1997","04","29",NA,"Brazil","Rio de Janeiro","Rio das Ostras","Reserva biológica União.","-41.9449996948242","-22.5268993377686",NA,"Brejo trilha 9.","UEC008197","UEC008197",NA,"17620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:36:44-03","UNICAMP","UEC","121389","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Baitello, JB","100","1983","08","12",NA,"Brazil","São Paulo","Cananéia","Parque estadual da Ilha do Cardoso, às margens do rio Pereque.","-47.9199981689453","-25.0100002288818",NA,"Árvore 10m de alt, frutos verdes.","UEC008196","UEC008196",NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:36:44-03","UNICAMP","UEC","29098","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson","Staggemeier, VG","Martins, FR; Dias, AC","12379","1980","07","11",NA,"Brazil","São Paulo","Cunha","Reserva Estadual.","-44.9599990844727","-23.0699996948242",NA,"Árvore 12m de alt, no interior da mata. Inflorescência envolvida por um capuz castanho. Flores branco-castanhos. Frutos.","UEC033237","UEC033237","2018","38855","auto","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:36:44-03","UNICAMP","UEC","118393","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Assis, MA; et al.","738","1996","02","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Árvore 8m de altura- flores velhas brancas.; Mangue doce","UEC008202","UEC008202",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:36:44-03","UNICAMP","UEC","118395","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Assis, MA; Furlan, A; Carneiro, CE","536","1995","04","19",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Arvoreta com 5m, frutos frutos verdes.; Mange Doce.","UEC008200","UEC008200",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:36:44-03","UNICAMP","UEC","118394","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Costa, R; et al.","20","1988","05","07",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,"Arvoreta de tromco liso. Frutos verdes.","UEC008201","UEC008201",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:36:44-03","UNICAMP","UEC","118397","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Sanchez, M; Pedroni, F","48","1992","07","12",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. P. E. Serra do Mar- Margens do Rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore nº 16, 7m alt. , CAP. 46cm, frutos imaturos verdes e maduros pretos.","UEC008198","UEC008198",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:36:44-03","UNICAMP","UEC","118396","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","neoriedeliana","Myrcia neoriedeliana","E.Lucas & C.E. Wilson",NA,"Furlan, A; et al.","420","1988","04","09",NA,"Brazil","São Paulo","Ubatuba","Picinguaba. Restinga, estrada da casa da Farinha.","-45.0699996948242","-23.4300003051758",NA,"Árvore, 14m de alt, tronco liso e fuste de 6m. Frutos verdes.","UEC008199","UEC008199",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
