"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","class","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1523299","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","P. Clausen","114","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523299","NY01523299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1523268","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","H. S. Irwin","28789","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523268","NY01523268_01","1971","01","20","Minas Gerais","Serra do Espinhaço. Summit and upper slopes on S. side, Serra da Piedade, ca. 5 km N. of Caeté.","-43.4927778","-20.1263","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1523289","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","L. Riedel","16","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792453' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523289","NY01523289_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1523267","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","H. S. Irwin","30393","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792388' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523267","NY01523267_01","1971","01","15","Minas Gerais","Serra do Espinhaço, upper shrub covered slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.7263889","-19.83305","1850","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1523288","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","Martii Herbar. Florae Brasil.","929","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523288","NY01523288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","909758","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","A. B. Martins","Martii Herbar. Florae Brasil.","929","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909758","NY00909758_01","1841",NA,NA,NA,"Brasil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","909759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","A. B. Martins","P. Clausen","114","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909759","NY00909759_01",NA,NA,NA,"Minas Gerais","Serra da Piedade.","-43.675674","-19.822323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1523291","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(DC.) A.B.Martins","K. F. Rodrigues","L. R. Landrum","4295","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523291","NY01523291_01","1982","02","02","Minas Gerais","Serra da Piedade, km 1-5 on road to top of Serra.","-43.75","-19.92","1200","1700","Caeté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:44:46-03","EAO","IAN","138712","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.","Wurdack, JJ","Irwin, HS; Harley, RM","28789","Southern America","Brasil",NA,NA,"IAN138712",NA,"1971","01","20","Minas Gerais","Summit and upper slopes on S. side, Serra da Piedade, iron-rich soil, ca. 5km N. of Caeté.",NA,NA,"2000","2000",NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:44:46-03","EAO","IAN","138824","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.","Wurdack, JJ","Irwin, HS; Harley, RM","30393","Southern America","Brasil",NA,NA,"IAN138824",NA,"1971","01","15","Minas Gerais","Upper shrub-covered slopes of Serra da Piedade, with iron-rich rocks and gravel, the soil restricted to crvices and pookets ca. 35km E of Belo H., near BR 31.",NA,NA,"1850","1850",NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:04:58-03","NBC","NL-BOTANY","L.1086681","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Claussen P",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086681","NL-L1086681",NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:04:58-03","NBC","NL-BOTANY","L.1086682","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Claussen P",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086682","NL-L1086682",NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:04:58-03","NBC","NL-BOTANY","L.2556907","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Martius CFP von",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2556907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2556907","NL-L2556907",NA,NA,NA,NA,"Brasil.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:04:58-03","NBC","NL-BOTANY","L.2556908","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Martius CFP von",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2556908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2556908",NA,NA,NA,NA,NA,"Brasil.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:04:58-03","NBC","NL-BOTANY","L.2556909","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Claussen P",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2556909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2556909","NL-L2556909","1841","01","01",NA,"Brésil (Minas geraes).",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:04:58-03","NBC","NL-BOTANY","WAG.1094995","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Irwin HS; Harley RM; Onishi E",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1094995 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1094995","NL-WAG1094995","1971","01","15",NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco. Ca. 35 km E. of Belo Horizonte, near BR-31.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:04:58-03","NBC","NL-BOTANY","WAG.1094996","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pyramia","pityrophylla","Pyramia pityrophylla","Cham.",NA,"Irwin HS; Harley RM; Onishi E",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1094996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1094996","NL-WAG1094996","1971","01","20",NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco. Summit and upper slopes on S. side, Serra da Piedade, iron-rich soil, ca. 5 km N. of Caete.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:13:20-03","ESALQ","ESA","27910","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla",NA,"Rodrigues, K.F.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","10065.0",NA,"Brasil",NA,"Arbusto, ca. 15 cm alt.; pétalas e estames amarelos.","ESA027910","ESA027910","1996","01","11","Minas Gerais","Serra da Piedade. 19º49'07,6S, 43º40'44,1W. 1480m.s.m. Campo rupestre.","-43.6697006225586","-19.8799991607666","1480","1480","Caeté",NA,NA,"22051","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:31:36-03","MN","R","9275","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","pityrophylla","Cambessedesia pityrophylla","(Mart. ex DC.) A.B.Martins","Martins, A.B.","Glaziou, A.F.M.","14706 a",NA,"Brasil",NA,"Plantas do Brasil Central","R000009275","R000009275_001","1879","04","12","Minas Gerais",NA,NA,NA,NA,NA,"Caraça","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
