"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","501357","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","7007","1998","12","05","South America","Brazil","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Rod. SC-438, km 34. Hotel Rural Passo Velho","-49.55","-28.38","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501357","NY00501357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","501335","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","6985","1998","12","05","South America","Brazil","Santa Catarina","Lauro Muller","Loc. Novo Horizonte, estz. SC-403, km 12, proprietade Olavo Mariotti","-49.47","-28.38","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501335","NY00501335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397468","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","G. G. Hatschbach","30674","1972","11","18","South America","Brazil","Paraná","Uniao da Vitória","S. Cristovao","-51.0864","-26.23",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397468","NY00397468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","501351","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","7002","1998","12","05","South America","Brazil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro","-49.55","-28.38","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501351","NY00501351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","397467","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","J. E. Montes","3416","1948","11","17","South America","Argentina","Misiones","Cainguás","Puerto Rico",NA,NA,"205","205","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","501367","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","7017","1998","12","05","South America","Brazil","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Rod. SC-438, km 34. Hotel Rural Passo Velho","-49.68","-28.32","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501367","NY00501367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","501384","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","7034","1998","12","06","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja. Próximo a estaçao do CINDACTA-2.","-49.47","-28.12","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501384","NY00501384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","501347","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","6998","1998","12","05","South America","Brazil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro, Estrada Lauro Müller-Bom Jardim, 9 km antes de Bom Jardim","-49.55","-28.38","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501347","NY00501347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","397466","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","A. Dunaiski Jr.","146","1991","09","15","South America","Brazil","Paraná","Mandirituba","Passo Amarelo","-50.83","-25.22",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397466","NY00397466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","501377","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","nigroramosum","Galium nigroramosum","(Ehrend.) Dempster","P. G. Delprete","P. G. Delprete","7027","1998","12","06","South America","Brazil","Santa Catarina","Urubici","Planalto Meridional. Estrada Bom Jardim da Serra-Urubici, ca. 20 km antes de Urubici","-49.75","-28.15","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501377","NY00501377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
