"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02699049","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","P. J. M. Maas","8818","1999","02","08","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Fazenda of José Gonçalves.","-41.95","-22.78","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982154' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699049","NY02699049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:08:42-03","UFBA","ALCB","16298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Noblick, LR","3274","1984","05","24","Southern America","Brasil","Bahia","Feira de Santana","Paraguaçu, Faz. Boa Vista - Serra de S. José","-38.966667","-12.25",NA,NA,"de 6-7 m de altura. Folhas coriáceas. Flores de cálice amarronzado. Frutos de 4-5 carpelos separados, esbranquiçados. Ocasional.; em cima da serra na mata.","ALCB004342","ALCB004342 ALCB004342_1","Lobão, A","2005","08","-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:08:42-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Noblick, LR","3274","1984","05","24","Southern America","Brasil","Bahia","Feira de Santana","Paraguaçu, Fazenda Boa Vista. Serra de São José","-38.966667","-12.25",NA,NA,"6-7m de altura com folhas coriáceas, flores de cálice amarrozado. Frutos de 4-5 carpelos separados, esbranquiçados. Ocasional.",NA,NA,"Lobão, A","2005","08","-38.966667","-12.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:08:42-03","UFBA","ALCB","07616","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Grupo Pedra do Cavalo","747","1980","09",NA,"Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Ipuaçu. Vale dos Rios Paraguaçu e Jacuípe","-39.083333","-12.533333","40",NA,"ca. 2 m. alt. Folhas coriáceas. Flores alvas, isoladas. Frutos rugosos.","ALCB004357","ALCB004357","Lobão, A","2005","08","-39.083333","-12.533333","40",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:08:42-03","UFBA","ALCB","09958","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Faria, LSS; Noblick, LR; Paranhos, LH","747","1980","09",NA,"Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Jacuípe e Paraguaçú. Ipuaçu","-39.083333","-12.533333","120",NA,"ca. 2m de altura. Folhas coriáces. Flores alvas e isoladas. Frutos rugosos.","ALCB004358","ALCB004358","Lobão, A","2005","08","-39.083333","-12.533333","120",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:41:53-03","NBC","NL-BOTANY","U.1073613","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Maas PJM; et al.",NA,"1999","02","08","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1073613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1073613","NL-U1073613","Maas PJM",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0145679",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:41:53-03","NBC","NL-BOTANY","U.1073614","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Maas PJM; et al.",NA,"1999","02","08","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1073614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1073614","NL-U1073614","Maas PJM",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0145678",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:41:53-03","NBC","NL-BOTANY","U.1073615","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","Araújo DSD de; et al.",NA,"1995","06","28","Southern America","Brazil","Rio de Janeiro",NA,"Brazil, Rio de Janeiro, Mun. Cabo - Frio, estrada antiga para Buzios, prox. Centrinho, ramal da lixeira",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1073615 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1073615","NL-U1073615","Maas PJM","1998","03",NA,NA,NA,"Magnoliopsidae","U 0011577","01",NA,NA,NA,NA,NA
"9","2020-06-29 09:29:09-03","UFRRJ","RBR","45860","S","Plantae",NA,NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(A.St.-Hil.) R.E.Fr.","A.S.C. Junqueira","s/n","2013","10","02",NA,"Brasil","Rio de Janeiro","Cabo Frio","Solo argiloso.","-42.007222","-22.86","37",NA,NA,"RBR00045860",NA,"M. Gomes","2018","03","42º0'26''W","22º51'36''S","37",NA,NA,"16",NA,NA,NA,NA,NA
"10","2015-10-02 21:04:11-03","MNHN","RECOLNAT_MNHN_P","P032535","PreservedSpecimen",NA,NA,NA,"Annonaceae","Hornschuchia","alba","Hornschuchia alba","(Saint-Hilaire) R.E.Fr.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Porte de l'Est au Cap Frio, Prov. Rio-Janeiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p032535' target='other'> <mi>dwc_moreinfo</mi></a>","P032535","P032535_01","Johnson",NA,NA,NA,NA,NA,NA,NA,NA,"366",NA,NA,NA,NA
