"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","continentOcean","country","occurrenceRemarks","barcode","imagecode","phylum","class","order","identifiedBy","recordedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2016-02-02 14:37:51-02","BGBM","B","B 10 0186485","S","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez","holotype","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B100186485 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100186485","B100186485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:25:16-03","IAP","PACA-AGP","92407","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO&nf;HASU 16093. Habitat: Campo rupestre","PACA092407",NA,"Magnoliophyta","Liliatae","Bromeliales","sem det.","Ohlweiler, A. A.","2000","11","10","RS","Guaiba","Fazenda São Maximiliano","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:16-03","IAP","PACA-AGP","37004","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO Habitat: in rupestribus siccis Fenofase: flor","PACA037004",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","Emrich, K.","1947","10","30","RS","Porto Alegre","ad coemeterium","-51.2299995422363","-30.0331001281738","29946","auto","1996","12","20",NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:25:16-03","IAP","PACA-AGP","55","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO Habitat: in rupestribus humidis Fenofase: flor","PACA000055",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","Rambo, B.","1933","11","16","RS","Porto Alegre","Vila Manresa (Morro da Glória)","-51.2299995422363","-30.0331001281738","29946","auto","1996","12","20",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:25:16-03","IAP","PACA-AGP","71092","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","flor amarela. Habitat: morro de arenito","PACA071092",NA,"Magnoliophyta","Liliatae","Bromeliales","H.M. Büneker","C. Steffen","1967","09",NA,"RS","Taquara",NA,"-50.7806015014648","-29.6506004333496","22252","auto","2013","03","21","9427",NA,NA,NA,NA,NA
"6","2019-08-27 13:25:16-03","IAP","PACA-AGP","73483","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO &nf;roadside hill with degraded shrubby/grassy vegetation with some lichen-covered rocks. Rosettes sessile with thick rhizome and thickened bulbous base; leaves few, spreading to reflexed, stiffly succulent and thick, dark oli","PACA073483",NA,"Magnoliophyta","Liliatae","Bromeliales","T. Strehl","U. Eggli","1994","01","29","RS","Encruzilhada do Sul","8Km from turnoff from asphalt road at Encruzilhada do Sul towards Dom Feliciano","-52.434167","-30.561833",NA,NA,"1994","10","10","2415","52°26.05'W","30°33.71'S","400","400",NA
"7","2019-08-27 13:25:16-03","IAP","PACA-AGP","43682","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO Habitat: in rupestribus humidis Fenofase: flor","PACA043682",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","Rambo, B.","1949","10","03","RS","Porto Alegre","Morro das Abertas","-51.2299995422363","-30.0331001281738","29946","auto","1996","12","20",NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:25:16-03","IAP","PACA-AGP","30626","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO Habitat: in rupestribus humidis parce humos. Fenofase: flor","PACA030626",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","Rambo, B.","1945","11","27","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","auto","1994",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:25:16-03","IAP","PACA-AGP","34114","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","EM PERIGO Habitat: in rupestribus humidis Fenofase: flor","PACA034114",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","C. Orth SJ","1935",NA,NA,"RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","auto","1996","12","20",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:25:16-03","IAP","PACA-AGP","38728","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","choristaminea","Dyckia choristaminea","Mez",NA,NA,"Brasil","VULNERÁVEL Habitat: in rupestribus humidis Fenofase: flor","PACA038728",NA,"Magnoliophyta","Liliatae","Bromeliales","Teresia Strehl","Rambo, B.","1948","12","01","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","auto","1996","12","20",NA,NA,NA,NA,NA,NA
