"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694831","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","M. F. Devecchi","M. F. Devecchi","295","2014","03","25","South America","Brazil","Mato Grosso do Sul","Sidrolândia","Estrada MS-258, sentido Capão Seco - Sidrolândia.","-54.708747","-21.026497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978365' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694831","NY02694831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694839","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","M. F. Devecchi","M. F. Devecchi","321","2014","09","05","South America","Brazil","Mato Grosso do Sul","Sidrolândia","MS-455, entre Capão Seco e Capão Bonito.","-54.75178","-21.15647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978385' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694839","NY02694839_01","427","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02694838","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","M. F. Devecchi","M. F. Devecchi","294","2014","03","25","South America","Brazil","Mato Grosso do Sul","Nova Alvorada do Sul","Rodovia MS 163, km 46,5, Campo Grande-Nova Alvorada do Sul, passando o distrito de Anhanduí, ca. 3 km depois da ponte do rio Anhanduí, na propriedade do Sr. Nestor, na altura do entroncamento da estrada de terra para Assentamento Capão Bonito II.","-54.507047","-21.008533","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978364' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694838","NY02694838_01","424","424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-10-19 14:12:00-03","MO","MOBOT","101076593","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.",NA,"Ludwig Riedel","Riedel 585",NA,NA,NA,"South America","Brazil","São Paulo",NA,"Rio Pardo.",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 18:30:10-03","USP","SPF","216158","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","Devecchi, MF","Devecchi, MF","321","2014","09","05",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","MS-455, entre Capão Seco e Capão Bonito.","-54.767778","-21.156472",NA,"Conhecida localmente como Kalunguinha, usada para remédio.; Cerrado alterado, utilizado como pasto.","SPF00216158",NA,"427","427",NA,NA,"2014","09","05","-54.767778","-21.156472",NA,NA,NA
"6","2021-03-15 18:30:10-03","USP","SPF","216166","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","Devecchi, MF","Devecchi, MF","331","2014","09","12",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Praça na Av. Bom Pastor, altura do número 1297, ao lado do condomínio Açores.","-54.592494","-20.490019",NA,"Subarbusto com caule subterrâneo. Folhas discolores. Estéril.; Gramado de praça. Antiga área de cerrado.","SPF00216166",NA,"601","601",NA,NA,"2014","09","12","-54.592494","-20.490019",NA,NA,NA
"7","2021-03-15 18:30:10-03","USP","SPF","216204","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","Devecchi, MF","Devecchi, MF","294","2014","03","25",NA,"Brasil","Mato Grosso do Sul","Nova Alvorada do Sul","Rodovia MS 163, km 46,5, Campo Grande-Nova Alvorada do Sul, passando o distrito de Anhanduí, ca. 3 km depois da ponte do rio Anhanduí, na propriedade do Sr. Nestor, na altura do entroncamento da estrada de terra para Assentamento Capão Bonito II.","-54.507047","-21.008533",NA,"Arbusto com caule subterrâneo, ca. 25 cm alt. Folhas em caule aéreo compacto. Folhas discolores. Estéril.","SPF00216204",NA,"424","424",NA,NA,"2014","03","25","-54.507047","-21.008533",NA,NA,NA
"8","2021-03-15 18:30:10-03","USP","SPF","216205","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","Devecchi, MF","Devecchi, MF","295","2014","03","25",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Estrada MS-258, sentido Capão Seco - Sidrolândia.","-54.708747","-21.026497",NA,"Arbusto com caule subterrâneo, ca. 30 cm alt. Folhas dispostas de forma compacta, na base exposta do caule. Estéril.","SPF00216205",NA,NA,NA,NA,NA,"2014","03","25","-54.708747","-21.026497",NA,NA,NA
"9","2021-03-15 18:30:10-03","USP","SPF","216206","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.","Devecchi, MF","Devecchi, MF","296","2014","03","25",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Estrada entre o distrito de Capão Seco e Capão Bonito, ca. 10 km antes Capão Bonito.","-54.753856","-21.161328",NA,"Arbusto com caule subterrâneo, ca. 25 cm alt. Folhas em caule aéreo compacto. Folhas discolores. Estéril.","SPF00216206",NA,"413","413",NA,NA,"2014","03","25","-54.753856","-21.161328",NA,NA,NA
"10","2017-09-11 17:14:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engl.",NA,"Riedel, L","585",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in campis ad Rio Pardo.",NA,NA,NA,NA,NA,"P12P2N0044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 10:19:18-03","IBt","SP","36402","S","Plantae",NA,NA,"Simaroubaceae","Homalolepis","salubris","Homalolepis salubris","(Engl.) Devecchi & Pirani","Devecchi, MF","Archer, WA; Gehrt, A","95","1936","09","06",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Capão Bonito","-54.6464004516602","-20.4428005218506",NA,NA,"SP050313","SP050313",NA,NA,NA,NA,"2017","06",NA,NA,NA,"161190","auto",NA
"12","2010-08-16 16:42:41-03","GH","HU-HERB","GH 00044367","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","salubris","Simaba salubris","Engler",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
