"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","coordinatePrecision","geoFlag","phylum","order","individualCount","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","previousCatalogNumber","sex"
"1","2021-04-05 14:34:11-03","UNESC","CRI","11715","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008669","CRI008669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:08-03","UNESC","CRI","14829","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Aline Votri Guislon; Iara Zanoni; Altamir R. Antunes; LucasOliveira & Felipe Seron","2018","10","04","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves (L5)","-49.35","-28.749444","49º21'0''W","28º44'58''S","CRI014154",NA,"Aline Votri Guislon","2019","05","14","170","170","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:08-03","UNESC","CRI","604","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007432","CRI007432","Vanilde Citadini- Zanette",NA,NA,NA,"2","2",NA,"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","15312","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Aline V. Guislon; Isadora Zapellini & José A. T Pires","2020","08","27","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Bairro Capão Bonito.","-49.383611","-28.756389","49º23'1''W","28º45'23''S","CRI014729",NA,"Aline Votri Guislon","2020","09","15","104","104","Flor branca. Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","11510","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","M. Verdi; N.L. de Souza & G. Klemz","2010","02","01","Brasil","Santa Catarina","Cocal do Sul","Linha Cabral.","-49.315556","-28.617778","49º18'56''W","28º37'4''S","CRI007430","CRI007430","A. A. de Oliveira","2010","02","01",NA,NA,"Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","3586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:08-03","UNESC","CRI","13131","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Oliveira, A.A. de","2015","10","05","Brasil","Santa Catarina","Abelardo Luz","Reserva Indígena. Reserva Indígena.","-52.108889","-26.550278","52º6'32''W","26º33'1''S","CRI011747","CRI011747","Oliveira, AA de","2015","10","05","1102","1102",NA,"2599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:08-03","UNESC","CRI","12165","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Verdi, M.","2009","01","12","Brasil","Santa Catarina","Pouso Redondo","Corruchel.","-49.942222","-27.334444","49º56'32''W","27º20'4''S","CRI010343","CRI010343","Oliveira, AA de","2010","09","14","616","616",NA,"1305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:11-03","UNESC","CRI","12870","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Alexandre Medeiros","2017","09","03","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011478","CRI011478","Renato Colares","2018","03","12",NA,NA,"Coleta 674.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:11-03","UNESC","CRI","14020","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Vanilde Citadini-Zanette","1996","08","20","Brasil","Santa Catarina","Morro Grande","Pingador","-49.721667","-28.800833","49º43'18''W","28º48'3''S","CRI012670","CRI012670","Marcos Sobral","1999","01","12",NA,NA,"Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:08-03","UNESC","CRI","571","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","06","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007454","CRI007454","Vanilde Citadini- Zanette",NA,NA,NA,"300","300",NA,"921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
