"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","typeStatus","recordNumber","continentOcean","locality","individualCount","fieldNumber","sex","preparationType"
"1","2021-01-14 15:25:46-03","MN","R","32414","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","pseudoscaposus","Cryptanthus pseudoscaposus","L.B. Sm.","Ramirez, I.M.","1996","Foster, M.B. 208; Foster, R.","1939","07","14","Brasil","Espírito Santo","Vitória","-40.3377990722656","-20.3194007873535","15291","Herbario M.B. Foster nº 208","R010005461","R010005461","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","1909780","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","pseudoscaposus","Cryptanthus pseudoscaposus","L.B. Sm.",NA,NA,"M. B. Foster & R. C. Foster","1939","7","14","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"US00026820","US00026820_01",NA,"Monocotyledonae","Bromeliales","Isotype","208","South America - Neotropics","Victoria.","1",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2144023","PreservedSpecimen","Plantae","Bromeliaceae","Rokautskyia","pseudoscaposa","Rokautskyia pseudoscaposa","(L.B. Sm.) Leme et al.",NA,NA,"M. B. Foster & R. Foster",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales",NA,"208","South America",NA,"1",NA,NA,NA
"4","2010-08-16 16:41:38-03","GH","HU-HERB","GH 00032946","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","pseudoscaposus","Cryptanthus pseudoscaposus","L. B. Smith",NA,NA,"M. B. Foster & R. Foster","1939","7","14","Brazil","Espirito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","208","South America","Domingo Martins Victoria, 250 feet",NA,"208","undetermined","Sheet"
