"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","547","PreservedSpecimen","Plantae","Fabaceae","Cassia","macranthera","Cassia macranthera","D. C.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; Lúcia Cimolin","899","1991","03","05","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","40","40","CRI002742","CRI002742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","6988","PreservedSpecimen","Plantae","Fabaceae","Cassia","macranthera","Cassia macranthera","D. C.","Vanilde Citadini- Zanette","Andressa Biava; Enilda Sebastiana & Marlete Borges",NA,"1999","10","16","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI002741","CRI002741","Campus da UNESC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:19-03","UNESC","CRI","6989","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Vanilde Citadini- Zanette","Andressa Biava; Enilda Sebastiana & Marlete Borges",NA,"1999","10","16","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI002744","CRI002744","Campus da UNESC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:19-03","UNESC","CRI","8387","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Vanilde Citadini- Zanette","Mainara F. Cascaes",NA,"2008","02","04","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","30","30","CRI003196","CRI003196","Parque Ecológico de Maracajá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:19-03","UNESC","CRI","2728","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","A. Burkart","R. Reitz",NA,"1956","04","12","Brasil","Santa Catarina","Ibirama","-49.518056","-27.0575","49º31'5''W","27º3'27''S","300","300","CRI002725","CRI002725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:19-03","UNESC","CRI","14889","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Vanilde Citadini-Zanette","Andressa Biava; Enilda Sebastiana & Marlete Borges.",NA,"1999","10","16","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","46","46","CRI014256","CRI014256","Campus da UNESC","1999","10","16","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:19-03","UNESC","CRI","12417","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Renato Colares","Alexandre Medeiros",NA,"2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001111","48º38'16''W","27º0'4''S",NA,NA,"CRI010624","CRI010624",NA,"2017","07","17","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1019081","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby",NA,"P. G. Delprete","9379","2005","12","10","Brazil","Goiás","Cocalzinho de Goiás","-48.8153","-15.8081",NA,NA,"1230","1230","NY01019081","NY01019081_01","Parque Estadual dos Pireneus. Area de cerrado perto do portal da Fazenda Capitão do Mato, em direção do morro.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278807' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00980322","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby",NA,"L. Cobra","150-62","1962","01","25","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00980322","NY00980322_01","Fundação Zoobotânic",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092682' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00980293","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","B. M. T. Walter","63","1989","03","02","Brazil","Minas Gerais","Ibiá","-46.4964","-19.5808",NA,NA,NA,NA,"NY00980293","NY00980293_01","MG 230, distante 2 km da BR 262",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092622' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00980297","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby",NA,"J. Vidal","I578","1945","03",NA,"Brazil","Minas Gerais","São Sebastião do Paraíso","-46.9914","-20.9169",NA,NA,NA,NA,"NY00980297","NY00980297_01","Pontilhão da Magyana",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092642' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1746029","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby",NA,"F. J. Fernández Casas","FC5859","1982","02","03","Paraguay","Canindeyú",NA,NA,NA,NA,NA,"450",NA,"NY01746029","NY01746029_01","Cerca del General Bernardino Caballero",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954782' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1746016","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","M. Rossato","5568","1989","03","02","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"750",NA,"NY01746016","NY01746016_01","Nova Prata- Horto Florestal",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954737' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","582964","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","M. M. Arbo","7378","1997","01","17","Brazil","Bahia","Jacobina","-40.67","-11.08",NA,NA,"800","800","NY00582964","NY00582964_01","Serra do Tombador, 19 km al NW de Jacobina, BR-325",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200799' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1746022","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby",NA,"K. Kubitzki","81-6","1981","02","11","Brazil","São Paulo",NA,"-45.052474","-23.263965",NA,NA,NA,NA,"NY01746022","NY01746022_01","Reserva Florestal Estadual de Cunha",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954759' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","nervosa",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","582929","PreservedSpecimen","Plantae","Fabaceae","Senna","macranthera","Senna macranthera macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","F. C. Hoehne","28778","1932","01","26","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00582929","NY00582929_01","Jardim Botanico Sao Paulo",NA,NA,NA,"Planta viva # 219 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740893' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","macranthera",NA,NA,NA,NA,NA,NA,NA,NA
