"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","occurrenceRemarks","relatedCatalogItem","typeStatus","fieldNumber","sex","preparationType"
"1","2020-04-27 16:09:05-03","UFES","VIES","15492","S","Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Sm.) H.Luther & Leme","Coser, T.S.","2011","06","03","Gomes, J.M.L.; Motta, L.B.; Lourenço Júnior, J. & Fernandes, T.C.L.","3144","2007","12","07","Brasil","Espírito Santo","Marechal Floriano","Propriedade de Angelo Delpuppo.","-40.6831016540527","-20.4127998352051","23038","VIES015492","VIES015492","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:25-03","MBM","MBM","163756","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","lymanioides","Nidularium lymanioides","E. Pereira & Leme","Leme, E.M.C.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","59715","1993","11","08","Brazil","Espírito Santo","Domingos Martins","Chapéu, Rio Jacu Braço Forte","-40.6591987609863","-20.3633003234863","48150","MBM163756","MBM163756","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","10298",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Smith) H.Luther & Leme","L. Kollmann/12-11-2004",NA,NA,NA,"I. G. Varassin","70","1999","01","20","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML010298","MBML010298",NA,NA,"40W31'49","19S58'17","Epífita. Heliófila. Flores brancas.",NA,NA,NA,NA,NA
"4","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","13761",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Sm.) H. Luther & Leme","Elton M.C. Leme/XII-2000",NA,NA,NA,"L. Kollmann; et al","785","1998","10","27","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"MBML013761","MBML013761_1 MBML013761_2",NA,NA,"40W37'14","19S55'52","Epífita caída. Botões verdes.",NA,NA,NA,NA,NA
"5","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","18684",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Smith) H.Luther & Leme","L. Kollmann/12-11-2004",NA,NA,NA,"A. P. Fontana; et al","429","2002","12","23","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"MBML018684","MBML018684",NA,NA,"40W37'14","19S55'52","Epífita, ovário branco e cálice verde.",NA,NA,NA,NA,NA
"6","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","23476",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Smith) H.Luther & Leme","T.S. Coser/21-06-2011",NA,NA,NA,"L. Kollmann; et al","7483","2005",NA,NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"MBML023476","MBML023476",NA,NA,"41W6'2","20S31'9","Terrestre, na sombra. Flores brancas.",NA,NA,NA,NA,NA
"7","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","25910",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Smith) H.Luther & Leme","L. Kollmann/17-03-2006",NA,NA,NA,"L. Kollmann; et al","8768","2006","03","17","Brasil","Espírito Santo","Santa Teresa","Bairro Centenário","-40.588056","-19.936389",NA,"MBML025910","MBML025910",NA,NA,"40W35'17","19S56'11","Epífita na sombra. Frutos verdes.",NA,NA,NA,NA,NA
"8","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","16675",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L.B.Smith) H.Luther & Leme","J. R. Santos/L. Kollmann-2002",NA,NA,NA,"J. R. Santos; et al","23","2001","10","07","Brasil","Espírito Santo","Santa Maria de Jetibá","São José do Rio Claro","-40.626944","-20.35",NA,"MBML016675","MBML016675",NA,NA,"40W37'37","20S20'60","Mata de encosta. Epífita com crescimento em ambiente luminoso. Bainha foliar verde claro. Lâmina foliar verde claro. Brácteas escapais e florais esbranquiçadas. Sépalas esbranquiçadas com ápice verde.",NA,NA,NA,NA,NA
"9","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","33674",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L. B. Smith) H. Luther & Leme","T.S. Coser/21-06-2011",NA,NA,NA,"L. Kollmann; et al","10592","2008","02","13","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.101667","-20.526944",NA,"MBML033674","MBML033674",NA,NA,"41W6'6","20S31'37","Planta epífita na meia sombra, folhas com escamas cinzas na face abaxial, flores brancas. Material prensado em álcool.",NA,NA,NA,NA,NA
"10","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","39861",NA,"Plantae","Bromeliaceae","Canistropsis","albiflora","Canistropsis albiflora","(L. B. Smith) H. Luther & Leme","A. M. Assis & A. P. Fontana","2006","05","30","A. M. Assis; A. P. Fontana, K. F. O. Faria, C. Esgario, Valdemar Pagung","1141","2005","11","27","Brasil","Espírito Santo","Santa Leopoldina","Propriedade Família Balbino - Timbuí Seco - Trilha dos Tropeiros","-40.593056","-20.053056",NA,"MBML039861","MBML039861",NA,NA,"40W35'35","20S3'11","Epífita. Estolo com 10 cm. Frutos verdes. Floresta Ombrófila Densa Montana. Preservada. Encosta. Interior da Mata.",NA,NA,NA,NA,NA
