"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","dayIdentified","recordNumber","day","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","barcode","imagecode","continentOcean","typeStatus","class"
"12","2019-11-21 14:33:02-03","UFJF","CESJ","49656","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.","L. Menini Neto","2007","12","F.S. Souza; J.A. Oliveira; L. Menini Neto; I.C.Almeida; T. Mota; S.M. Dutra; F.R.G. Salimen","2007","12","Brasil","Minas Gerais","Rio Preto","R.P.P.N. São Lourenço do Funil, 18º36'01,6 S, 43º57'04,2 W. 1139 m.s.m.",NA,NA,NA,NA,"Planta herbácea em campo rupestre. 2m flores brancas.","08","322","08","-43.8278007507324","-22.0891990661621","20815",NA,"auto","CESJ049656",NA,"América do Sul",NA,NA
"13","2019-11-21 14:33:02-03","UFJF","CESJ","43993","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.","C.N. Matozinhos","2005","04","C.N. Matozinhos; N.L. Abreu; B.F.Mello; F.S. Souza","2005","04","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua.",NA,NA,NA,NA,"Cladódio de aproximadamente 2m alt., secção circular, ereto a pendente, em campo rupestre. Frutos verdes, de polpa gelatinosa, incolor com inúmeras sementes pretas. Freqüente.",NA,"188","25","-43.8278007507324","-22.0891990661621","20815",NA,"auto","CESJ043993",NA,"América do Sul",NA,NA
"14","2019-11-21 14:33:02-03","UFJF","CESJ","7379","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.","D.C. Zappi","1991","07","L. Krieger","1969","10","Brasil","Minas Gerais","São João Del Rei",NA,NA,NA,NA,NA,"Na serra, lugar seco e arenoso. Até 1m de altura.",NA,"CESJ7379",NA,"-44.2616996765137","-21.1355991363525","39093",NA,"auto","CESJ007379",NA,"América do Sul",NA,NA
"15","2019-11-21 14:33:02-03","UFJF","CESJ","61198","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi","D.R. Gonzaga",NA,NA,"D.R. Gonzaga; L.L. Justino; M.R. Magalhães","2012","12","Brasil","Minas Gerais","Monte Verde de Cima","Serra Negra, Campo-rupestre, trilha atrás da cachoeira Arco-íris.",NA,NA,NA,NA,"Rupícola; ca. 60cm, botões florais verdes piloso; flores alvas.",NA,"117","08",NA,NA,NA,NA,NA,"CESJ061198",NA,"América do Sul",NA,NA
"16","2020-06-30 18:32:06-03","UFJF","CESJ","36537","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi","S.M.S. Verardo",NA,NA,"L.G.Rodela","1999","03","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,"Campo rupestre, rocha quartzítica. Aprox 1630m de altitude.",NA,"s.n.",NA,"-43.793098449707","-21.8425006866455","30417",NA,"auto","CESJ036537",NA,"América do Sul",NA,NA
"17","2020-07-02 18:52:20-03","UFJF","CESJ","35465","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi","A.S.M. Valente","2002","01","A.S.M. Valente; P.H. Nobre; F.R.G. Salimena","2001","12","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,"No campo rupestre, próximo à casa do pesquisador. Cladódio em até 2m. Tépalas externas esverdeadas a amarronzadas. Tépalas internas alvas. Androceu alvo com a base dos estames róseos. Período de florescência em dezembro. As flores abertas à noite exalam",NA,"87","16","-43.793098449707","-21.8425006866455","30417",NA,"auto","CESJ035465",NA,"América do Sul",NA,NA
"18","2020-11-09 19:01:09-03","UFJF","CESJ","25474","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi","D. Zappi","1997","07","D.C. Zappi; et alii","1991","08","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Alt. 1500m.",NA,NA,NA,NA,"Plantas 2-3 (4) m de alt., eretas, nçao ramificadas, cladódios 3,5 - 4,5 (8,0) cm de diâm. Fruto verde, 4,5 - 5,0 cm, com aréolas pilosas.&nf;ISOTYPUS","03","s.n.","27","-43.793098449707","-21.8425006866455","30417",NA,"auto","CESJ025474","CESJ025474 CESJ025474_1","América do Sul","Isotypus",NA
"19","2020-11-09 19:01:09-03","UFJF","CESJ","62615","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi","D.R. Gonzaga","2013","04","D.R. Gonzaga; L. Menini Neto; S.G. Furtado","2013","04","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Área aberta próxima ao camping e entrada para o restaurante;",NA,NA,NA,NA,"Arenícola ca. 1m; espinhos creme, frutos verde maduro com remanescentes do perianto persistentes; tricomas presentes no fruto de coloração castanho-escuro.","20","231","20","-43.793098449707","-21.8425006866455","30417",NA,"auto","CESJ062615",NA,"América do Sul",NA,NA
"20","2019-11-21 14:33:02-03","UFJF","CESJ","35939","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P.Taylor & Zappi",NA,NA,NA,"M.C. Brügger","2001","07","Brasil","Minas Gerais","Olaria","Próximo a BR 267 em quartizito próximo ao Rio do Peixe.",NA,NA,NA,NA,NA,NA,"s.n.",NA,"-43.937198638916","-21.8607997894287","15222",NA,"auto","CESJ035939",NA,"América do Sul",NA,NA
"21","2019-11-21 14:33:02-03","UFJF","CESJ","36881","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Arthrocereus","melanurus","melanurus","Arthrocereus melanurus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","D.C. Zappi","2004","03","F.M. Ferreira","2001","11","Brasil","Minas Gerais","São Tomé das Letras","Área particular -Geraldo Alves Ferreira",NA,NA,NA,NA,"Erva ca. 0,3m; local muito pedregoso de muita luminosidade.Flores creme-amareladas.",NA,"11","20","-44.9852981567383","-21.7222003936768","16076",NA,"auto","CESJ036881",NA,"América do Sul",NA,NA
"22","2021-03-01 16:27:12-03","UNICAMP","UEC","180677","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Gonzaga, DR","2015","09","Scatigna, AV; Silva, JS; Costa, MFB; Silva, ED; Galvão, JC; Tozzi, AMGA","2011","11","Brazil","Minas Gerais","São João Batista do Glória","Serra da Canastra, próx. estrada para pousada Vale dos Canteiros.","-46.242778","-20.320556","1289","1289","Cladódio ca. 15cm, tépalas branca/avermelhadas, pedicelo vermelho.&nf;; Campo rupestre.","14","30","15","-46.242778","-20.320556",NA,NA,NA,"UEC021101","UEC021101",NA,NA,NA
"23","2021-03-01 16:27:12-03","UNICAMP","UEC","125333","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Aona, LYS",NA,NA,"Kinoshita, LS; Aona, LYS","2000","11","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Estrada para sede do IBAMA, cerrado e campo rupestre.","-43.640194","-19.3605","600","700","12-14 costelas, medula mucilaginosa, fruto jovem esverdeado com tricomas.",NA,"00/127","21","-43.640194","-19.3605",NA,NA,NA,"UEC041453","UEC041453",NA,NA,NA
"24","2021-03-01 16:27:12-03","UNICAMP","UEC","96804","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves",NA,NA,NA,"Goldenberg, R; Semir, J; Romero, R; Dutilh, JHA","1998","02","Brazil","Minas Gerais",NA,"Estrada Furnas-Capitólio.",NA,NA,NA,NA,"Vegetação sobre canyon, às margens da represa de Furnas. Flores rosadas.",NA,"504","13",NA,NA,NA,NA,NA,"UEC041458","UEC041458",NA,NA,NA
"25","2021-03-01 16:27:12-03","UNICAMP","UEC","97523","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Zappi, DC","1999","12","Romero, R; Semir, J; Goldenberg, R; Dutilh, JHA","1998","02","Brazil","Minas Gerais",NA,"Estrada para Mendes, entrada da Fazenda do José Nestor, caminho para Morro do Chapél.",NA,NA,NA,NA,"Afloramentos. Terrestre, ca. 0,3 m. Frutos. Botões jovens.",NA,"5080","12",NA,NA,NA,NA,NA,"UEC041451","UEC041451",NA,NA,NA
"26","2021-03-01 16:27:12-03","UNICAMP","UEC","135635","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Gonzaga, DR","2015","09","Simões, AO; Singer, RB; Matsumoto, K; Belinello, R","1998","11","Brazil","Minas Gerais","Carrancas","Cachoeira da Zilda.",NA,NA,NA,NA,"Rupícola, flores brancas.; Afloramento na subida para Serra.","15","518","13","-44.6425018310547","-21.4874992370605","21143",NA,"auto","UEC090779","UEC090779",NA,NA,NA
"27","2021-03-01 16:27:12-03","UNICAMP","UEC","102177","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Zappi, DC","2003",NA,"Kinoshita, LS; Hayashi, AH; Elias, SI","1998","10","Brazil","Minas Gerais","Carrancas","Fazenda Grão Mogol.",NA,NA,NA,NA,"Planta rupícola, ca. 30 cm, flores brancas, antese noturna.",NA,"98/322","06","-44.6425018310547","-21.4874992370605","21143",NA,"auto","UEC041455","UEC041455",NA,NA,NA
"28","2021-03-01 16:27:12-03","UNICAMP","UEC","135640","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Gonzaga, DR","2015","09","Simões, AO; Singer, RB; Lopes, AC","1998","09","Brazil","Minas Gerais","Carrancas","Serra de Bicas, Estrada à esquerda da Fazenda do Sr. Toninho, subida em direção ao topo da Serra.",NA,NA,NA,NA,"Rupícola, flores esverdeadas externamente, brancas internamente.","15","337","22","-44.6425018310547","-21.4874992370605","21143",NA,"auto","UEC090780","UEC090780",NA,NA,NA
"29","2021-03-01 16:27:12-03","UNICAMP","UEC","101832","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves","Zappi, DC","2003",NA,"Kinoshita, LS; Crespo, S; Feres, FR","1998","10","Brazil","Minas Gerais","Carrancas","Vargem Grande.",NA,NA,NA,NA,"Rupícola, flores verdes externamente, brancas internamente.",NA,"98411","07","-44.6425018310547","-21.4874992370605","21143",NA,"auto","UEC041456","UEC041456",NA,NA,NA
"30","2021-03-01 16:27:12-03","UNICAMP","UEC","130621","S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus","odorus","Arthrocereus melanurus odorus","(F.Ritter) N.P.Taylor & Zappi","Gonzaga, DR","2015","09","Kinoshita, LS; Yamamoto, K","2002","09","Brazil","Minas Gerais","Santana do Riacho","Distrito de Cardeal Mota, sede da Fazenda Monjolos, cerrado.",NA,NA,NA,NA,"Planta prostrada até 40 cm de altura, botões jovens.","14","02/193","24","-43.7144012451172","-19.1688995361328","26557",NA,"auto","UEC041454","UEC041454",NA,NA,NA
"31","2019-08-20 10:08:42-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers, P.J.Braun & Esteves",NA,NA,NA,"Kinoshita, LS; Yamamoto, K","2002","09","Brazil","Minas Gerais","Santana do Riacho","distrito de Cardeal Mota, sede da Fazend, cerrado",NA,NA,NA,NA,"flor, Planta prostrada até 40cm alt., botões jovens.",NA,"02193","24","-43.7144012451172","-19.1688995361328","26557",NA,"auto",NA,NA,NA,NA,NA
"32","2019-08-16 08:38:53-03","UTFPR","HCF","24723","S","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum) Diers, P.J. Braun & Esteves","D. Gonzaga","2018","01","E.L. Siqueira","2018","01","Brasil","MG","Boa Esperança","Serra da Boa Esperança",NA,NA,NA,NA,"erva ca. 0,45 m de altura, armada com espinhos de coloração acastanhada, heliófita. Flores alvas na antese. Material em cultivo no Campus da UTFPR Campo Mourão.","19","2434","19","-45.5657997131348","-21.0900001525879","37175",NA,"auto",NA,NA,NA,NA,NA
"33","2020-12-21 16:19:44-03","MBM","MBM","263610","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K. Schum.) Diers, Braun & E. Pereira","Zappi, D.C.",NA,NA,"Krieger, L.","1969","10","Brazil","Minas Gerais","São João del Rey","São João del Rei",NA,NA,NA,NA,NA,NA,"7379",NA,"-44.2616996765137","-21.1355991363525","39093",NA,"auto","MBM263610","MBM263610","Southern America",NA,NA
