"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","879097","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","viridis","Aniba viridis","Mez","R. Marquete","837","1993","04","27","South America","Brazil","Rio de Janeiro","Paratí","À 29 km. do trevo de Paraty, (Faz. Sr. gilbrail), antiga trilha para o Saco de Mamanguá.","-44.7131","-23.2178","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00879097","NY00879097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:30:59-03","UFRJ","RFA","6743","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez","A. Mattos Filho",NA,"1963","04","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Horto Florestal em frente ao morro da Margarida, bosque das lauraceae","-43.2075004577637","-22.9027996063232",NA,NA,"RFA43143",NA,"I. de Vattimo","1963","04","26","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:31-03","UPM","MACK","848","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez","Camila; Eduardo; Rodrigo","s/n","2010","07","20",NA,"Brasil","SP","Peruíbe","Restinga alta.","-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:56:01-03","ESALQ","ESA","134440","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez",NA,"618.0","2013","03","04",NA,NA,NA,NA,NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 18626. Altura: 5m","ESA134440",NA,"Lima, R.A.F.","2014",NA,NA,NA,NA,"23.38.25",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:11:50-03","ESALQ","ESA","21174","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez","Ivanauskas, N.M.","251.0","1995","07","22",NA,"Brasil","São Paulo","Pariquera Açu",NA,NA,NA,NA,NA,"ESA021174",NA,"Baitello, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:11:50-03","ESALQ","ESA","96564","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez","Martins, S.E. et al.","395.0","1999","03","11",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,"ESA096564",NA,"Baitello, J.B.",NA,NA,NA,"37616","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:56:01-03","ESALQ","ESA","141436","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","viridis","Aniba viridis",NA,"Souza, V.C.","41159.0","2018","09","08",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,"Árvore, ca. 5 m alt.; cúpula vermelho-rosada; frutos imaturos verdes.","ESA141436",NA,"Souza, V.C.","2018","09","09","37616","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:11:50-03","ESALQ","ESA","109364","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","viridis","Aniba viridis",NA,"Sampaio, D.","172.0",NA,NA,NA,NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA109364",NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:11:50-03","ESALQ","ESA","109366","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","viridis","Aniba viridis",NA,"Sampaio, D.","174.0",NA,NA,NA,NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA109366",NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:11:50-03","ESALQ","ESA","61858","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","viridis","Aniba viridis","Mez","Sampaio, D. et al.","83.0","1999","01","06",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,"ESA061858","ESA061858","Baitello, J.B.",NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
