"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","503322","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","M. das G. L. Wanderley","R. Reitz","6090","1958","01","10","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503322","NY00503322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1628606","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"B. Maguire","49053","1960","08","07","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, km 112-128 from Hotel Chapéu do Sol",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1952961' target='other'> <mi>dwc_moreinfo</mi></a>","NY01628606","NY01628606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:54-03","UFRJ","RFA","8123","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","L.B. Smith","P. Occhioni","3446","1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flor amarela","RFA32067",NA,"1975","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1430012","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1430012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1430012","NL-L1430012",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:39:17-02","BGBM","B","B 10 0242214","S","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"F. Sellow?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia meridionalis.",NA,NA,NA,NA,NA,"Ex reliquiis Sellowianis, Humboldt ded. 1836; ex Herb. Kunth <a href=http://herbarium.bgbm.org/object/B100242214 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242214","B100242214",NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:19:44-03","UFV","VIC","4989","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, L.B.; Smith, S.F.","Hatschbach, G.; Occhiani, P.","15110","1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flor amarela, do brejo.","VIC004989","VIC004989","1967","46557","auto",NA,NA,"09",NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:41:26-03","UTFPR","HCF","22595","S","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"A.I. Oliveira","7","2016","10","14",NA,"Brasil","PR","Tibagi","Parque Estadual do Guartelá","-50.264","-24.40225",NA,NA,NA,"erva de terreno alagado. Flores com pétalas amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,"50°15'50,4 W","24°24'08,1 S",NA,NA,NA,NA
"8","2020-12-21 16:47:51-03","MBM","MBM","388674","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Lozano, E.D.","Cordeiro, J.; Cardoso, T.R.; Laus, M.D.; Gervasio, M.; Stupp, P.; Cardoso, T.R.; Laus, M.D.; Gervasio, M.; Stupp, P.","5125","2014","01","22","Southern America","Brazil","Paraná","Balsa Nova","Serra São Luiz do Purunã","-49.654722","-25.466944","1160","1160",NA,"Erva ereta; flor amarela.; Locais úmidos.","MBM388674","MBM388674","2014",NA,NA,NA,NA,NA,"-49.654722","-25.466944",NA,NA,NA,NA
"9","2020-12-21 16:47:51-03","MBM","MBM","389040","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Lozano, E.D.","Motta, J.T.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.; Dombrowski, L.T.; Cordeiro, J.; Saridakis, D.P.","4181","2013","12","18","Southern America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-49.768333","-25.465278","957","957",NA,"Herbácea; flores amarelas.; Campo úmido.","MBM389040","MBM389040","2014",NA,NA,NA,NA,"05","-49.768333","-25.465278","12",NA,NA,NA
"10","2020-12-21 16:47:51-03","MBM","MBM","426845","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"Oliveira, A.I.; Salvalaggio, A.V.; Cordeiro, A.L.; Goldenberg, R.; Labiak, P.; Salvalaggio, A.V.; Cordeiro, A.L.; Goldenberg, R.; Labiak, P.","7","2016","10","14","Southern America","Brazil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.264022","-24.40225",NA,NA,NA,"Erva de terreno alagado. Flores com pétalas amarelas.","MBM426845",NA,NA,NA,NA,NA,NA,NA,"-50.264022","-24.40225",NA,NA,NA,NA
