"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","J. Tannus","J. Tannus","83","1998","07","01","South America","Brazil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386880' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181618","NY01181618_01","auto",NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:44:40-03","EAO","IAN","40382","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN040382",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:44-03","ESALQ","ESA","25533","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Romero, R.","Souza, V.C. et al.","7321.0","1994","11","01",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"ESA025533","ESA025533","auto",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:13:44-03","ESALQ","ESA","25872","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Romero, R.","Souza, V.C. et al.","7321.0","1994","11","14",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"ESA025872",NA,"auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:13:44-03","ESALQ","ESA","11692","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Souza, V.C.","Souza, V.C. et al.","3298.0","1993","04","22",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"ESA011692",NA,"auto","1993","07","12",NA,NA,NA
"6","2020-11-04 11:13:44-03","ESALQ","ESA","12111","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Martins, A.","Souza, V.C. et al.","4419.0","1993","10","30",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"ESA012111",NA,"auto","1994","08","11",NA,NA,NA
"7","2020-11-04 11:13:44-03","ESALQ","ESA","12636","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Scaramuzza, C.A.M.","Souza, V.C. et al.","4576.0","1993","11","26",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"ESA012636",NA,"auto",NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:19:39-03","UNICAMP","UEC","55458","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Martins, E","Meira Neto, JAA","601","1990","06","26",NA,"Brazil","São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","18363",NA,"fruto, Erva de 20 cm, flor rósea na beira do banhado. Cerrado.",NA,NA,"auto","1991","07",NA,"Estado Ecológico de Santa Bárbara",NA,NA
"9","2019-08-20 10:19:39-03","UNICAMP","UEC","55454","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Martins, E","Meira Neto, JAA","529","1990","02","22",NA,"Brazil","São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","18363",NA,"flor e fruto, Ervas com 10 cm. Flores róseas-liláses. Cerrado.",NA,NA,"auto","1991","07",NA,"Estado Ecológico de Santa Bárbara",NA,NA
"10","2019-08-20 10:19:39-03","UNICAMP","UEC","36428","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Martins, E","Leitão Filho, HF; Martins, AB; Marcondes-Ferreira, W; Mantovani, W","15960","1984","02","12",NA,"Brazil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843",NA,"flor e fruto, Herbáceo até 15 cm, flores liláses. Em brejo.",NA,NA,"auto","1991","08",NA,"Estação Experimental do Instituto Flores, Arredores.",NA,NA
"11","2020-12-21 16:34:55-03","MBM","MBM","347708","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Tannus, J.L.S.","Tannus, J.L.S.; et al.; et al.","41","1998","05","29","Southern America","Brazil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843",NA,"Erva rasteira, flor rosa, frutos avermelhados. Campo cerrado.","MBM347708","MBM347708","auto","2007","11",NA,NA,NA,NA
"12","2020-12-21 16:34:55-03","MBM","MBM","235421","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Souza, V.C.","Souza, V.C.; et al.; et al.","3298",NA,NA,NA,"Southern America","Brazil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729",NA,NA,"MBM235421","MBM235421","auto",NA,NA,NA,"Ponta 20",NA,NA
"13","2015-10-25 16:32:44-02","MNHN","RECOLNAT_MNHN_P","P02297730","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Romero","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297730' target='other'> <mi>dwc_moreinfo</mi></a>","P02297730","P02297730_01",NA,NA,NA,NA,"In campis prope Perituva prov. St Pauli","holotype",NA
"14","2015-10-31 13:32:04-02","MNHN","RECOLNAT_MNHN_P","P02297731","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Romero","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297731' target='other'> <mi>dwc_moreinfo</mi></a>","P02297731","P02297731_01",NA,NA,NA,NA,"In campis prope Perituva prov. St Pauli","isotype",NA
"15","2020-12-11 11:38:32-03","UFMG","BHCB","48407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-13 11:25:47-03","USP","SPF","188499","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Tannus, JLS","Tannus, JLS","41","1998","05","29",NA,"Brasil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843",NA,NA,"SPF00188499",NA,"auto","2007","11",NA,NA,NA,NA
"17","2019-09-04 18:35:51-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis",NA,NA,"A. Saint-Hilaire",NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","Dicotyledoneae"
"18","2019-01-23 10:11:32-02","F","FMNH-SEEDPLANTS","V0360354F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis",NA,NA,"A. Saint-Hilaire",NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0360354F","V0360354F_01",NA,NA,NA,NA,NA,"Isotype","Dicotyledoneae"
"19","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin",NA,"St.-Hil, A","1371",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in campis prope Perituva prov. S.Paulo.",NA,NA
"20","2019-11-21 10:10:23-03","IBt","SP","4242","S","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin",NA,"Loefgren, A","CGG1110","1888","11","30",NA,"Brasil","São Paulo","Araraquara","-48.1699981689453","-21.7900009155273","29178",NA,"Humile, fl. vermelha clara.","SP006942","SP006942","auto",NA,NA,NA,"Brejo.",NA,NA
"21","2019-11-21 10:10:23-03","IBt","SP","4400","S","Plantae",NA,NA,"Melastomataceae","Microlicia","humilis","Microlicia humilis","Naudin","Martins, E","Tamandaré, F","s.n.","1913","04",NA,NA,"Brasil","São Paulo","Itirapina","-47.8199996948242","-22.25","22843",NA,NA,NA,NA,"auto","1991","08",NA,NA,NA,NA
