"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","910822","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","P. J. M. Maas","W. R. Anderson","10412","1973","05","16","South America","Brazil","Goiás","Cocalzinho de Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","-48.80861","-15.7880556","1230","1230","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910822","NY00910822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","910821","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"J. A. Ratter","R.2978","1976","05","03","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910821","NY00910821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:59:59-03","NBC","NL-BOTANY","U.1411033","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"Aparecida da Silva M; Felfili JM; et al.",NA,"1994","07","21","Southern America","Brazil","Goiás",NA,NA,"-47.366667","-13.9",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1411033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1411033","NL-U1411033","Magnoliopsidae","-47.366667","-13.9","U 0034944",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:59:59-03","NBC","NL-BOTANY","U.1411048","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas PJM; Benthem J van","Semir J; Sazima M; Cassia R de",NA,"1972","07","24","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1411048 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1411048","NL-U1411048","Magnoliopsidae",NA,NA,"U 0118935",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:59:59-03","NBC","NL-BOTANY","U.1411049","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"Anderson WR; Hill SR; Santos RR dos; Souza R",NA,"1973","05","16","Southern America","Brazil",NA,NA,"Estado de Goias, Serra dos Pirineus, ca 15km (straight line) N of Corumba de Goias.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1411049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1411049","NL-U1411049","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:58-03","ESALQ","ESA","73728","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Souza, J.P.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25477.0","2001","07","09",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 10 km de Joaquim Felício. Afloramento rochoso com campo arenoso e cerrado adjacentes.","-441.129","-174.233","960","960",NA,"Erva; flores lilases. Transição cerrado-campo arenoso. Foto: Souza, J.P.","ESA073728","ESA073728",NA,"-441,129","-174,233",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-19 10:23:03-03","CPAP","CPAP","12331","PreserverdSpecimen","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauward",NA,"Ratter, J. A.","2978","1976","05","03",NA,"Brasil","DF","Vargem Bonita","Fazenda Água Limpa, Estação da Universidade de Brasília 18Km SSW da TV Brasília",NA,NA,NA,NA,NA,"AMBIENTE: Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:42:02-03","UFMS","CGMS","60836","PreservedSpecimen","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"J.A. Ratter; S.G. da Fonseca","2978","1976","05","03",NA,"Brasil","Distrito Federal","Vargem Bonita","Fazenda Água Limpa (Estação da Universidade de Brasília), 18 Km SSW da Tv Brasília.",NA,NA,NA,NA,NA,"Violet below, dark purple at the tip.","CGMS1093840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-29 12:45:33-03","UNICAMP","UEC","39369","S","Plantae","Liliopsida",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, H","Martins, FR; Leitão Filho, HF; Semir, J; Tamashiro, JY","17257","1985","03","06",NA,"Brazil","Minas Gerais","Gouveia","Estrada para Diamantina, km 98","-48.9","-18.6",NA,NA,NA,"flor, Flores lilás, campo rupestre.","UEC043261","UEC043261",NA,"-48.9","-18.6",NA,"1993",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-05 16:46:30-03","UFOP","OUPR","13042","PreservedSpecimen","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","P.Beauv.",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Planalto do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campos",NA,NA,NA,NA,NA,NA,NA,"type","44599","auto",NA,NA,NA,NA
