"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","maximumElevationInMeters","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1546577","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","grazielae","Tillandsia grazielae","Sucre & R.Braga","isotype","B. D. Sucre","136[=herb. RB 138431]","1968","01","27","South America","Brazil","Rio de Janeiro","Estrada de contorno de Petropolis","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1897357' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546577","NY01546577_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:02:47-03","IBt","SP","415680","S","Plantae",NA,NA,"Bromeliaceae","Tillandsia","grazielae","Tillandsia grazielae","Sucre & Braga","Isotype","Braga, PIS; Sucre, D","136","1968","01","21",NA,"Brasil","Rio de Janeiro","Estrada do Contorno de Petrópolis","700",NA,NA,"SP001817","SP001817","Sucre, D","1975","Petrópolis","-43.1786003112793","-22.5049991607666","36524","700","auto"
