"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","individualCount","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","class","relationshipType","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:25:05-03","UNESC","CRI","11226","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","M. Verdi","2010","06","08","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4858","2010","06","08","Brasil","Santa Catarina","Paulo Lopes","Espraiado/Parque Estadual da Serra do Tabuleiro.","-48.78","-27.99","48º46'48''W","27º59'24''S","329","329","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI001911","CRI001911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:05-03","UNESC","CRI","10666","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra",NA,NA,NA,NA,"Alecsandro S. Klein; Elísio A. O.",NA,"2002","07","15","Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","134","134","Habito: epífita","CRI001728","CRI001728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:05-03","UNESC","CRI","10725","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra",NA,NA,NA,NA,"Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein",NA,"2001","11","19","Brasil","Santa Catarina","Praia Grande","Interior do Canyon do Itaimbézinho.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI001914","CRI001914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:05-03","UNESC","CRI","7545","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","Telma Elyta V. Azeredo","2006","11","07","T. E. V. Azeredo",NA,"2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata subida de morro","CRI001913","CRI001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:05-03","UNESC","CRI","1203","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","Jorge Luiz Waechter",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1450","1992","08","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001920","CRI001920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:22-03","UNESC","CRI","1608","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","J. L. Waechter","1993","07","26","V. Citadini-Zanette; et al.","1654","1993","02","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI001922","CRI001922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","8737","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","Telma Elyta V. Azeredo","2010","03","05","Emilaine Biava Dalmolim; Lislaine Cardoso de Oliveira, Peterson T. Padilha, Telma Elyta Vilhaba Azevedo",NA,"2010","03","05","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI001915","CRI001915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:05-03","UNESC","CRI","7549","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","23","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"Habitat: mata de subida de morro","CRI001926","CRI001926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:05-03","UNESC","CRI","10675","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra",NA,NA,NA,NA,"Alecsandro S. Klein; Elísio A. O.",NA,NA,NA,NA,"Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI001710","CRI001710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:22-03","UNESC","CRI","1613","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata","Wawra","J. L. Waechter","1993","07","26","V. Citadini-Zanette; R. dos Santos","1658","1993","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI001923","CRI001923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
