"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","245802","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","isotype","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245802","NY00245802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01404497","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"W. R. Anderson","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2252832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404497","NY01404497_01","A. E. R. Soares","35497","1972","02","05","Minas Gerais","Serra do Espinhaço, ca. 14 km SW of Diamantina on road to Gouveia","-43.68695","-18.3159","1300","1360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-10-14 15:56:55-03","BS","M","M-0165853","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","SYNTYPE","Riedel, L.",NA,"Brasil",NA,NA,"M0165853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-09-13 10:44:24-03","MNHN","RECOLNAT_MNHN_P","P00708840","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","isotype","Riedel, L.",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00708840' target='other'> <mi>dwc_moreinfo</mi></a>","P00708840","P00708840_01",NA,NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-10-27 10:23:16-02","MNHN","RECOLNAT_MNHN_P","P00708841","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","isotype","Riedel, L.",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00708841' target='other'> <mi>dwc_moreinfo</mi></a>","P00708841","P00708841_01",NA,NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-10-27 09:26:32-02","MNHN","RECOLNAT_MNHN_P","P00708842","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","isotype","Riedel, L.",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00708842' target='other'> <mi>dwc_moreinfo</mi></a>","P00708842","P00708842_01",NA,NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:23-03","UFPR","UPCB","70091","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Meyer, F.S.",NA,"Brasil",NA,"Arbusto 1,2 m, coletado sob afloramento rochoso em estepe gramíneo-lenhosa, próximo ao mirante do Parque. Ramos decorticantes. Flores de pétalas roxas, com a porção da unha branca, estames com filetes brancos revestidos por tricomas","UPCB0018809","UPCB0018809","Meyer, F.S.","845","2008","11","28","Paraná","Parque Estadual do Guartelá","-50.413611","-24.509444",NA,NA,NA,"2009","12","Tibagi","-50.413611","-24.509444",NA,NA,NA,NA
"8","2021-02-11 17:20:23-03","UFPR","UPCB","70093","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Meyer, F.S.",NA,"Brasil",NA,"Arbusto 1m altura, coletado sob afloramento rochoso em estepe gramíneo-lenhosa. Flores com pétalas roxas, mas com a porção da unha branca..","UPCB0018805","UPCB0018805","Meyer, F.S.","847","2008","11","28","Paraná","Parque Estadual do Guartelá","-50.413611","-24.509444",NA,NA,NA,"2009","12","Tibagi","-50.413611","-24.509444",NA,NA,NA,NA
"9","2021-02-11 17:20:23-03","UFPR","UPCB","70094","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Meyer, F.S.",NA,"Brasil",NA,"Arbusto 1,5 m altura, coletado em estepe gramíneo-lenhosa. Flores com pétalas roxas, com a porção da unha branca..","UPCB0018797","UPCB0018797","Meyer, F.S.","848","2008","11","28","Paraná","Parque Estadual do Guartelá","-50.413611","-24.509444",NA,NA,NA,"2009","12","Tibagi","-50.413611","-24.509444",NA,NA,NA,NA
"10","2021-02-11 17:20:23-03","UFPR","UPCB","67855","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Meirelles, J.",NA,"Brasil",NA,"Campos Gerais. Arbusto ca. 1 m alt. Em fruto, ápice do ovário vermelho vivo..","UPCB0018806","UPCB0018806","Meyer, F.S.","312","2009","07","02","Paraná","Parque Estadual do Guartelá,trilha principal próx. á cachoeira.","-50.4136009216309","-24.5093994140625",NA,NA,NA,"2010","01","Tibagi",NA,NA,"01","56988","auto",NA
