"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182831","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","R. H. P. Andreata","A. de O. Dias Neto","61","2008","08","05","South America","Brazil","Rio de Janeiro","Resende","Estrada para Visconde de Mauá, RJ 163, 19.5 km.","-44.5211","-22.3494","941","941","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182831","NY01182831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-18 16:28:12-02","UNEMAT","TANG","1649","S","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo",NA,"Schivinn, TA","53","2011","07","20",NA,"Brasil","Mato Grosso","Tangará da Serra","Fragmento mata queimada.","-57.4858016967773","-14.6194000244141",NA,NA,NA,"Liana dióica, espinescente, folhas alternas indivíduos masculinos.","TANG000001649",NA,"2014","03","13","175746","auto",NA,NA,NA,NA
"3","2021-01-14 15:33:40-03","MN","R","212076","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","Andreata, R.H.P.","Dias-Neto, A.O.; Palazzo, F.M.A.","423","2010","07","25",NA,"Brasil","Rio de Janeiro","Itatiaia","Estrada Maringá-Maromba","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,"2010","08","03","19648","auto",NA,NA,NA,NA
"4","2021-01-14 15:33:40-03","MN","R","212074","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","Andreata, R.H.P.","Dias-Neto, A.O.; Palazzo, F.M.A.","421","2010","07","25",NA,"Brasil","Rio de Janeiro","Resende","Estrada para Visconde de Mauá (RJ 163)","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,NA,NA,"2010","08","03","36089","auto",NA,NA,NA,NA
"5","2021-01-14 15:33:40-03","MN","R","212075","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","Andreata, R.H.P.","Dias-Neto, A.O.; Palazzo, F.M.A.","422","2010","07","25",NA,"Brasil","Rio de Janeiro","Itatiaia","Vale do Pavão, estrada para cachoeira do Marimbondo","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,"2010","08","03","19648","auto",NA,NA,NA,NA
"6","2020-12-20 21:19:27-03","UFV","VIC","001404","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo",NA,"Kulhmann","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"VIC001404","VIC001404",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:27-03","UFV","VIC","013003","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo",NA,"Gomes, V.","2398","1955","07","26",NA,"Brasil","Minas Gerais","Cel. Pacheco","Estação Experimental",NA,NA,NA,NA,NA,NA,"VIC013003","VIC013003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:19:27-03","UFV","VIC","13004","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo",NA,"Heringer, E.P.","1446","1944","07","01",NA,"Brasil","Minas Gerais","Coronel Pacheco","Est. Exp. de Água Limpa","-43.2655982971191","-21.5877990722656",NA,NA,NA,"Planta trepadora espinhosa; caule coberto de espinhos. ISÓTIPO.","VIC013004","VIC013004","1998","02","11","10350","auto","Isótipo",NA,NA,NA
"9","2021-03-01 16:20:47-03","UNICAMP","UEC","151929","S","Plantae","Liliopsida",NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","Andreata, RHP","Dias Neto, AO; Silva, JC; Marquete, O","68","2008","08","06",NA,"Brazil","Rio de Janeiro","Itatiaia","Estrada de Maromba","-44.601944","-22.326111","1253","1253",NA,"Indivíduo bem desenvolvido, com inflorescência, semi-heliófilo.","UEC006821","UEC006821",NA,NA,NA,NA,NA,NA,"-44.601944","-22.326111",NA
"10","2021-03-01 16:20:47-03","UNICAMP","UEC","151930","S","Plantae","Liliopsida",NA,"Smilacaceae","Smilax","muscosa","Smilax muscosa","Toledo","Andreata, RHP","Dias, AO; Silva, JC; Marquete, O","61","2008","08","05",NA,"Brazil","Rio de Janeiro","Resende","Estrada para Visconde de Mauá, RJ 163, 19,5Km.","-44.521111","-22.349444","941","941",NA,"Indivíduo bem desenvolvido, com inflorescência ainda em botão. Semi-heliófilo.","UEC006822","UEC006822",NA,NA,NA,NA,NA,NA,"-44.521111","-22.349444",NA
