"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","131830","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","irwinii","Hillia irwinii","Steyerm.","holotype","W. A. Egler","46683","1961","08","26","South America","Brazil","Amapá","Rio Jari. Near Cachoeira Macacoara.","-53.35","0.88","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131830","NY00131830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","131831","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","irwinii","Hillia irwinii","Steyerm.","holotype","W. A. Egler","46683","1961","08","26","South America","Brazil","Amapá","Rio Jari. Near Cachoeira Macacoara.","-53.35","0.88","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131831","NY00131831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1414255","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"D. C. Daly","13261","2008","07","08","South America","Brazil","Acre","Basin of Rio Iaco (tributary of Rio Purus), Fazenda São Jorge I, property of Acre Brasil Verde, timber concession of Laminados Triunfo Ltda., 107 km NW of Rio Branco on BR-364, then ca. 22 km E on Toco Preto access road.","-68.6125","-9.4178","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188982' target='other'> <mi>dwc_moreinfo</mi></a>","NY01414255",NA,"C. M. Taylor","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1488164","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"P. Acevedo-Rodríguez","14998","2009","02","23","South America","Brazil","Acre","Riozinho do Andirá. Along Rio Andirá","-68.0772","-9.7025","160","160","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258723' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488164","NY01488164_01","P. Acevedo-Rodríguez","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04112192","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"F. A. Obermüller","210","2007","01","27","South America","Brazil","Acre","Riozinho do Andirá","-68.1289","-9.7214",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1414386' target='other'> <mi>dwc_moreinfo</mi></a>","NY04112192",NA,"F. A. Obermüller","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01061825","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"J. E. L. S. Ribeiro","1789","1996","01","30","South America","Brazil","Amazonas","Reserva Florestal Ducke","-59.97","-2.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267386' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061825","NY01061825_01","M. T. V. do A. Campos","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","710184","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"P. J. M. Maas","P12811","1971","05","08","South America","Brazil","Acre","Estr. Alhemanha","-72.6697","-7.6311",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00710184","NY00710184_01","C. M. Taylor","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 07:43:00-03","NY","NYBG","197483","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei",NA,NA,"A. J. Henderson","1002","1989","10","08","South America","Venezuela","Amazonas","Río Mavaca, basecamp","-65.12","2.02","228","228","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197483",NA,"C. M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540833","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"D. C. Daly","9499","1997","03","12","South America","Brazil","Acre","Basin of Rio Purus, Rio Antimari, Floresta Estadual do Antimari, upstream from FUNTAC station","-68.1239","-9.4111",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540833","NY00540833_01","C. M. Taylor","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","763564","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"M. de Pardo","69","1995","03","24","South America","Brazil","Acre","Município de Bujarí. Riozinho do Andirá, afluente de Rio.","-68.0107999","-9.6413745",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763564","NY00763564_01","D. C. Daly","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:47:55-03","EAO","IAN","113387","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Hillia","irwinii","Hillia irwinii","Steyerm.","isotipo","Egler, WA; Irwin, HS","46683","1961","08","26","Southern America","Brasil","Amapá","Rio Jari. Near cachoeira Macacoara. Only one seen.","-53.35","0.883333","200","200",NA,"Epiphyte on branch of tree overhanging water. Buds green; fruit green.","IAN113387",NA,NA,NA,"-53.35","0.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:47:55-03","EAO","IAN","127304","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Schum.",NA,"Silva, NT da","927","1968","09","10","Southern America","Brasil","Pará","Monte Dourado, Rio Jarí, Planalto A, mata de terra firme.",NA,NA,NA,NA,NA,"Planta epifita, sobre árvore de 30m de altura.","IAN127304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
