"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","individualCount","class","order","relatedCatalogItem"
"1","2019-10-09 11:10:47-03","UFBA","ALCB","033917","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lychnophorella","sericea","Lychnophorella sericea","(D.J.N.Hind) Loeuille, Semir & Pirani","Cândido, JB","2018","11","06","holotipo","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4308","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Sopé do Pico do Itobira","-41.884167","-13.368611","-41.884167","-13.368611","1800","1800","folhoso no ápice, folhas seríceas. Flores roxas; ramos do estilete lilás.","ALCB058597","ALCB058597",NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:16:31-03","MBM","MBM","272631","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophora","sericea","Lychnophora sericea","Hind, D.J.N.",NA,NA,NA,NA,NA,"Hind, D.J.N.; et al.; et al.","4308","1996","11","15","Southern America","Brazil","Bahia","Rio de Contas","Pico do Itobira","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,"MBM272631","MBM272631","49773","auto",NA,NA,NA,NA
"3","2020-12-21 16:16:31-03","MBM","MBM","321746","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophora","sericea","Lychnophora sericea","Hind, D.J.N.",NA,NA,NA,NA,NA,"Oliveira, E.C.; Pereira, A.C.S.; Ribeiro, P.L.; Pereira, A.C.S.; Ribeiro, P.L.","94","2005","01","20","Southern America","Brazil","Bahia","Mucugê","Subida para o Gobira","-41.377778","-13.084722","-41.377778","-13.084722","1206","1206","Arbusto até 1,5m. Folhas discolores, face adaxial verde e abaxial branca. Flores liláses a brancas.; Campo rupestre","MBM321746","MBM321746",NA,NA,NA,NA,NA,NA
"4","2021-02-04 13:46:00-03","MO","MOBOT","101249880","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophorella","sericea","Lychnophorella sericea","(D.J.N. Hind) Loeuille, Semir & Pirani","fide Loeuille et al.",NA,NA,NA,"Holotype","R.M. Harley|et al.","Harley PCD 4308","1996","11","15","South America","Brazil","Bahia","Rio de Contas","Topo do Pico do Itobira","-41.8841666","-13.3686111",NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"5","2021-03-15 18:25:32-03","USP","SPF","125116","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophorella","sericea","Lychnophorella sericea","(D.J.N.Hind) Loeuille, Semir & Pirani","Loeuille, B","2016",NA,NA,"isotype","Harley, RM","PCD4308","1996","11","15",NA,"Brasil","Bahia","Rio de Contas","Topo do Pico do Itobira.","-41.884167","-13.368611","-41.884167","-13.368611","1800","1800","Arbusto até 1 m. Folhoso no ápice. Folhas seríceas. Flores roxas, ramos do estilete lilás.; Campo rupestre.","SPF00125116",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:11:39-03","UEFS","HUEFS","66580","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Lychnophora","sericea","Lychnophora sericea","D.J.N.Hind",NA,NA,NA,NA,"Isótipo","Harley, R.M.","PCD4308","1996","11","15",NA,"Brasil","Bahia","Rio de Contas","Topo do Pico do Itobira.","-41.883333","-13.366667","41W53'","13S22'","1800","1800","Campo rupestre","HUEFS0066580",NA,NA,NA,NA,"Asteranae","Asterales",NA
"7","2019-10-07 09:11:39-03","UEFS","HUEFS","29523","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Lychnophorella","sericea","Lychnophorella sericea","(D.J.N.Hind) Loeuille, Semir & Pirani","J.B.Cândido","2018","10",NA,"Isótipo","Harley, R.M.","PCD4308","1996","11","15",NA,"Brasil","Bahia","Rio de Contas","Topo do Pico do Itobira","-41.884167","-13.368611","41W53'3''","13S22'7''","1800","1800",NA,"HUEFS0029523","HUEFS0029523 HUEFS0029523_e1",NA,NA,NA,"Asteranae","Asterales",NA
"8","2020-07-23 11:59:14-03","CEPLAC","CEPEC","76149","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophora","sericea","Lychnophora sericea",NA,"D. J. N. Hind",NA,NA,NA,"Isótipo","R. M. Harley","4308","1996","11","15",NA,"Brasil","Bahia","RIO DE CONTAS","Topo do Pico do Itobira.","-41.884167","-13.368611","41W53'3","13S22'7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/10/2000"
