"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","stateProvince","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-04-05 14:24:58-03","UNESC","CRI","3819","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & H.Rob.","C. Mondin","1994","03","01","J. A. Jarenkow","1987","03","05","Brasil","Brasil","Horto Botânico Irmão Teodoro Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","CRI001162","CRI001162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:55:00-02","NY","NYBG","802144","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana",NA,NA,NA,NA,NA,"J. H. Hunziker","1984","03","04","Argentina",NA,"Pdo. Tandil, ruta 80, 38 km al S de Tandil - Estancia cerro El Gaucho.",NA,NA,NA,NA,"420","460","NY00802144",NA,"Magnoliophyta","Asterales","12069","South America","Buenos Aires","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795994' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802145","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & Malme",NA,NA,NA,NA,"A. P. Duarte","1963","03",NA,"Brazil",NA,"Serra da Bacaina.",NA,NA,NA,NA,NA,NA,"NY00802145","NY00802145_01","Magnoliophyta","Asterales","s.n.","South America","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796001' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802142","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & Malme",NA,NA,NA,NA,"R. Reitz","1956","04","05","Brazil",NA,"Pilões, Palhoça.","-48.694057","-27.77489",NA,NA,"200","200","NY00802142","NY00802142_01","Magnoliophyta","Asterales","2964","South America","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795991' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802141","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & Malme",NA,NA,NA,NA,"P. K. H. Dusén","1910","03","21","Brazil",NA,"Sao João.",NA,NA,NA,NA,NA,NA,"NY00802141","NY00802141_01","Magnoliophyta","Asterales","9606a","South America","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795990' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","802143","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & Malme",NA,NA,NA,NA,"R. Reitz","1962","04","19","Brazil",NA,"Ponte Alta do Sul, Curitibanos.",NA,NA,NA,NA,"900","900","NY00802143","NY00802143_01","Magnoliophyta","Asterales","12579","South America","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795992' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","802140","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & Malme",NA,NA,NA,NA,"B. Rambo","1950","04","05","Brazil",NA,"Barra do Ribeiro ad fl. Guaiba.",NA,NA,NA,NA,NA,NA,"NY00802140","NY00802140_01","Magnoliophyta","Asterales","46630","South America","Rio Grande do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795989' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA
"8","2021-02-08 11:07:24-03","UNESP-IBB","BOTU","10974","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. ex Hook. & Arn.) R.M.King & H.Rob.","Hattori, E.K.O.","2015","05",NA,"Bicudo, L.R.H.","1983","04","22","Brasil","São Bernardo do Campo","Paranapiacaba, Estação Biológica do Alto da Serra","-46.25","-23.75","46º15'w","23º45's",NA,NA,"BOTU010974","BOTU010974",NA,NA,"34",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:41-03","ESALQ","ESA","55217","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M. King & H. Rob.","Loeuille, B.",NA,NA,NA,"Coelho, R.L.G.","2007","04","08","Brasil","Urupema","Fazenda Farofa. Trilha da Fazenda do Mário até o campo de altitude. Vegetação secundária de Floresta Ombrófila Mista.","-49.8731002807617","-27.9528007507324",NA,NA,"1426","1426","ESA055217","ESA055217","Magnoliophyta",NA,"204.0",NA,"Santa Catarina",NA,"Erva. Flores brancas.","23096","auto",NA,NA,NA
"10","2020-11-04 11:01:41-03","ESALQ","ESA","20368","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana",NA,"Fernandes, A.C.",NA,NA,NA,"Jarenkow, J.A.","1987","03","05","Brasil","Capão do Leão",NA,"-52.4838981628418","-31.7632999420166",NA,NA,NA,NA,"ESA020368","ESA020368","Magnoliophyta",NA,"692.0",NA,"Rio Grande do Sul",NA,NA,"28605","auto",NA,NA,NA
