"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","scientificNameAuthorship","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:43:11-03","E","E","202028","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","peruvianum","Dictyoloma peruvianum","Pennington, T.D.; Daza, A.; Revilla, J.","17367","2002","05","11","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:209494","<a href=http://data.rbge.org.uk/herb/E00202028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:11-03","E","E","202027","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","peruvianum","Dictyoloma peruvianum","Pennington, T.D.; Daza, A.; Revilla, J.","17367","2002","05","11","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:209495","<a href=http://data.rbge.org.uk/herb/E00202027 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:11-03","E","E","205575","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandelianum","Dictyoloma vandelianum","Stannard, B.; Silva, T.",NA,"1992","03","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218598","<a href=http://data.rbge.org.uk/herb/E00205575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205575","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-02-09 10:39:00-02","NY","NYBG","1843733","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","G. Pereira-Silva","15907","2011","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2110059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843733","Rondônia","Magnoliophyta","Sapindales","Porto Velho","Ramal de FURNAS","-64.7042","-9.3483","120","NY01843733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","331079","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","L. P. de Queiroz","1561","1987","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331079","Bahia","Magnoliophyta","Sapindales","Castro Alves","Subida da Serra da Jiboia, 6 km SE de Pedra Branca. Floresta Nebular.","-39.4719","-12.8458","680","NY00331079_01","A.Juss.","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01271588","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. H. Nee","34561","1987","03","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66177' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271588","Rondônia","Magnoliophyta","Sapindales","Costa Marques","Ca. 5 Km. NW of Costa Marques.","-64.233333","-12.416667","150","NY01271588_01","A.Juss.","150","C. R. Reynel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929267","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","W. R. Anderson","8346","1973","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929267","Minas Gerais","Magnoliophyta","Sapindales",NA,"25 km by road NE of Diamantina, 2 km W of Rio Jequití. Serra do Espinhaço.","-43.43284","-18.09029","790","NY00929267_01","A.Juss.","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","331091","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. S. Blanchet","2102",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331091","Bahia","Magnoliophyta","Sapindales",NA,NA,"-39.039072","-15.159747",NA,"NY00331091_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929260","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","L. O. Williams","6742","1945","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929260","Minas Gerais","Magnoliophyta","Sapindales","Santa Luzia","Between Venda Nova and Vespasiano.","-43.8514","-19.7697","900","NY00929260_01","A.Juss.","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","331065","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","S. A. Mori","10623","1978","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331065","Bahia","Magnoliophyta","Sapindales","Alcobaça","Rodovia BR 255, ca. 6 km a NW de Alcobaça. Campos. Folha SE - 24 (18-39a).","-39.2338528","-17.4883585",NA,"NY00331065_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
