"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","8268","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","Marcos Sobral","Kleber Haileê Emerich; Marcelo Romagna Pasetto","2008","07","10","Brasil","Santa Catarina","Turvo","-49.681944","-28.927778","49º40'55''W","28º55'40''S","30","30","CRI006178","CRI006178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:49-03","UNESC","CRI","6431","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","J. A. Jarenkow","J. A. Jarenkow","1997","10","18","Brasil","Rio Grande do Sul","Pelotas","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","CRI005703","CRI005703","Colônia Maciel Parque Farroupilha.","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:49-03","UNESC","CRI","1471","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","Marcos Sobral","R. Negrelle","1992","08","23","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI005689","CRI005689","Reserva Volta Velha.","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 15:16:32-03","UNESC","CRI","5328","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","J. A. Jarenkow","J. A. Jarenkow","1994","11","11","Brasil","Rio Grande do Sul","São Lourenço do Sul","-51.986944","-31.358056","51º59'13''W","31º21'29''S",NA,NA,"CRI013195","CRI013195","BR - 116. Cerca de 8 Km do trevo, em direção á Pelotas.","Flores com cálice verde. Corola branca. Habito: Arbóreo","1994","11","12","2467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:49-03","UNESC","CRI","11876","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo","-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI005706","CRI005706",NA,NA,"2009","08","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:42-03","UNESC","CRI","7646","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","Vanilde Citadini- Zanette","Caroline de Faveri; Jean Gabriel Cemin","2008","05","27","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI005704","CRI005704",NA,NA,"2008","05","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:49-03","UNESC","CRI","11732","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green",NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","CRI005705","CRI005705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:50-03","UNESC","CRI","1309","PreservedSpecimen","Plantae","Oleaceae","Linociera","mandioccana","Linociera mandioccana","Eichler","Marcos Sobral","Jairo José Zocche","1992","07","29","Brasil","Santa Catarina","Forquilhinha","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI005690","CRI005690","Parque Ecológico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413457","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","P. S. Green","P. K. H. Dusén","1911","07","12","Brazil","Paraná","Paranaguá","-48.62","-25.57",NA,NA,NA,NA,"NY00413457","NY00413457_01","Alexandra","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637408' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"11960","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","413441","PreservedSpecimen","Plantae","Oleaceae","Chionanthus","filiformis","Chionanthus filiformis","(Vell.) P.S.Green","P. S. Green","O. Handro","1968","07","25","Brazil","São Paulo","Bertioga","-46.3","-23.77",NA,NA,NA,NA,"NY00413441","NY00413441_01","Paranapiacaba (via férrea Sao Paulo-Santos), Estaçao Biológica","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637401' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2062","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
