"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","809727","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","P. Fiaschi","1171","2002","11","16","South America","Brazil","Bahia","Camamu","Proximidades da Praia de Pratigi.","-38.9939","-13.7078","15","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809727","NY00809727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","608676","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","S. A. Mori","13019","1979","11","27","South America","Brazil","Bahia","Santa Cruz Cabrália","Entre Sta. Cruz e Porto Seguro, a 15 km da segunda","-39.0244","-16.2783",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608676","NY00608676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","608684","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","T. S. dos Santos","3945","1984","11","13","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D","-39.2263","-14.7583","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608684","NY00608684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","608681","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","R. P. Belém","2769","1966","10","31","South America","Brazil","Bahia","Santa Cruz Cabrália","Santa Cruz Cabrália","-39.039317","-16.289196",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608681","NY00608681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","608682","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","P. A. Athayde","s.n.","1969","03",NA,"South America","Brazil","Bahia",NA,"Itapua",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608682","NY00608682_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1181694","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","H. Lorenzi","J. A. Lombardi","7200","2008","01","29","South America","Brazil","Bahia",NA,"Lauro de Freitas. Condominio Busca Vida, em frente ao Spa Salute Bahia.","-38.271831","-12.876547","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181694","NY01181694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01805945","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly",NA,"L.A. Gomes","260","2011","11","11","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Borda da mata.","-37.41886","-11.38594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805945","NY01805945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","608687","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","R. P. Belém","3189","1967","01","19","South America","Brazil","Bahia","Maraú","Maraú","-39","-14.1333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608687","NY00608687_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02218662","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly",NA,"C. E. B. Proença","4078","2012","03","13","South America","Brazil","Sergipe","Estância","Na SE-218 antes o entroncamento da Linha verde, ca. 6 km antes da Praia do Abaís.","-37.2728","-11.2597",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2358316' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218662","NY02218662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02637428","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","bahianum","Protium bahianum","Daly","D. C. Daly","P. da C. Gadelha Neto","3784","2014","02","20","South America","Brazil","Paraíba","Caaporã","Sítio Brejo de Lima","-34.964167","-7.429444",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952449' target='other'> <mi>dwc_moreinfo</mi></a>","NY02637428","NY02637428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
