"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01462173","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.","S. F. Smith","R. A. X. Borges","557","2007","01","16","South America","Brazil","Bahia","Almadina","Serra do Corcovado. 13,8 km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietario Senhor Francisco","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462173","NY01462173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454077","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.","L. B. Smith; D. C. Wasshausen","C. F. P. von Martius","s.n.",NA,NA,NA,"South America","Brazil","Bahia",NA,"Almada",NA,NA,NA,NA,"sheet","No Collection Day or Year on this label. Also on this label: Specim. com. al Acad. reg. Monacensi, 1845. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454077","NY00454077_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01462171","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.","S. F. Smith","R. A. X. Borges","416","2006","12","17","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462171","NY01462171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:40-03","UFBA","ALCB","56120a","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.","Gregório, BS","Guedes, ML; et al.","s/n","2001","09","06","Southern America","Brasil","Bahia","Camamu","Litoral Sul, Assentamento Oricó","-39.1","-13.933333",NA,NA,NA,"escandente. Folhas crassas discolores. Fruto alado. reqüente.; Plantação de cacau.","ALCB036035","ALCB036035",NA,"2013","04","25","-39.1","-13.933333",NA,NA,NA,NA,NA
"5","2019-10-09 11:11:40-03","UFBA","ALCB","56097","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.","Gregório, BS","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","534","2001","09","06","Southern America","Brasil","Bahia","Ibirapitanga/Camamú/Maraú","Litoral Sul, Fazenda Oricó, área de reserva legal","-39.349167","-14.133611",NA,NA,NA,"caule crasso. Folhas crassas, discolores, face abaxial vinácea. Inflorescência com raqui vináceo; flores com tépalas carnosas alvas; estames amarelos; flores femininas com ovário alado. Frutos com alas vináceas.; vegetação em estádio","ALCB036036","ALCB036036",NA,"2013","04","25","-39.349167","-14.133611",NA,NA,NA,NA,NA
"6","2015-07-02 14:42:18-03","JBP","HPL","13258","S","Plantae",NA,NA,"Begoniaceae","Begonia","cf. sylvatica","Begonia cf. sylvatica","Meissn. ex. A.DC.","E.L. Jacques","E.L. Jacques, H. Lorenzi et al.","1822","2012","07","25",NA,"Brasil","MG","Alto Caparaó","Parque Nacional do Caparaó, caminho para o Vale Verde. População densa sobre rocha com Mellinis mellitiflora (Poaceae). Crescendo na face oeste.","-41.843111","-20.419528","1408","1408",NA,NA,NA,NA,NA,"2012","07","25","41° 50' 35,2 W","20° 25' 10,3 S",NA,NA,NA,NA,NA
"7","2016-02-02 14:37:50-02","BGBM","B","B 10 0365198","S","Plantae",NA,NA,"Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisn. ex A.DC.",NA,"Martius",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Prov. Bahia; Habitat in sylvis umbrosis prope Almada.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100365198 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100365198","B100365198","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-10-14 15:56:29-03","BS","M","M-0145742","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","A.DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in sylvis umbrosis prope Almada; Provinciae Bah.",NA,NA,NA,NA,NA,NA,"M0145742",NA,"NOTATYPE",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"9","2014-10-14 15:56:29-03","BS","M","M-0145743","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","A.DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia Provinc. Bahia. In sylvis umbrosis prope Almada.",NA,NA,NA,NA,NA,NA,"M0145743",NA,"NOTATYPE",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"10","2019-08-15 09:03:18-03","UESC","UESC","570","S","Plantae","Angiospermae","Florideophycidae","Begoniaceae","Begonia","sylvatica","Begonia sylvatica","Meisen",NA,"Florêncio, C.S.","33","1995","09","17",NA,"Brasil","Bahia","Ilhéus","Castelo Novo","-39.05","-14.583333","34","34",NA,"Restinga.; Herbácea, 60 - 80 cm de altura. Fixa em rochas.","UESC0000570",NA,NA,"2013","03",NA,"39W3'0''","14S35'0''","Dicotyledoneae",NA,NA,NA,NA
