"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag"
"1","2020-12-21 16:29:55-03","MBM","MBM","24688","PreservedSpecimen","Plantae","Iridaceae","Trimezia","rotundata","Trimezia rotundata","Ravenna","Ravenna, P.","Hatschbach, G.","27576","1971","10","25","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596","41937","MBM024688","MBM024688","auto"
"2","2010-05-19 22:31:00-03","MO","MOBOT","2455177","PreservedSpecimen","Plantae","Iridaceae","Neomarica","rotundata","Neomarica rotundata","(Ravenna) Chukr","Ravenna, P. F.","P. Ravenna","Ravenna 760","1969","12","3","South America","Brazil","Santa Catarina",NA,"Garuva. in sylvula prope summum Montis Cristae",NA,NA,NA,NA,NA,NA
