"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","year","month","day","locality","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1778262","PreservedSpecimen","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","s.n.","South America","Brazil","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2030233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778262","NY01778262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01778260","PreservedSpecimen","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","4889","South America","Brazil","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2030231' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778260","NY01778260_01","Y. E. J. Mexia","1930","07","20","State of Minas Geraes. Road to Sao Miguel, km. 8; Corriga Sujo; sandy streambank. Alt. 600 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1778261","PreservedSpecimen","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","9409","South America","Argentina","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2030232' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778261","NY01778261_01",NA,"1956","10","08","Alrededores Cap. Federal. Punta Chica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1778263","PreservedSpecimen","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","s.n.","South America","Brazil","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2030234' target='other'> <mi>dwc_moreinfo</mi></a>","NY01778263","NY01778263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:29:59-03","UFBA","ALCB","18317","PreservedSpecimen","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Loebig.) A. Evans","s/n","Southern America","Brasil",NA,"s.d.",NA,NA,"s. col.","1978","08","30",NA,"São Paulo","Rio Claro","-47.561389","-22.411389","-47.561389","-22.411389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 12:06:17-03","IAP","PACA-BRYOPHYTES","118037","PreservedSpecimen","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","5035",NA,"Brasil",NA,"hucs 45208 Habitat: terrícula em ambiente úmido","PACA118037",NA,"Wasum, R.","2012","07","11","linha pederneira, reserva brum","RS","Santa Teresa","-51.7352981567383","-29.1688995361328",NA,NA,"Costa, D. P.","2017","11","10273","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-09 17:04:20-03","IAP","PACA-BRYOPHYTES","106119","PreservedSpecimen","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","5396",NA,"Brasil",NA,"Habitat: In terra arenosa.","PACA106119",NA,"Sehnem, A.","1951","01","09",NA,"SC","Lages","-50.326099395752","-27.8160991668701",NA,NA,"O. Yano","2010","05","70701","auto",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:39:32-03","NBC","NL-BOTANY","L 0246656","PreservedSpecimen","Plantae",NA,"Hepaticae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200246656 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0246656",NA,"Lindberg GA","1854","08","01",NA,NA,NA,NA,NA,NA,NA,"Long DG",NA,NA,NA,NA,"Marchantiomorpha",NA,NA,NA,NA,NA
"9","2019-11-08 08:50:14-03","FURB","FURB","60210","PreservedSpecimen","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","5035",NA,"Brasil",NA,NA,"FURB60210","FURB60210","Wasum, R.A.","2012","07","11",NA,"Rio Grande do Sul","Santa Tereza","-51.7352981567383","-29.1688995361328",NA,NA,"Costa, D. .P.","2017","11","10273","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-16 17:55:58-03","UCS","HUCS","37549","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","47",NA,"Brasil",NA,"barranco",NA,NA,"Gonzatti, F.","2010","09","19","Passo do canal - Rio Bernardo José","Rio Grande do Sul","Esmeralda","-51.339986","-27.961761","-51.339986","-27.961761","Yano, O.","2012","11",NA,NA,NA,"Marchantiales","773","773",NA,NA
"11","2021-03-16 17:55:58-03","UCS","HUCS","42880","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","1606",NA,"Brasil",NA,"solo, ao lado da cachoeira",NA,NA,"Bordin, J.","2009","07","11","Parque Nacional do Caparaó, Cachoeira Bonita, mata ao lado do Rio José Pedro","Minas Gerais","Alto Caparaó","-41.799167","-20.435278","-41.799167","-20.435278","Peralta, D.F.","2014","07",NA,NA,NA,"Marchantiales","1750","1750",NA,NA
"12","2021-03-16 17:55:58-03","UCS","HUCS","42881","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","1609",NA,"Brasil",NA,"no rio, entre as rochas e sobre elas",NA,NA,"Bordin, J.","2009","07","11","Parque Nacional do Caparaó, Cachoeira Bonita, mata ao lado do Rio José Pedro","Minas Gerais","Alto Caparaó","-41.799167","-20.435278","-41.799167","-20.435278","Peralta, D.F.","2014","07",NA,NA,NA,"Marchantiales","1750","1750",NA,NA
"13","2021-03-16 17:55:58-03","UCS","HUCS","48737","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","4640",NA,"Brasil",NA,"Talosa em solo úmido e sombreado na mata ciliar",NA,NA,"Gonzatti, F.","2018","09","08","Estrada Alegrete para Sant'ana do Livramento, RS 183","Rio Grande do Sul","Quaraí","-55.975833","-30.2975","-55.975833","-30.2975","Peralta, D.F.","2018","11",NA,NA,NA,"Marchantiales","150","150",NA,NA
"14","2021-03-16 17:55:58-03","UCS","HUCS","45208","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","5035",NA,"Brasil",NA,"terrícola em ambiente úmido.",NA,NA,"Wasum, R.A.","2012","07","11","Linha Pederneira, Reserva Brum","Rio Grande do Sul","Santa Tereza","-51.7352981567383","-29.1688995361328",NA,NA,"Costa, D.P.","2017","11","10273","auto",NA,"Marchantiales",NA,NA,NA,NA
"15","2021-03-16 17:55:58-03","UCS","HUCS","51712","PreservedSpecimen","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","s.n.",NA,"Brasil",NA,"barranco próximo a Lagedo",NA,NA,"Bueno, R.M.","1982","01","18","Salto","Rio Grande do Sul","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Vianna, E. .C.",NA,NA,"14404","auto",NA,"Marchantiales",NA,NA,NA,NA
"16","2019-11-25 12:11:39-03","UFSM","SMDB","2415","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A. Evans","s.n.",NA,"Brasil",NA,NA,"SMDB002415",NA,"Bordignon, S.A.L.","1981","11","14","Piquiri","Rio Grande do Sul","Cachoeira do Sul","-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,"71201","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:17:53-03","MBM","MBM","422396","PreservedSpecimen","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","5035","Southern America","Brazil",NA,"Terrícola.; Em ambiente úmido.","MBM422396",NA,"Wasum, R.A.","2012","07","11","Linha Pederneira, Reserva Brum","Rio Grande do Sul","Santa Tereza","-51.7352981567383","-29.1688995361328",NA,NA,"Costa, D.P.","2017","11","10273","auto",NA,NA,NA,NA,NA,NA
"18","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","087341","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1443","Southern America","BRASIL",NA,"mata atlântica, nas bordas do rio das Ostras, junto a entrada da Gruta do Diabo","SP061749",NA,"Vital, D.M.","1968","08","10","próximo da Gruta do Diabo","São Paulo","Eldorado","-48.119444","-24.532778","-48.119444","-24.532778",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA
"19","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","087471","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1573","Southern America","BRASIL",NA,"barranco","SP061724",NA,"Vital, D.M.","1969","07","26","fazenda do Sr Butinolii, Rubião Junior","São Paulo","Botucatu","-48.45","-22.88","-48.45","-22.88",NA,NA,NA,NA,NA,NA,NA,"800","800",NA,NA
"20","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","087632","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1834","Southern America","BRASIL",NA,"Fam. Aitoniaceae","SP062037",NA,"Vital, D.M.","1971","07","20","margens do córrego do Espigão","São Paulo","Paulo de Faria","-49.383333","-20.030833","-49.383333","-20.030833","Yano, O.","1981","04",NA,NA,NA,NA,"440","440","07",NA
"21","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088066","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2251","Southern America","BRASIL",NA,"Growing in shade on a very humid bank, along the road","SP062468",NA,"Vital, D.M.","1973","04","20",NA,"São Paulo","Apiaí","-48.84","-24.51","-48.84","-24.51","Yano, O.",NA,NA,NA,NA,NA,NA,"920","920",NA,NA
"22","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088137","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2403","Southern America","BRASIL",NA,"Growing in shade on very humid aremitic rocks, at the base of a hill along road","SP062539",NA,"Vital, D.M.","1973","06","21",NA,"São Paulo","São José do Rio Pardo","-46.888611","-21.595556","-46.888611","-21.595556","Yano, O.","1981","04",NA,NA,NA,NA,"700","700","08",NA
"23","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088173","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2464","Southern America","BRASIL",NA,"Growing in partial shade, on the banks of the river Pilões","SP062576",NA,"Vital, D.M.","1973","08","18",NA,"São Paulo","Porto Feliz","-47.523889","-23.214722","-47.523889","-23.214722","Vital, D.M.","1973","07",NA,NA,NA,NA,"520","520","30",NA
"24","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088174","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2469","Southern America","BRASIL",NA,"Growing in shade, on a very humid bank of a river conchas (the water has a PH=7)","SP062577",NA,"Vital, D.M.","1973","08","18",NA,"São Paulo","Conchas","-48","-23.02","-48","-23.02",NA,NA,NA,NA,NA,NA,NA,"500","500",NA,NA
"25","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088252","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2618","Southern America","BRASIL",NA,"Growing in shade, on a bank along a small stream, in a small area of a humid and sparce secondary forest","SP062655",NA,"Vital, D.M.","1973","09","21",NA,"São Paulo","Buri","-48.59","-23.799722","-48.59","-23.799722","Yano, O.",NA,NA,NA,NA,NA,NA,"600","600",NA,NA
"26","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088466","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","3044","Southern America","BRASIL",NA,"Growing in shade, on the humid banks of the rio das almas (left margin)","SP062867",NA,"Vital, D.M.","1974","02","19",NA,"Goiás","Ceres","-49.598333","-15.308333","-49.598333","-15.308333","Peralta, D.F.","2005","07",NA,NA,NA,NA,"570","570",NA,NA
"27","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","126968","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","348","Southern America","BRASIL",NA,"Nos barranco umidos da margem direita do rio Sorocaba","SP068223",NA,"Yano, O.","1976","01","23","KM 125 da rodovia SP 280","São Paulo","Boituva","-47.69","-23.28","-47.69","-23.28",NA,NA,NA,NA,NA,NA,NA,"600","600",NA,NA
"28","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","133151","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","Southern America","BRASIL",NA,"Nos bordos de um riacho","SP069783",NA,"Martins, D.M.","1978","08","27","Horto Florestal, Rio Claro","São Paulo","Rio Claro","-47.561389","-22.411389","-47.561389","-22.411389","Vital, D.M.",NA,NA,NA,NA,NA,NA,"630","630",NA,NA
"29","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","133449","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2181","Southern America","BRASIL",NA,"No barranco úmido perto da queda d'água","SP070074",NA,"Yano, O.","1979","10","06","Reserva Florestal de Foz do Iguaçu","Paraná","Foz do Iguaçu","-54.588056","-25.547778","-54.588056","-25.547778","Yano, O.",NA,NA,NA,NA,NA,NA,"170","170",NA,NA
"30","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","133787","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","9183","Southern America","BRASIL",NA,"nos bordos do arroio das Palmas, em sombra parcial","SP070411",NA,"Vital, D.M.","1980","07","16",NA,"Rio Grande do Sul","Bagé","-53.656944","-31.214722","-53.656944","-31.214722","Yano, O.",NA,NA,NA,NA,NA,NA,"210","210",NA,NA
"31","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","189958","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","11198","Southern America","BRASIL",NA,"Sobre rochas calcareas, nas bordas de um riacho","SP085034",NA,"Vital, D.M.","1983","08","27","Caverna do Diabo","São Paulo","Eldorado","-48.119444","-24.532778","-48.119444","-24.532778",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA
"32","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","191592","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","11382","Southern America","BRASIL",NA,"In partial shade on a steep bank, along the river (rio turvo)","SP086365",NA,"Vital, D.M.","1984","08","14",NA,"São Paulo","Itapetininga","-48.053056","-23.591667","-48.053056","-23.591667",NA,NA,NA,NA,NA,NA,NA,"670","670",NA,NA
"33","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","207660","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","12697","Southern America","BRASIL",NA,"In partial shade, on humid banks, along stream (Riacho Emburuçu)","SP089141",NA,"Vital, D.M.","1984","12","26",NA,"Goiás","Formoso","-48.881944","-13.653611","-48.881944","-13.653611",NA,NA,NA,NA,NA,NA,NA,"560","560",NA,NA
"34","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","208385","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","13442","Southern America","BRASIL",NA,"Na face vertical de um rochedo junto a uma pequena cachoeira","SP089645",NA,"Vital, D.M.","1985","11","28",NA,"Goiás","Formosa","-47.334444","-15.537222","-47.334444","-15.537222",NA,NA,NA,NA,NA,NA,NA,"900","900",NA,NA
"35","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","133796","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","9207","Southern America","BRASIL",NA,"a sombra parcial, nos bordos do arroio das ilhas","SP070420",NA,"Vital, D.M.","1980","07","17",NA,"Rio Grande do Sul","São Sepé","-53.248611","-30.327222","-53.248611","-30.327222",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA
"36","2019-05-02 10:52:14-03","IBt","SP-BRYOPHYTA","088210","S","Plantae",NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2548","Southern America","BRASIL",NA,"Growing in partial shade on the bank of the right margin of rio Santo Anastácio","SP062613",NA,"Vital, D.M.","1973","08","23",NA,"São Paulo","Santo Anastácio","-51.610278","-21.838333","-51.610278","-21.838333","Yano, O.",NA,NA,NA,NA,NA,NA,"440","440",NA,NA
"37","2013-10-18 11:16:08-03","MNHN","RECOLNAT_MNHN_PC","PC0094431","PreservedSpecimen",NA,NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans",NA,NA,"Uruguay","hb","prêt date indéterminée pour Davia Long, Edinbourg. Retour 08.02.08 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0094431' target='other'> <mi>dwc_moreinfo</mi></a>","PC0094431",NA,"Herter, W.G.","1931","11","1",NA,"Minas",NA,NA,NA,NA,NA,"Long Davia G.",NA,NA,NA,NA,NA,NA,"200",NA,NA,NA
"38","2018-06-06 09:40:28-03","MNHN","RECOLNAT_MNHN_PC","PC0094427","PreservedSpecimen",NA,NA,"Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans",NA,NA,"Paraguay","hb","prêt date indéterminée pour Davia Long, Edinbourg. Retour 08.02.08 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0094427' target='other'> <mi>dwc_moreinfo</mi></a>","PC0094427",NA,"Balansa, B.","1874","9","1",NA,NA,NA,NA,NA,NA,NA,"Long Davia G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-05-19 18:50:30-03","UNESP-IBILCE","SJRP-BRYOPHYTA","26674","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","10","América do Sul","Brasil",NA,"DUPLICATAS: NX; Terrestre, solo arenoso;",NA,NA,"C. Magalhães & K. Gontijo","2000","11","15",NA,"Mato Grosso","Nova Xavantina","-52.353099822998","-14.6732997894287",NA,NA,"D.F. Peralta","2015","07","79739","auto","Marchantiopsida","Marchantiales",NA,NA,"30",NA
"40","2020-05-19 18:50:16-03","UNESP-IBILCE","SJRP-BRYOPHYTA","27503","S","Plantae","Bryophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","1872","América do Sul","Brasil",NA,"Mata ciliar.",NA,NA,"D. F. Peralta & L. H. Z. Branco","2002","08","13","Córrego do Roncador","Mato Grosso do Sul","Bonito","-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,NA,"71352","auto","Bryopsida","Marchantiales",NA,NA,NA,NA
"41","2020-05-17 19:37:43-03","UNESP-IBILCE","SJRP-BRYOPHYTA","27797","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","1720","América do Sul","Brasil",NA,"Mata ciliar.",NA,NA,"D. F. Peralta & L. H. Z. Branco","2002","06","01","Rio Mimoso","Mato Grosso do Sul","Bonito","-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,NA,"71352","auto","Marchantiopsida","Marchantiales",NA,NA,NA,NA
