FID,family,specie,Comparação,id,inst_code,col_code,catalog_n,recordedby,record_n,year,month,day,state,city,locality,longitude,latitude,precision,protocol,categoria,projeto
0,AMARANTHACEAE,Chamissoa altissima,,54c7ca2294d0c, ,NYBG,493703,A. Gehrt,29552,1932,2,25,SP,Sao Paulo,Pinheiros,-46.63,-23.54, , ,LC,Livro Vermelho 2013
1,BEGONIACEAE,Begonia salesopolensis,,54c7ca423fc62, ,SP,197516,"Custodio Filho, A.",2369,1984,4,6,SP,Biritiba-Mirim,Estação Biológica de Boracéia,-45.866667,-23.633333, , ,CR,Livro Vermelho 2013
2,BEGONIACEAE,Begonia salesopolensis,,54c7caf45c0d1, ,MBM,353118,"Travassos, O.P.",343,1962,3,4,SP,Salesópolis, ,-45.842266,-23.558466, , ,CR,Livro Vermelho 2013
3,BEGONIACEAE,Begonia valdensium,,54c7ca42bf57b, ,SP,384764,"Sebastiani, R.",107,2006,8,24,SP,Santo André,Paranapiacaba. Trilha do Mogi,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
4,LAURACEAE,Ocotea laxa,,54c7ca81cebbc, ,SPSF,20003,N.S.Avila,369,1994,9,13,SP,Sao Paulo,mata,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
5,MYRTACEAE,Calyptranthes concinna,,54c7ca9f9d0a2, ,SP,31639,s.col.,226,0,0,0,SP,São Paulo,Serra da Cantareira.,-46.645745,-23.444658, , ,LC,Livro Vermelho 2013
6,MYRTACEAE,Campomanesia pubescens,,54c7caa150de5, ,SPSF,29155,J.B.Baitello,1091,2001,11,22,SP,Franco da Rocha,P.E.Juqueri,-46.693792,-23.351547, , ,LC,Livro Vermelho 2013
7,MYRTACEAE,Myrcia guianensis,,54c7caada2b5b, ,SP,28133,"Hoehne, F.C.",s.n.,1931,8,10,SP,São Paulo,Nativa no Jardim BotÃ¢nico.,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
8,MYRTACEAE,Myrcia guianensis,,54c7cb33be39f, ,SP,339017,"Hashimoto, G.",17041,1949,11,2,SP,Guarulhos, ,-46.452758,-23.418506, , ,LC,Livro Vermelho 2013
9,ORCHIDACEAE,Cleistes libonii,,54c7cb38cd492, ,NYBG,414847,D. Lemos,s.n.,1939,4,8,SP,Ribeirao Pires, ,-46.401692,-23.701233, , ,LC,Livro Vermelho 2013
10,PASSIFLORACEAE,Passiflora tricuspis,,54c7cb3c69266, ,MOBOT,100154945, , ,1994,11,25,SP, ,Jundiai,-46.88,-23.19, , ,LC,Livro Vermelho 2013
11,POACEAE,Arthropogon xerachne,,54c7cb6d68b0d, ,US,3168439,Löfgren,243,1910,0,0,SP,São José dos Campos,in campo,-45.913422,-23.153068, , ,CR,Livro Vermelho 2013
12,PTERIDACEAE,Doryopteris lomariacea,,54c7cb466df5e, ,ESA,72886,"Salino, A.",6530,2001,4,12,SP,São Paulo, ,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
13,SAPOTACEAE,Pouteria reticulata,,54c7cad4a250a, ,SP,118383,"Mattos, J.",11849,1964,11,7,SP,Itapecerica da Serra,Na mata,-46.852707,-23.738785, , ,LC,Livro Vermelho 2013
14,SOLANACEAE,Solanum diploconos,,54c7cad778336, ,IAC,23497,P. GonÃ§alves, ,1932,11,10,SP,São Paulo,Serra da Cantareira,-46.6361,-23.5475, , ,LC,Livro Vermelho 2013
15,SOLANACEAE,Solanum diploconos,,54c7cb5b24fb8, ,SPSF,30199,P.GonÃ§alves, ,1932,11,10,SP,Serra da Cantareira, ,-46.649655,-23.427408, , ,LC,Livro Vermelho 2013
16,VERBENACEAE,Verbena hirta,,54c7cadfdb073, ,RB,447722, , ,1912,11,0,SP,Mooca, ,-46.592004,-23.559493, , ,LC,Livro Vermelho 2013
17,AMARANTHACEAE,Alternanthera tenella,,54c7ca2186298, ,NYBG,487058,R. Kral,75368,1988,10,27,SP,Sao Paulo,Instituto BotÃ¢nico,-46.63,-23.54, , ,LC,Livro Vermelho 2013
18,ANNONACEAE,Duguetia lanceolata,,54c7ca27cbfc7, ,SPSF,04499, , ,0,0,0,SP,Sao Paulo,Horto Florestal,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
19,EUPHORBIACEAE,Croton serratifolius,,54c7cb0ec11c8, ,SP,1932,"Hoehne, W.",s.n.,1945,9,12,SP,Caieiras, ,-46.743846,-23.378707, , ,LC,Livro Vermelho 2013
20,FABACEAE,Collaea speciosa,,54c7ca6c10db1, ,SP,172,"Hoehne, F.C.",s.n.,1917,6,1,SP,São Paulo,Butantan,-46.723667,-23.574243, , ,LC,Livro Vermelho 2013
21,FABACEAE,Piptadenia gonoacantha,,54c7ca750ff63, ,RB,166007, , ,1992,2,5,SP,Paraibuna, ,-45.618638,-23.476066, , ,LC,Livro Vermelho 2013
22,LAURACEAE,Ocotea curucutuensis,,54c7cb1e6e316, ,MBM,269234,"Farah, F.T.",2156,2001,4,12,SP,São Paulo, ,-46.593792,-23.517736, , ,NT,Livro Vermelho 2013
23,ORCHIDACEAE,Epidendrum secundum,,54c7cab90e5d1, ,UEC,95454,"Pansarin, E.R.",9780,0,0,0,SP,Atibaia,Pedra Grande,-46.52844,-23.167878, , ,LC,Livro Vermelho 2013
24,SAPOTACEAE,Pouteria reticulata,,54c7cb5862a7c, ,NYBG,375535,F. C. Hoehne, ,1933,9,4,SP,Sao Paulo, ,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
25,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f40f0a, ,NYBG,884425,T. Sendulsky,663,1967,4,9,SP,Cotia,34 km SW of center of city of São Paulo,-46.91,-23.6, , ,LC,Livro Vermelho 2013
26,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f4100d, ,NYBG,884428,G. Eiten,1852,1960,4,12,SP,Mairipora,Eastern boundary [of municipio]. 18 km north along road from Rio-São Paulo highway towards Nazare Paulista. 4.3 km S of village of Tapera Grande. Near southwest end of Serra do Itaberaba (or Itaberá).,-46.542454,-23.29932, , ,LC,Livro Vermelho 2013
27,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f41088, ,NYBG,884429,O. G. Fonseca,s.n.,1967,4,18,SP,Cotia,34 kn sudoeste do centro da cidade de São Paulo,-46.91,-23.6, , ,LC,Livro Vermelho 2013
28,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f41102, ,NYBG,884430,J. Mattos,14562,1967,3,30,SP,Sao Paulo,"Serra da Cantareira, no HÃ´rto Florestal",-46.63,-23.54, , ,LC,Livro Vermelho 2013
29,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f414d8, ,SPSF,41336,F.A.R.D.P Arzolla & G.C.R.de Paula & G.V.Menezes,1364,2005,3,8,SP,São Paulo,P.E.Jaraguá,-46.763611,-23.451389, , ,LC,Livro Vermelho 2013
30,ACANTHACEAE,Aphelandra longiflora,,54c7ca1f41c5d, ,RB,418833,Rose M. Pio, ,1979,5,9,SP,São Roque,Ex. Instituto AgronÃ´mico de Campinas.,-47.1353,-23.5292, , ,LC,Livro Vermelho 2013
31,ACANTHACEAE,Aphelandra longiflora,,54c7ca1fc8666, ,RB,425069,"Campos Porto, P.",237,1916,0,0,SP,São Paulo, ,-46.589193,-23.529234, , ,LC,Livro Vermelho 2013
32,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f47bb8, ,IAC,6108,A.S. Lima, ,1941,1,16,SP,Salesópolis,Estação Experimental de Boracéia (MZUSP),-45.8464,-23.5322, , ,LC,Livro Vermelho 2013
33,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f47f1c, ,SP,14725,"Luederwaldt, H.",s.n.,1913,1,0,SP,Santo André,"E.B. do Alto da Serra de Paranapiacaba-Alto da Serra, procendente do bairro Ipiranga cultivada no Horto do Museu Paulista",-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
34,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f47f95, ,SP,14727,"Usteri, A.",s.n.,1907,1,6,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
35,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f4800e, ,SP,1605,"Hoehne, F.C.",s.n.,1918,3,4,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
36,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f481ef, ,SP,6554,"Brade, A.C.",s.n.,1913,2,2,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
37,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f48269, ,SPSF,10346,A.Custodio Filho,2565,1986,4,19,SP,Biritiba Mirim,E.B.Boraceia,-45.866667,-23.633333, , ,LC,Livro Vermelho 2013
38,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f482e3, ,SPSF,10375,A.Custodio Filho,2501,1984,5,29,SP,Biritiba Mirim,E.B.Boraceia,-45.866667,-23.633333, , ,LC,Livro Vermelho 2013
39,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f4835c, ,SPSF,10506,A.Custodio Filho,2647,1986,5,29,SP,Biritiba Mirim,E.B.Boraceia,-45.866667,-23.633333, , ,LC,Livro Vermelho 2013
40,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f48817, ,UEC,66337,"Lima, A.S.",s.n.,0,0,0,SP,Boracea,Est. Experimental,-45.866667,-23.633333, , ,LC,Livro Vermelho 2013
41,ACANTHACEAE,Aphelandra prismatica,,54c7ca1f489f8, ,SPSF,10072,A.Custodio Filho,2102,1983,12,28,SP,Biritiba Mirim,E.B.Boraceia,-45.866667,-23.633333, , ,LC,Livro Vermelho 2013
42,ACANTHACEAE,Aphelandra prismatica,,54c7ca8703cf7, ,MBM,85589,"Bartolomeu, J.G.",s.n.,1953,12,27,SP,Mongaguá, ,-46.667854,-24.070942, , ,LC,Livro Vermelho 2013
43,ACANTHACEAE,Aphelandra prismatica,,54c7caae2e191, ,MBM,155135,"Bartolomeu, J.G.",s.n.,1953,12,27,SP,Mongaguá, ,-46.667854,-24.070942, , ,LC,Livro Vermelho 2013
44,ACANTHACEAE,Aphelandra squarrosa,,54c7ca1f4b1d4, ,NYBG,484147,M. Kuhlmann,4076,1957,5,15,SP,Cubatao,Cubatao,-46.42,-23.89, , ,LC,Livro Vermelho 2013
45,ACANTHACEAE,Dicliptera squarrosa,,54c7ca1f4c496, ,UEC,72339,"ProenÃ§a, S.L.",14,0,0,0,SP,Jundiaí,Serra do Japi,-46.934233,-23.29517, , ,LC,Livro Vermelho 2013
46,ACANTHACEAE,Justicia brasiliana,,54c7ca1fca115, ,ESA,19398,"Barreto, K.D. Fernandes, G.D., Vitti, F.X.",2150,1994,3,9,SP,Cabreúva,Mata da Casa Branca. Mata mesófila semidecídua.,-47.014,-23.16, , ,LC,Livro Vermelho 2013
47,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd184f, ,SP,115719,"Mattos, J.R.",15628,1971,7,26,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
48,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd18cc, ,SP,160281,"Custodio Filho, A.",37,1979,7,3,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
49,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1949, ,SP,160282,"Custodio Filho, A.",38,1979,7,3,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba-Picada quinze,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
50,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd19c6, ,SP,161107,"Kirizawa, M.",463,1979,8,2,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
51,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1a42, ,SP,163801,"Muniz, C.F.S.",14,1979,8,1,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
52,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1abe, ,SP,163807,"Muniz, C.F.S.",16,1979,8,1,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
53,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1b39, ,SP,163813,"Muniz, C.F.S.",29,1979,8,2,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
54,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1bb4, ,SP,165417,"Sakane, M.",679,1977,11,11,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
55,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1c2e, ,SP,168221,"Custodio Filho, A.",303,1980,7,30,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.35,-23.766667, , ,LC,Livro Vermelho 2013
56,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1caa, ,SP,168222,"Custodio Filho, A.",304,1980,7,30,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.35,-23.766667, , ,LC,Livro Vermelho 2013
57,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1d27, ,SP,1752,"Hoehne, F.C.",s.n.,1918,4,6,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
58,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1da3, ,SP,180130,"Kirizawa, M.",833,1982,10,27,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
59,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1e21, ,SP,1821,"Hoehne, F.C.",s.n.,1918,4,19,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
60,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1e9e, ,SP,192791,"Sugiyama, M.",289,1983,6,27,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.316667,-23.783333, , ,LC,Livro Vermelho 2013
61,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1f1b, ,SP,199408,"Sugiyama, M.",524,1984,6,12,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.316667,-23.783333, , ,LC,Livro Vermelho 2013
62,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd1f97, ,SP,199466,"Custodio Filho, A.",2459,1984,5,22,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.316667,-23.783333, , ,LC,Livro Vermelho 2013
63,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd2011, ,SP,199493,"Custodio Filho, A.",2491,1984,5,22,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.316667,-23.783333, , ,LC,Livro Vermelho 2013
64,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd208c, ,SP,200109,"Kirizawa, M.",1301,1984,9,11,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
65,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd210b, ,SP,202664,"Kirizawa, M.",1476,1985,6,28,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
66,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd2189, ,SP,221467,"Sugiyama, M.",779A,1988,5,27,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
67,ACANTHACEAE,Justicia brasiliana,,54c7ca1fd2207, ,SP,55429,"Handro, O.",597,1956,7,12,SP,Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.413092,-23.807015, , ,LC,Livro Vermelho 2013
68,ACANTHACEAE,Justicia catharinensis,,54c7ca1fd5408, ,NYBG,492052,M. Kuhlmann,3772,1956,4,12,SP,Salesópolis,"Salesópolis, Boracéia. Barrancas juntos ao caminho matas do DAE, junto Ã  estaçao Biológica de Boracéia",-45.84,-23.53, , ,NT,Livro Vermelho 2013
69,ACANTHACEAE,Justicia kleinii,,54c7ca205873b, ,ESA,25133,"Souza, V.C. Souza, J.P. et al.",9253,1995,10,8,SP,Itanhaém,Fazenda São Luís. Mata AtlÃ¢ntica.,-46.812912,-24.070898, , ,LC,Livro Vermelho 2013
70,ACANTHACEAE,Justicia kleinii,,54c7ca2059281, ,UEC,76613,"Souza, V.C.",9253,0,0,0,SP,Itanhaém,Fazenda São Luís-Mata AtlÃ¢ntica.,-46.812912,-24.070898, , ,LC,Livro Vermelho 2013
