"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:36:45-03","E","E","44106","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Dusen, P.","9807","1910","04","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51636","<a href=http://data.rbge.org.uk/herb/E00044106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","44107","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Spruce, R.","4458","1905","01","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51635","<a href=http://data.rbge.org.uk/herb/E00044107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:45-03","E","E","44105","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Gardner, George","842","1905","01","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51637","<a href=http://data.rbge.org.uk/herb/E00044105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02689929","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides parviflora","J. J. Wurdack","39561","1955","10","13","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288555' target='other'> <mi>dwc_moreinfo</mi></a>","NY02689929","Magnoliophyta","Dioscoreales","parviflora","(Hook.) Miers","Bolívar","Morichal west of ranch house, Hato La Vergareña","400","400","NY02689929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:42-03","UFRJ","RFA","4556","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","P. Occhioni; Laboureau","1274","1951","05","11",NA,"Brasil",NA,NA,"Saprófita","RFA36541",NA,NA,NA,"(Hook.) Miers","Rio de Janeiro","Morro Queimado",NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:42-03","UFRJ","RFA","7618","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","P. Occhioni","48","1945","04","25",NA,"Brasil",NA,NA,"Planta saprófita; flor creme, rizoma rico em micorriza","RFA36540",NA,NA,NA,"(Hook.) Miers","Rio de Janeiro","Estrada do Redentor",NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:15-03","UFRJ","RFA","23111","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","F. Segadas-Vianna","5118","1950","05",NA,NA,"Brasil",NA,NA,NA,"RFA36542",NA,NA,NA,"(Hook.) Miers","Rio de Janeiro","Serra do Itatiaia",NA,NA,NA,"Resende","-44.4467010498047","-22.468900680542","36089","auto","L.B. Smith","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-24 18:14:23-03","UFBA","ALCB","42627","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Queiroz, EP; Costa, JAS","0008","1999","05","15","Southern America","Brasil",NA,NA,"Ca 15 cm. Sapr¢fita. Caule aclorofilado. Folhas escamiformes, aclorofiladas, diminutas, membran ceas. InflorescÆncia em cimas simples. Flores com pedicelos de 2 mm; perig#?#nio corol¡neo. FrequÆncia rara.; Mata Atlntica. Floresta ombr¢fila densa de al",NA,"Monocotyledon",NA,NA,"(Hook.f.) Miers","Bahia","Recôncavo Sul, Distrito de Pedra Branca. Próximo ao município de Castro Alves. Serra da Jibóia",NA,NA,NA,"Santa Teresinha","-39.466667","-12.85",NA,NA,"Queiroz, EP","1999","06","-39.466667","-12.85",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:27:41-03","UFBA","ALCB","74064","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Sousa, DC de; Nogueira, T; Guedes, ML; Valadão, RM; Carvalho, G; Santos, JS","33","2006","08","02","Southern America","Brasil",NA,NA,"de ca 10cm. Flores alvas. Ocasional.","ALCB005962","Monocotyledon",NA,NA,"(Hook.f.) Miers","Bahia","Piemonte da Diamantina, Sete Passagens. Ponto 196","1045","1045","ALCB005962","Miguel Calmon","-40.516667","-11.333333",NA,NA,"Watanabe, MTC","2007","04","-40.516667","-11.333333",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:27:41-03","UFBA","ALCB","74068","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides","Nogueira, T; Guedes, ML; Valadão, RM; Carvalho, G; Santos, JS; Sousa, DC de","33","2006","08","03","Southern America","Brasil",NA,NA,"de ca 10cm. Flores alvas.","ALCB005963","Monocotyledon",NA,NA,"(Hook.f.) Miers","Bahia","Piemonte da Diamantina, Sete Passagens. Ponto 200","1108","1108","ALCB005963","Miguel Calmon","-40.516667","-11.333333",NA,NA,NA,"2006","10","-40.516667","-11.333333",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:00:00-03","NBC","NL-BOTANY","L.1487214","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Hatschbach GG",NA,"1966","03","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1487214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1487214",NA,"Dioscoreales","orobanchoides",NA,"Paraná",NA,NA,NA,"NL-L1487214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0413154",NA,NA,NA,NA
