"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","day","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","250350","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.","isotype","A. C. Brade","18078","1946","South America","Brazil","Espírito Santo","Itaguaçu","Alto Limoneiro","-40.8556","-19.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250350","NY00250350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085706","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.",NA,"A. C. Brade","18078","1946","South America","Brazil","Espírito Santo",NA,"Itaguaçu, Alto Limoeiro",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085706","NY01085706_01","05","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","250351","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.","isotype","A. C. Brade","18078","1946","South America","Brazil","Espírito Santo","Itaguaçu","Alto Limoneiro","-40.8556","-19.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250351","NY00250351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:43:18-03","EAO","IAN","35224","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.",NA,"Glaziou, AFM","8952",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN035224","IAN035224_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:04:36-03","FURB","FURB","21399","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","cordigera",NA,"Peperomia cordigera","Dahlst.",NA,"Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1140","2010",NA,"Brasil","Santa Catarina","Imaruí","Forquilinha.","-48.8697223","-28.1647222",NA,"Epífita IFFSC e148a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita em árvore caída;","FURB03839","FURB03839","01","28","Borgo, M","2011","05","-48.8697223","-28.1647222","666","666",NA,NA,NA,NA
"6","2020-12-21 16:39:30-03","MBM","MBM","347351","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.","ISOTYPE","Brade, A.C.; et al.; et al.","18078","1946","Southern America","Brazil","Espírito Santo","Itaguassu","Alto Limoeiro","-40.855598449707","-19.8019008636475",NA,NA,"MBM347351","MBM347351","05","10","Guimarães, E.F.",NA,NA,NA,NA,NA,NA,"26990","auto",NA,NA
"7","2015-09-22 21:05:47-03","MNHN","RECOLNAT_MNHN_P","P00624786","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","cordigera",NA,"Peperomia cordigera","Dahlst.","isotype","Glaziou, A.",NA,"1877",NA,"Brésil",NA,NA,"sommet du pic du Retiro à Petropolis",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00624786' target='other'> <mi>dwc_moreinfo</mi></a>","P00624786","P00624786_01","4","6","Yuncker",NA,NA,NA,NA,"1360",NA,NA,NA,"8952",NA
"8","2020-03-12 04:39:00-03","MO","MOBOT","2478731","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","cordigera",NA,"Peperomia cordigera","Dahlst.",NA,"Gösta Jönsson","Jönsson 579a",NA,"South America","Brazil","Paraná",NA,"Porto de Cima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-04 19:24:46-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","cordigera",NA,"Peperomia cordigera",NA,"Type [status unknown]","A. Glaziou","8952",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"10","2019-11-21 10:14:15-03","IBt","SP","413168","S","Plantae",NA,NA,"Piperaceae","Peperomia","cordigera","pililamina","Peperomia cordigera pililamina","Yunck.","Isotype","Brade, AC; Altamiro; Aparicio","18078","1946",NA,"Brasil","Espírito Santo","Itaguaçu","Alto Limoeiro","-40.855598449707","-19.8019008636475",NA,NA,"SP001464","SP001464","05","10","Guimarães, EF",NA,NA,NA,NA,NA,NA,"26990","auto",NA,NA
