"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02703780","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","M. G. Bovini","3999","2014","06","04","South America","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina, estrada da trilha do ouro. 1470m.","-44.622222","-22.751111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2988747' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703780","NY02703780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:33:32-03","UNICAMP","UEC","182636","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Torres, RB; Paula, JB; Pereira, CA","1306","2000","08","17",NA,"Brazil","Minas Gerais","Camanducaia","Fragmento de João de Brás, ligado ao Zé Teixeirinha","-46.059722","-22.732222",NA,"Árvore 12m de alt. Flores com cálice verde, corola rosada, anteras amarelas, frutos imaturos verdes.; Mata de encosta.","UEC033034","UEC033034","Esteves, GL","2003","02","-46.059722","-22.732222","1282","1282",NA,NA,NA,NA
"3","2021-03-01 16:33:32-03","UNICAMP","UEC","111285","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Freitas, L; Sazima, M; San Martin-Gajardo, I","428","1998","07","24",NA,"Brazil","Minas Gerais","São Roque de Minas","São José do Barreiro, SP 221 Km 17.","-46.3657989501953","-20.2453002929688",NA,"Arvoreta ca. 8m. Flores com botões brancos, com corola de lilás a violeta; anteras e polem amarelo vivo. Odor de verduras frescas; cálice pulverulento.; Floresta Ombrófila Montanha",NA,NA,"Takeuchi, C","2009","05",NA,NA,NA,NA,"05","57119","auto",NA
"4","2021-03-01 16:33:32-03","UNICAMP","UEC","64912","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Buzato, S","31746","1993","09","13",NA,"Brazil","São Paulo","Campos do Jordão","Estrada de rodagem Taubaté.","-45.5900001525879","-22.7299995422363",NA,"Arvore ca. 10 m de alt. Flores purpuras.","UEC118709","UEC118709","Takeuchi, C","2013","09",NA,NA,NA,NA,NA,"21048","auto",NA
"5","2021-03-01 16:33:32-03","UNICAMP","UEC","64909","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Buzato, S","31745","1993","09","13",NA,"Brazil","São Paulo","Campos do Jordão","Estrada de rodagem Taubaté -Campos do Jordão.","-45.5900001525879","-22.7299995422363",NA,"Árvore ca. 10m de alt. , flores púrpuras.","UEC118667","UEC118667","Takeuchi, C","2013","09",NA,NA,NA,NA,NA,"21048","auto",NA
"6","2021-03-01 16:33:32-03","UNICAMP","UEC","86423","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Buzato, S","33724","1995","05","30",NA,"Brazil","São Paulo","Campos do Jordão","Estrada Taubaté.","-45.5900001525879","-22.7299995422363",NA,"Árvore ca. 10 m de alt, flores roxas.","UEC118681","UEC118681","Takeuchi, C","2013","09",NA,NA,NA,NA,NA,"21048","auto",NA
"7","2021-03-01 16:33:32-03","UNICAMP","UEC","65684","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Sazima, M","31790","1994","08","04",NA,"Brazil","São Paulo","São Paulo","Estrada de rodagemTaubaté.","-46.6300010681152","-23.5400009155273",NA,"Flores branca a púrpura. Arbórea.","UEC118710","UEC118710","Takeuchi, C","2013","09",NA,NA,NA,NA,NA,"53584","auto",NA
"8","2020-12-11 11:37:45-03","UFMG","BHCB","173504","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L. Esteves & Krapov.","Torres, RB; Paula, JB de; et al.","1306","2000","08","17","Southern America","Brasil","Minas Gerais","Camanducaia","Fragmento do Antonio Cascalho, Mata de encosta e topo","-46.1446990966797","-22.7553005218506",NA,"Árvore, ca. 12m alt. Flores com cálice verde, corola rosada, anteras amarelas. Frutos imaturos verdes","BHCB018581",NA,NA,"2003","02",NA,NA,NA,NA,NA,"22140","auto",NA
"9","2020-12-11 11:37:45-03","UFMG","BHCB","173503","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L. Esteves & Krapov.","Torres, RB; Paula, JB de; Pereira, CA","1402","2000","12","22","Southern America","Brasil","Minas Gerais","Camanducaia","Mata do Chico Rei, Dossel, clareira","-46.1446990966797","-22.7553005218506",NA,"Árvore, ca. 13m alt. Frutos imaturos verdes","BHCB018582",NA,NA,"2003","02",NA,NA,NA,NA,NA,"22140","auto",NA
"10","2019-11-13 11:24:45-03","USP","SPF","99669","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Rossi, L","1563","1994","07","16",NA,"Brasil","São Paulo","São José do Barreiro","Parque Nacional da Bocaina. Estrada da Fazenda Floresta em direção a Posses.","-44.5699996948242","-22.6399993896484",NA,NA,"SPF00099669",NA,"Takeuchi, C","2014","07",NA,NA,NA,NA,NA,"30784","auto",NA
