"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:37-03","UNESC","CRI","1507","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","J. B. Baitello","R. R. B. Negrelle; et al.","360","1992","08","27","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003614","CRI003614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","1509","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","J. B. Baitello","R. Negrelle; et al.",NA,"1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003617","CRI003617","1993","06","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","1508","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","J. B. Baitello","R. Negrelle; et al.",NA,"1992","03","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003618","CRI003618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","3575","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","Raquel Rejane Bonatto Negrelle","Raquel Rejane Bonatto Negrelle",NA,"1992","05","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI003611","CRI003611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","1253","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","V. C. Zanette","V. Citadini-Zanette; et al.","1497","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Floresta Ombrófila Densa Habito: árvore","CRI003613","CRI003613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:24-03","UNESC","CRI","9521","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","A. Quinet","A. Korte; A. Kniess","2447","2010","04","01","Brasil","Santa Catarina","Ascurra","Ilze Grande.","-49.320556","-27","49º19'14''W","27º0'0''S","154","154","Floresta Ombrófila Densa","CRI003615","CRI003615","2010","09","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","9653","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez",NA,"A. Stival-Santos; E. Legal & S. Silveira","2990","2010","06","16","Brasil","Santa Catarina","Biguaçu","Intituto Itaúna de Educação Ambiental.","-48.655556","-27.494167","48º39'20''W","27º29'39''S","66","66","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003616","CRI003616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","564105","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez",NA,"A. F. M. Glaziou","18441","1890","11","02","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564105","NY00564105_01",NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","564101","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","J. G. Rohwer","G. Jönsson","608a","1914","06","26","Brazil","Paraná","Morretes","Serra do Mar, Porto de Cima","-48.8342","-25.4769",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564101","NY00564101_01",NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","564103","PreservedSpecimen","Plantae","Lauraceae","Ocotea","dispersa","Ocotea dispersa","(Nees & Mart.) Mez","J. G. Rohwer","R. M. Klein","1260","1955","03","31","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564103","NY00564103_01",NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
