"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031718","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","E. Pereira","2533","1957","03","21","South America","Brazil","Minas Gerais","Serra da Caraça, Morro da Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031718","NY01031718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1031719","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","H. S. Irwin","22423","1969","01","22","South America","Brazil","Minas Gerais","Ca. 26km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186269' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031719","NY01031719_01","-43.7","-18.38","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031722","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","H. S. Irwin","28867","1971","01","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031722","NY01031722_01","-43.4927778","-20.1263","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031721","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","H. S. Irwin","28434","1970","03","27","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 10 km S. of São João da Chapada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186276' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031721","NY01031721_01","-43.7279","-18.13505","1200","1200","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031720","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","H. S. Irwin","27471a","1970","03","14","South America","Brazil","Minas Gerais","Serra do Espinhaço, Ca. 18 km E. of Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031720","NY01031720_01","-43.5366667","-18.1838","1000","1000","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031723","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","martianum","Epidendrum martianum","Lindl.","G. F. J. Pabst","H. S. Irwin","29069","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço, sandstone summit of Serra de Caraça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031723","NY01031723_01","-43.508849","-20.130068","1750","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01045417","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","setiferum","Epidendrum setiferum","Lindl.","G. F. J. Pabst","H. S. Irwin","28962","1971","01","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower slopes of Serra da Caraça. Ca. 10 km W. of Barão de Cocais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045417","NY01045417_01","-43.4927778","-20.1263","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01045422","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","setiferum","Epidendrum setiferum","Lindl.","G. F. J. Pabst","H. S. Irwin","22165","1969","01","18","South America","Brazil","Minas Gerais","Ca. 12km SW of Diamantina. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184793' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045422","NY01045422_01","-43.7","-18.27","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01045421","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","setiferum","Epidendrum setiferum","Lindl.","G. F. J. Pabst","H. S. Irwin","22420","1969","01","22","South America","Brazil","Minas Gerais","Ca. 26km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184798' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045421","NY01045421_01","-43.7","-18.38","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01045839","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","setiferum","Epidendrum setiferum","Lindl.","E. Hágsater","G. G. Hatschbach","28970","1972","01","19","South America","Brazil","Minas Gerais","Guinda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045839","NY01045839_01","-43.6003","-18.2494","1400","1400","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
