"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","dayIdentified","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","469068","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","aptera","Inga aptera","(Vinha) T.D.Penn.","T. D. Pennington","W. W. Thomas","9931","1993","05","13","South America","Brazil","Bahia","Belmonte","Barrolândia, Estação Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","-39.25","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01095642","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","aptera","Inga aptera","(Vinha) T.D.Penn.","T. D. Pennington","W. W. Thomas","9931","1993","05","13","South America","Brazil","Bahia","Belmonte","Barrolândia, Estação Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","-39.25","-16.13","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1513378' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095642","NY01095642_01 NY01095642_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-30 13:28:04-03","EBDA","BAH","4434","S","Plantae",NA,NA,"Fabaceae","Affonsea","bahiensis","Affonsea bahiensis","Vinha","T.S. dos Santos","T. S dos Santos","3779","1982","08","09",NA,"Brasil","Bahia","Ilhéus","Área do CEPEC, Km 22 da Rod. Ilhéus/Itabuna BR 415. Quadra D. Inventário Florestal.","-39.0494","-14.7889",NA,"Arvore de 6,0m e 3,0cm diametro. Flores amarelas estames esverdiados.",NA,NA,"1982","08","61245","50","50","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:16:15-03","UFBA","ALCB","61331","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","aptera","Inga aptera","(Vinha) T.D.Penn.",NA,"Silva, MM da; Oliveira, RP de; França, F; Santos, MA dos","404","2000","05","05","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, Una - Estrada para povoado Pedras depois da entrada da reserva. Entrada a esquerda a 16 km da entrada da reserva","-39.050556","-15.269444",NA,"com ca. de 3 m. Folhas coriáceas. Frutos imaturos cobertos com tricomas marrons.","ALCB023040","ALCB023040",NA,NA,NA,"60","60",NA,"-39.050556","-15.269444",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:08:42-03","NBC","NL-BOTANY","L.1060866","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Affonsea","bahiensis","Affonsea bahiensis","Vinha",NA,"Santos TS dos",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1060866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1060866","NL-L1060866",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"6","2020-02-08 09:09:13-03","NBC","NL-BOTANY","U.1306931","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","aptera","Inga aptera","(Vinha) T.D.Penn.",NA,"Maas PJM; Maas-van de Kamer H; Hage JL",NA,"1987","11","24","Southern America","Brazil",NA,NA,"Flora of Brazil, Institute of Systematic Botany, Utrecht (U). Mun. de Ilheus, grounds of Cepec (km 22 of road BR-415, heus to Itabuna).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1306931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1306931","NL-U1306931",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2020-12-21 16:25:15-03","MBM","MBM","150564","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Affonsea","bahiensis","Affonsea bahiensis","Vinha","Santos, T.S. dos","Santana, S.C. de; et al.; et al.","296",NA,NA,NA,"Southern America","Brazil","Bahia","Ilhéus","Área do CEPEC","-39.0494003295898","-14.7889003753662",NA,NA,"MBM150564","MBM150564",NA,NA,"61245",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-11-06 15:13:36-02","MNHN","RECOLNAT_MNHN_P","P01818409","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","aptera","Inga aptera","(Vinha) T.D.Penn.",NA,"Santos, T.S. dos",NA,"1971","7","15",NA,"Brésil",NA,NA,"Itabuna - Bahia, Taboquinha x Urucuca - Capoeira",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818409' target='other'> <mi>dwc_moreinfo</mi></a>","P01818409","P01818409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1774",NA,NA,NA,NA
"9","2020-12-11 11:36:04-03","UFMG","BHCB","91111","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","aptera","Inga aptera","Vinha",NA,"Stehmann, JR; Lombardi, JA; Mota, RC da","4020","2005","02","21","Southern America","Brasil","Minas Gerais","Santa Maria do Salto","Fazenda Duas Barras, trilha do Pequizeiro","-40.056083","-16.405194",NA,"Árvore, cerca de 15m de altura; em remanescente de Floresta Ombrófila Densa. Coordenadas originais: 16°24'18,7-23'59S; 40°03'21,9-42,5W","BHCB007188",NA,"2013","04",NA,"770","770",NA,"-40.056083","-16.405194",NA,NA,"23",NA,NA,NA
"10","2020-08-03 16:49:00-03","MO","MOBOT","101211709","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","aptera","Inga aptera","(Vinha) T.D. Penn.",NA,"Talmon S. dos Santos","Santos 1774","1971","7","15","South America","Brazil","Bahia",NA,"Taboquinhas x Uruçuca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA
