"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","442576","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","R. C. Barneby","J. Cordeiro","950","1992","11","19","South America","Brazil","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2656","-26.1925","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442576","NY00442576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442574","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","R. C. Barneby","A. C. Cervi","2319","1985","10","04","South America","Brazil","Paraná","Porto Amazonas","Rio dos Papagaios","-49.8903","-25.5447",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442574","NY00442574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442578","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","A. Gehrt","F. C. Hoehne","23345","1928","11","03","South America","Brazil","Paraná","Ponta Grossa","Campo de Villa Velha","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442578","NY00442578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442575","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","R. C. Barneby","J. M. Silva","2754","1998","12","29","South America","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.2656","-26.1925",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442575","NY00442575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442573","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","R. C. Barneby","G. G. Hatschbach","5508","1959","01","29","South America","Brazil","Paraná","Tibagi","Estr. Castro-Tibagi","-50.4133","-24.5094",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442573","NY00442573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","442572","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","R. C. Barneby","G. G. Hatschbach","53721","1990","01","20","South America","Brazil","Paraná","Ponta Grossa","Rod. BR-376, próx. ao Anfiteatro","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442572","NY00442572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","442577","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","E. L. Ekman","P. K. H. Dusén","10903","1910","12","02","South America","Brazil","Paraná","Telêmaco Borba","Lagoa","-50.6156","-24.3242",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442577","NY00442577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","442579","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","A. E. Burkart","R. Reitz","5351","1953","01","27","South America","Brazil","Santa Catarina","Mafra",NA,"-49.8053","-26.1117","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442579","NY00442579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:10:42-03","UTFPR","DVPR","5646","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","Cordeiro, J","Silva, JM","9275","2016","03","26",NA,"Brasil","Paraná","Sengés","PCH. Fazenda Entre Rios.","-49.3726","-24.0717","625","625",NA,"Arbusto apoiante, fruto seco.; Cerrado , margem de rio.","DVPR005646",NA,"2016","11","22","-49.3726","-24.0717",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-27 11:21:59-03","PUCPR","HUCP","25519","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Mimosa","lanata","Mimosa lanata","Benth.","Ribas, OS","Felitto, G; E.D.Lozano; D.P. Saridakis; D.F. Melatti","504","2013","03","22",NA,"Brasil","Parana","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Arbusto, 80 cm, frutos maduros amarronzados. Beira de rio.","HUCP00025519","HUCP00025519","2013","03",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA
