"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01054926","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","F. L. R. Filardi","E. P. Heringer","15861","1976","06","12","South America","Brazil","Distrito Federal","Brasília","Sobradinho-Fercal","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054926","NY01054926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 05:46:00-03","NY","NYBG","603879","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum",NA,"A. M. V. de Carvalho","I. G. Vargas Caballero","590","1990","06","12","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Perseverancia, Riberas del Río Negro, 5 km al S, Río arriba","-62.62","-14.63","sheet","Muestra alcoholizada <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603879",NA,"257","257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01460843","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","V. E. Rudd","W. W. Thomas","5210","1986","06","22","South America","Brazil","Rondônia",NA,"Porto Velho. Represa Samuel: outcrop and surrounding forest near S end E dike road.","-63.25","-9.066667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1383318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460843","NY01460843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","603876","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","H. S. Irwin","G. M. Magalhaes","19008","1963","05","28","South America","Brazil","Minas Gerais",NA,"Mun. Sta. Vitória, 8 km. N. da cidade",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603876","NY00603876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01460840","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","C. V. Mendonça Filho","R. de S. Secco","45","1979","12","11","South America","Brazil","Pará",NA,"Marajó, Sta. Cruz do Arari, redondezas do lago Arari","-49.170768","-0.6657549","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1705868' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460840","NY01460840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01054824","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","M. de N. do C. Bastos","H. S. Irwin","15609","1966","05","04","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78472222","-15.6555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054824","NY01054824_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","16193","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.",NA,"J. B. E. Pohl","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Ad Caratas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016193","NY00016193_01",NA,NA,"possible isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603875","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","V. E. Rudd","G. Eiten","3003","1961","06","18","South America","Brazil","São Paulo","Matao","12 km. SSE of Matao. Along the Araraquara - Sao José do Rio Preto highway, ca. 17 km NW of turnoff to Araraquara. On southern border of município near Mun. de Araraquara","-48.36","-21.6003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603875","NY00603875_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01054847","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum","Benth.","M. de N. do C. Bastos","G. G. Hatschbach","30482","1972","10","16","South America","Brazil","Mato Grosso do Sul","Miranda","Miranda","-56.3781","-20.2408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177989' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054847","NY01054847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 13:43:00-02","NY","NYBG","603997","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","amplum","Machaerium amplum",NA,"F. L. R. Filardi","A. Krapovickas","32841","1977","06","30","South America","Brazil","Mato Grosso do Sul","Aquidauana","4 km de Aquidauana","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603997","NY00603997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
