"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239791","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack","isotype","E. Y. Dawson","14626","1956","04","24","South America","Brazil","7 km. south of Veadeiros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239791","NY01239791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280492","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"W. R. Anderson","10391","1973","05","16","South America","Brazil","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1610476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280492","NY01280492_01","F. Almeda; O. Robinson","Goiás","Cocalzinho de Goiás","-48.80861","-15.7880556","1230","1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3909984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"F. Almeda","7858","1998","06","16","South America","Brazil","Chapada dos Veadeiros, ca. 11km da cidade","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451246' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909984",NA,NA,"Goiás","Alto Paraiso","-47.6","-14.15","1115","1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1280493","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"W. R. Anderson","8190","1973","04","05","South America","Brazil","5 km by road E of Cristalina. Serra dos Cristais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1610486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280493","NY01280493_01 NY01280493_02","F. Almeda; O. Robinson","Goiás","Cristalina","-47.65","-16.8","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:49-03","EAO","IAN","149190","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"Anderson, WR","8190","1973","04","05","Southern America","Brasil","5Km by road E of Cristalina, hillside with sandstone outcrops and sandy, seeping meadows.",NA,NA,"IAN149190",NA,"Wurdack, JJ","Goiás",NA,NA,NA,"1200","1200","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:04:59-03","NBC","NL-BOTANY","U.1421308","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"Anderson WR",NA,"1973","04","05","Southern America","Brazil","Plants of Planalto Do Brazil. Estado de Goias, Serra dos Cristais, 5km by road E of Cristalina.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1421308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1421308","NL-U1421308",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:46:12-03","UFMS","CGMS","13580","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6917","2004","04","02",NA,"Brasil","Fazenda Fortuna.",NA,"Flor branca. Estames purpúreos. Habitat: Borda perturbada de córrego com buritis (Mauritia flexousa). No entorno pasto cultivado de Brachiaria humidicola e Brachiaria decumbens. Solo hidromórfico argiloso com matéria orgância. Relevo","CGMS1043024",NA,"V.J. Pott","Mato Grosso do Sul","Costa Rica","-52.9925","-18.4013889","814","814",NA,NA,"-52,9925","-18,4013889",NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:46:12-03","UFMS","CGMS","69583","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"V.J. Pott; A. Pott","7995","2005","08","23",NA,"Brasil","Recanto Ecológico Pousada da Quinta, 6 Km sudoeste do Patrimônio de Taboco.",NA,"Flor rosa. Fruto castanho. Estames cor púrpura. Habitat: Campo úmido. Solo arenoso com matéria orgânica. Relevo plano em vale. Habito: Erva aquática anfíbia, 10-20 cm de altura. Esparsa.","CGMS1102541",NA,"V.J. Pott","Mato Grosso do Sul","Corguinho","-55.2463889","-19.7733334","270","270","2006",NA,"-55,2463889","-19,7733334","05","27",NA,NA,NA,NA
"9","2021-04-07 11:46:12-03","UFMS","CGMS","44378","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"V.J. Pott; S.N. Moreira","10931","2010","07","01",NA,"Brasil","Fazenda Canta Galo, 47 Km de Campo Grande, 12 Km da BR-262, entrada a direita a 35 Km de Campo Grande, bacia da APA do Guariroba.",NA,"Flor roxa. Planta avermelhada. Habitat: Campo úmido, em vereda com buriti, próximo ao Cerrado circundante. Solo arenoso. Habito: Erva anfíbia, ereta. Mancha ocasional. 3-10 cm de altura.","CGMS1074345",NA,"V.J. Pott","Mato Grosso do Sul","Campo Grande","-54.4002778","-20.5425","548","548","2014",NA,"-54,4002778","-20,5425","07","03",NA,NA,NA,NA
"10","2021-04-07 11:46:12-03","UFMS","CGMS","55364","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Siphanthera","dawsonii","Siphanthera dawsonii","Wurdack",NA,"A. Pott; G.A. Damasceno-Junior","15119","2008","08","30",NA,"Brasil","Área de Protenção Ambiental (APA) do Guariroba, Fazenda Cantagalo.",NA,"Flor esbranquiçada. Fruto não observado. Habitat: Vereda (campo úmido com Mauritia flexuosa) em área de cerrado, com gado. Solo arenoso hidromórfico. Relevo vale. Frequente. Habito: Erva ereta.","CGMS1085331",NA,"V.J. Pott","Mato Grosso do Sul","Campo Grande","-54.4002778","-20.5425","558","558","2015",NA,"-54,4002778","-20,5425","03","08",NA,NA,NA,NA
