"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","scientificNameAuthorship","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","individualCount","verbatimLongitude","verbatimLatitude"
"1","2015-07-02 14:00:12-03","JBP","HPL","12189","S","Plantae","Amaryllidaceae","Hippeastrum","aff. brasilianum","Hippeastrum aff. brasilianum","J.H.A. Dutilh","2013","02","06","H. Lorenzi","6912","2010","09","09","Brasil","SP","Nova Odessa","Coletado em cultivo no Jardim Botânico Plantarum; trazida do habitat natural no estado do Mato Grosso do Sul.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:18:54-03","UNICAMP","UEC","185367","S","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","Salviani, ER","1999","08","19","Salviani, ER; Lorenzi, H","463","1999","08","19","Brazil","Espírito Santo","Domingos Martins","Brasil-ES- D.Martins- Coletado por Roberto Kautsky na Pedra Azul.","-40.6591987609863","-20.3633003234863","48150","auto","Liliopsida","(Traub & L.J.Doran) Dutilh","Herbácea, bulbosa, ca. 40cm de altura. Flores brancas. Frutos ausentes.","UEC105953","UEC105953",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:18:54-03","UNICAMP","UEC","115496","S","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","Oliveira, RS","2012","07",NA,"Leoni, BS","4498","2000","09","28","Brazil","Minas Gerais","Carangola",NA,"-42.0293998718262","-20.7331008911133","21913","auto","Liliopsida","(Traub & L.J.Doran) Dutilh","Folhas radicais, bulbo faccialmente coberto pelo substrato; inflorescência ereta. Corola alvacenta; flores com odor agradável durante o dia.; Crescendo pouco acima da base da escarpa rochosa, onde observa-se formação de solo pétreo.","UEC000405","UEC000405","550","550",NA,NA,NA,NA,NA
"4","2021-03-01 16:18:54-03","UNICAMP","UEC","68768","S","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","Oliveira, RS","2012","07",NA,"Mathes, LAF; Dutilh, JHA","25674","1991","09","09","Brazil","Minas Gerais","Formiga","Coleção Seção Citologia. IAC-floreceu 09/09/1991.","-45.426399230957","-20.4643993377686","46203","auto","Liliopsida","(Traub & L.J.Doran) Dutilh","Herbácea, escapo com 2 flores creme, tubo longo, estigma trífido, flores perfumadas.","UEC000406","UEC000406",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-12 18:11:50-03","UFES","VIES","39496","S","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","Dutilh, J.","2015","11","23","Borges, W.S.","s.n.","2015","09","25","Brasil","Espírito Santo","Castelo","Parque Estadual de Forno Grande.","-41.184700012207","-20.6035995483398","23588","auto",NA,"(Traub & J.L.Doran) Dutilh",NA,"VIES039496","VIES039496",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-27 10:23:49-03","UFES","VIES","35797","S","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","Forzza, R.C.","2013",NA,NA,"Forzza, R.C.; Amaral, J.A.; Monteiro, D. & Silva, R.G.B.","7662","2013","08","07","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.184700012207","-20.6035995483398","23588","auto",NA,"(Traub & J.L.Doran) Dutilh",NA,"VIES035797","VIES035797","1698","1698",NA,NA,NA,NA,NA
"7","2018-06-26 15:17:00-03","MO","MOBOT","101052504","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","A. Campos-Rocha",NA,NA,NA,"Hamilton P. Traub","Traub 1132","1973","2","12","Brazil",NA,NA,"Bulbs collected in Brasil, J.L. Coran #60, Oct. 16, 1968. Cultivated in Burbank, CA.",NA,NA,NA,NA,NA,"(Traub & J.L. Doran) Dutilh",NA,NA,NA,NA,NA,"Holotype","South America","1",NA,NA
"8","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","13595",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","L. Kollmann/24-09-2008",NA,NA,NA,"L. Kollmann; et al","3213","2000","10","13","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Flores brancas, fundo da corola amarela, base externa das pétalas amarelas.","MBML013595","MBML013595",NA,NA,NA,NA,NA,"41W6'2","20S31'9"
"9","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","22648",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","L. Kollmann/24-09-2008",NA,NA,NA,"L. Kollmann; et al","6872","2004","07","10","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Rupícola ao sol. Flores brancas, frutos verdes, pétalas brancas com listas, verdes perto da base, muito cheirosa.","MBML022648","MBML022648",NA,NA,NA,NA,NA,"41W6'2","20S31'9"
"10","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","23282",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","L. Kollmann/24-09-2008",NA,NA,NA,"L. Kollmann; et al","7423","2005","03","15","Brasil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta","-40.614444","-20.173056",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Rupícola no sol, flores brancas.","MBML023282","MBML023282",NA,NA,NA,NA,NA,"40W36'52","20S10'23"
"11","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","39290",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","julie dutilh/15-03-2017",NA,NA,NA,"R. C. Forzza; P.H.Labiak & C.N.Fraga.","5322","2008","10","14","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha para o Forninho. Floresta Ombrófila Densa Altomontana com inselbergues.","-41.083611","-20.516111",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Erva rupícola, frequente. Flores com tépalas alvas e levemente amareladas; estames alvos; pedicelo e ovário verdes. Frutos verdes","MBML039290","MBML039290_1 MBML039290_2",NA,NA,NA,NA,NA,"41W5'1","20S30'58"
"12","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","49198",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","L. Kollmann",NA,NA,NA,"L. Kollmann; A.P. Fontana","12476","2012","09","05","Brasil","Espírito Santo","Itarana","São Sebastião","-40.859722","-19.992778",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Rupícola ao sol, flores brancas","MBML049198","MBML049198","1130","1130",NA,NA,NA,"40W51'35","19S59'34"
"13","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","6232",NA,"Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","L. Kollmann/24-09-2008",NA,NA,NA,"Edson V. R. Mota","14","1991","09","12","Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,NA,NA,"(Traub & J.L.Doran) Dutilh","Flor branca, rupestre, altitude 1200 a 1909m.","MBML006232","MBML006232",NA,NA,NA,NA,NA,"41W1'9","20S24'14"
"14","2020-07-23 11:56:43-03","CEPLAC","CEPEC","130963","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","brasilianum","Hippeastrum brasilianum","A. Campos-Rocha",NA,NA,NA,"R. C. Forzza","5322","2008","10","14","Brasil","Espírito Santo","castelo","Trilha para o Forninho.","-41.084722","-20.516111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W5'5","20S30'58"
