"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","infraspecificEpithet","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","641396","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","G. Davidse","I. M. Sánchez Vega","4525","1987","10","14","South America","Peru","Cajamarca","Cutervo","Entre San Andrés y Santo Tomás, pasando la quebrada profunda, después de el Suro","2350","2350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","641395","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","M. A. Chase","F. C. Hoehne","s.n.","1929","09","21","South America","Brazil","São Paulo","Iguape","Iguape",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641395","-47.5497","-24.7003","NY00641395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","641393","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","G. Davidse","A. M. Amorim","752","1992","09","15","South America","Brazil","Bahia","Una","Ca. 43 km na estrada Ilhéus para Una",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641393","-39.0006763","-15.1550087","NY00641393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","641394","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","G. Davidse","W. W. Thomas","9464","1992","11","15","South America","Brazil","Bahia","Itacaré","Campo Cheiroso, 14 km north of Serra Grande off the road to Itacaré",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641394","-39.07","-14.37","NY00641394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:45:27-03","UNEB","HUNEB","8847","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez",NA,"Bautista, H.P.","1746","1995","12","14",NA,"Brasil","Bahia","Conde","Fazenda do bu / mata da maré",NA,NA,NA,NA,"HUNEB0008847","-37.725","-12.040833",NA,"Monocotyledoneae","37W43'30''","12S2'27''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:29-03","EAO","IAN","96066","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","Silva, C","Maguire, B; Maguire, CK","35063","1953","02","04","Southern America","Brasil","Amazonas",NA,"Frequent undercover grass in woodland near Intermidiate Camp.","1000","1000",NA,NA,"IAN096066",NA,NA,NA,NA,NA,NA,"2017","05","31",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:18:43-03","ESALQ","ESA","28044","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","referido em Longhi-Wagner (2001)","van den Berg, C. et al.","190.0","1996","06","22",NA,"Brasil","São Paulo","Pariquera-Açu",NA,NA,NA,NA,NA,"ESA028044","-47.8800010681152","-24.7099990844727","ESA028044",NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA
"8","2020-11-04 12:18:43-03","ESALQ","ESA","4522","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","Boechat, S.C.","Catharino, E.L.M.","460.0","1985","10","05",NA,"Brasil","São Paulo","Iguape",NA,NA,NA,NA,NA,"ESA004522","-47.5499992370605","-24.7000007629395","ESA004522",NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA
"9","2019-02-15 11:47:55-02","IPA","IPA","68027","S","Plantae","Plantae",NA,"Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","Menezes, C.M.","Bautista, H.P.; et al.; et al.","1746","1995","12","14","Southern America","Brasil","Bahia","Conde","Fazenda do Bu, mata da Maré.",NA,NA,NA,"Erva cespitosa no sub-bosque da mata; inflorescência longas, bainha lanosas. floresta Ombrófila aberta.","IPA0068027","-37.725","-12.040833",NA,NA,"-37.725","-12.040833","1999","01","21",NA,NA,NA,NA,NA,NA,NA
"10","2020-04-22 16:26:48-03","UFPB","JPB","32860","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Poaceae","Ichnanthus","lancifolius","Ichnanthus lancifolius","Mez","Oliveira, RP de","Silva, MM da; Oliveira, RP; França, F; Santos, MA","375","2000","05","06","Southern America","Brasil","Bahia","Ilhéus","Olivença, Porto da Lancha (Loteamento Praia do Vila Rica). Capoeira no meio da mata destruída, solo arenoso.","50","50",NA,"; DESC: Erva cespitosa ereta.",NA,"-39.25","-14.916111",NA,NA,"-39.25","-14.916111","2000","05",NA,NA,NA,NA,NA,NA,NA,NA
