"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00822253","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","P. K. H. Dusén","11592","1910","12","27","South America","Brazil","Paraná","Pinhais","-49.157618","-25.419851","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822253","NY00822253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","822252","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","P. K. H. Dusén","15852","1914","11","06","South America","Brazil","Paraná","Pinhais","-49.157618","-25.419851","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822252","NY00822252_01","R. C. Tardivo","Pinhaes","885","885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","822251","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","G. G. Hatschbach","15253","1966","11","23","South America","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822251","NY00822251_01","R. C. Tardivo","Sitio de Belizario.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822300","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","F. Chagas e Silva","s.n.","1982","12","09","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822300","NY00822300_01","R. C. Tardivo","Capão do Jardim Botânico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:25-03","PUCPR","HUCP","20808","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Schendroski, A","002","2009","11","18",NA,"Brasil","Paraná","Fazenda Rio Grande","-49.3081016540527","-25.6574993133545",NA,NA,"HUCP00004445","HUCP00004445","Selusniaki, M","Fazenda Experimental Gralha Azul",NA,NA,"12596","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:25-03","PUCPR","HUCP","12594","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Paula, MRP","014","1982","11","03",NA,"Brasil","Paraná","Castro","-50.0119018554688","-24.7910995483398",NA,NA,"HUCP00004811","HUCP00004811","Kersten, RA","Fazenda Jutuba",NA,NA,"50779","auto","2009","09","01",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:12:28-03","NBC","NL-BOTANY","L.1426760","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Hatschbach GG",NA,"1962","10","28","Southern America","Brazil","Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426760","NL-L1426760",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0105332",NA,NA,NA,NA,NA
"8","2020-11-04 11:03:57-03","ESALQ","ESA","37554","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","109.0","1997","12","13",NA,"Brasil","São Paulo","Apiaí","-48.8400001525879","-24.5",NA,"Flor roxa, epífita","ESA037554","ESA037554","Elias, S.I.","BLOQUEADO",NA,NA,"37738","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-19 10:23:01-03","CPAP","CPAP","8801","PreserverdSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Pott, A.","5996","1991","05","24",NA,"Brasil","PR","Colombo","-49.233333","-25.333333",NA,"epífita. FLOR: não vista. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Frequente. AMBIENTE: Mata de araucária/latifóliadas, próximo borda. SUBSTRATO: solo argiloso. RELEVO: topo de encosta.",NA,NA,"A. Pott","Mata de trilha ecológica, Centro Nacional de Pesquisa de Florestas/Embrapa","920","920",NA,NA,"1992","01","24",NA,NA,"49°14' W","25°20' S",NA,NA,NA
"10","2020-12-20 21:16:28-03","UFV","VIC","004956","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","linearis","Tillandsia linearis","Vell.","Hatschbach; et al.","15253","1966","11","23",NA,"Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,"Epífita de pétalas violetas, brácteas vermelhas na mata.","VIC004956","VIC004956",NA,"Sítio do Belizário",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
