"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","class","coordinatePrecision","geoFlag","fieldNumber","preparationType","relatedCatalogItem"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3970","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2017","03","02","2017","03","02","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4135","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2017","08","21",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4408","S","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2018","08","21",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:28:36-03","UFBA","ALCB","019308","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"1980","08","14",NA,"epífita. Flores vistosas, com sépalas e pétalas marrons pintalgadas, labelo e coluna lilases degradê.",NA,"Lindl.","Grupo Pedra do Cavalo","549","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe.","-39.083333","-12.533333","-39.083333","-12.533333","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:36-03","UFBA","ALCB","09972","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2014","09","10","1980","09",NA,NA,"epífita, 50 cm. Folhas largas. Inflorescências com cerca de dez flores róseo-solferino com labelo bem ancarnado e pétalas variegadas.","Carvalho, DN","Lindl.","Grupo Pedra do Cavalo","759","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Ipuaçu","-39.083333","-12.533333","-39.083333","-12.533333","100","100","ALCB007829","ALCB007829",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:36-03","UFBA","ALCB","475","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2003","03",NA,NA,NA,NA,NA,NA,"Cruz da","Lindl.","Chaves, A","s/n",NA,"s/localidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:36-03","UFBA","ALCB","00470","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","1982","09",NA,NA,NA,NA,NA,NA,"Queiroz, LP de","Lindl.","Torrend, Padre CSJ","s/n","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB007852","ALCB007852",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:36-03","UFBA","ALCB","00475","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","1996","05",NA,NA,NA,NA,NA,NA,"Berg, C van den","Lindl.","Chaves, A","s/n","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB007851","ALCB007851",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:36-03","UFBA","ALCB","105321","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2013","01","07","2012","07","16",NA,"Frutos verdes maculado de roxo.","C. van den Berg","Lindl.","Queiroz, EP; Mattos Andrade, PE de; Texeira, SR; Gomes, FS","5391","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Ilha dos Frades, Ponta de Nossa Senhora","-38.5","-12.966667","-38.5","-12.966667",NA,NA,"ALCB007826","ALCB007826",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:28:36-03","UFBA","ALCB","106197","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2013","01","07","2012","09","20",NA,"epífita de ca 0,3 cm. Folhas grossas, discolores. Flores passadas. Fruto cápsula.","C. van den Berg","Lindl.","Texeira, SR; Queiroz, EP; Mattos Andrade, PE de; Oliveira, D","99","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Ilha dos Frades, Subfragmento Coqueiro","-38.5","-12.966667","-38.5","-12.966667",NA,NA,"ALCB007827","ALCB007827",NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:28:36-03","UFBA","ALCB","106259","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2013","01","07","2012","10","04",NA,"com pseudobulbo delgados. com um par de folhas elípticas, verdes. Inflorescência com flores de sépalas e pétalas maculadas de púrpura sobre fundo rosa-claro a rosa-intenso, labelo trilobado. Fruto cápsula.","C. van den Berg","Lindl.","Mattos Andrade, PE de; Gomes, FS; Queiroz, EP; Guedes, ML; et al.","154","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Ilha de Maré, Santana","-38.5","-12.966667","-38.5","-12.966667",NA,NA,"ALCB007828","ALCB007828",NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:28:36-03","UFBA","ALCB","470","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2003","03",NA,NA,NA,NA,NA,NA,"Cruz da","Lindl.","Torrend, Padre CSJ","s/n","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:28:36-03","UFBA","ALCB","029495","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2002","10",NA,"1996","10","28",NA,"Epífita. Flores com tépalas esverdeadas, margentea de vinho, labelo com base alva e restante lilás. Planta bastante perfumada. Raro.","Cruz da","Lindl.","Guedes, ML; Accioly, M","4738","Southern America","Brasil","Bahia","Valença","Litoral Sul, Morro de São Paulo","-38.914722","-13.410556","-38.914722","-13.410556",NA,NA,"ALCB007849","ALCB007849",NA,NA,NA,NA,NA,NA
