"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","158641","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker","isotype","J. B. E. Pohl","1791","South America","Brazil","[Eng..] dp Capitao Pires","sheet","Pohl's Diary No. 1791. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158641","NY00158641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:00:57-03","ESALQ","ESA","89556","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker",NA,"Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4030.0",NA,"Brasil","Ca. 7km da BR 060 passando pelo povoado de Chapada. Beira de estrada em área de cerrado",NA,"Arbusto, ca. 1,5m alt. Flores liguladas amarelas","ESA089556","ESA089556","Dematteis, M.","2005","01","17","Goiás","Abadiânia","-48.706901550293","-16.2042007446289","-48,651,389","-16,118,611","31693","930","930","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:15:38-03","UFV","VIC","8312","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker",NA,"Moura, L.S. de; Vieira, M.F.","404",NA,"Brasil","Pico do Itacolomi",NA,"Arbusto de flores amarelas.","VIC008312","VIC008312","Badini, J.","1983","05","15","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","1983","07","07",NA,NA,NA
"4","2020-04-22 16:17:42-03","UFPB","JPB","91","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker",NA,"Xavier, LP","JPB91","Southern America","Brasil",NA,NA,NA,NA,NA,NA,"1941","01","04","Rondônia","Porto Velho","-63.9039001464844","-8.76194000244141",NA,NA,"333357",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"5","2019-11-05 16:43:33-03","UFOP","OUPR","1642","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","(Sch.Bip. ex Baker) Baker",NA,"Lisboa, M.A.","s.n.",NA,"Brasil","Serra de Ouro Branco",NA,NA,NA,NA,"Lisboa, M.A.","1975","02","21","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"13809","1490","1490","auto","1975","03","05",NA,NA,NA
"6","2019-11-05 16:43:33-03","UFOP","OUPR","1643","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","(Sch.Bip. ex Baker) Baker",NA,"Badini, J.","s.n.",NA,"Brasil","Serra de Lavras Novas",NA,NA,NA,NA,"Lisboa, M.A.",NA,NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","1973","07","05",NA,NA,NA
"7","2019-11-05 16:43:33-03","UFOP","OUPR","1644","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","(Sch.Bip. ex Baker) Baker",NA,"Badini, J.","s.n.",NA,"Brasil","Serra de Lavras Novas",NA,"Campo. Subarbusto. Flores amarelas",NA,NA,"Barroso, G.M.",NA,NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","1973","06","29",NA,NA,NA
"8","2015-10-06 00:02:12-03","MNHN","RECOLNAT_MNHN_P","P00709931","PreservedSpecimen",NA,NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker","type","Pohl, J.E.",NA,NA,"Brasilia",NA,"hb","Gymnopsis pohlii Schultz Bip. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00709931' target='other'> <mi>dwc_moreinfo</mi></a>","P00709931","P00709931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"499",NA,NA
"9","2016-10-13 15:14:07-03","MNHN","RECOLNAT_MNHN_P","P02514649","PreservedSpecimen",NA,NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker",NA,"Riedel, L.",NA,NA,"Brésil","Brasilia","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02514649' target='other'> <mi>dwc_moreinfo</mi></a>","P02514649","P02514649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-13 15:14:07-03","MNHN","RECOLNAT_MNHN_P","P02514650","PreservedSpecimen",NA,NA,NA,"Asteraceae","Aspilia","pohlii","Aspilia pohlii","Baker",NA,"Pohl",NA,NA,"Brésil","Brasilia, Rio Uruchu","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02514650' target='other'> <mi>dwc_moreinfo</mi></a>","P02514650","P02514650_01",NA,"1856","12","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"945",NA,NA
