"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified"
"1","2012-10-29 11:52:00-02","MO","MOBOT","100536999","PreservedSpecimen","Plantae","Orchidaceae","Lepanthopsis","densiflora","Lepanthopsis densiflora","(Barb. Rodr.) Ames","C.A. Luer","Oswaldo Handro","Handro s.n.","1937","3","15","South America","Brazil","São Paulo","São Paulo","Nativa no Jardim Botânico.","-46.6300010681152","-23.5400009155273","53584","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","16863",NA,"Plantae","Orchidaceae","Lepanthopsis","densiflora","Lepanthopsis densiflora","(Barb.Rodr.) Ames","A. P. Fontana/13-06-2005","R.R. Vervloet; et al","151","2002","04","18",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"40W33'11","19S54'27","Epífita em árvore caída de grande porte, em uma parte mediana, sépalas amarela esverdeada, labelo vinho, folhas verdes com pintas roxas na parte ventral, lado esquerdo da trilha à beira do córrego.","MBML016863","MBML016863",NA,NA,NA
"3","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","congestiflora","Pleurothallis congestiflora","Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in sylvis humidis umbrosisque supra arbores ad Serra de S. José d'El Rey prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,"Floret Junio - Augusto",NA,"P03P4N0113",NA,NA,NA
"4","2019-11-21 10:13:30-03","IBt","SP","29603","S","Plantae","Orchidaceae","Lepanthopsis","densiflora","Lepanthopsis densiflora","(Barb.Rodr.) Ames","Smidt, EC","Handro, O","s.n.","1937","03","15",NA,"Brasil","São Paulo","São Paulo","Jardim Botânico","-46.6300010681152","-23.5400009155273","53584",NA,"auto",NA,NA,NA,NA,NA,"2000","07","07"
