"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2951","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis","(Spreng.) Triana","A. C. Brade","A. P. Duarte","1946","08","19","Brasil","Rio de Janeiro","Rio de Janeiro","Gávea.","-43.207778","-22.903333","43º12'28''W","22º54'12''S","14","14","CRI004410","CRI004410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 18:41:00-03","NY","NYBG","521209","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis",NA,"E. Pereira","A. P. Duarte","1959","06","23","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Tijuca, Alto da Boa Vista","-43.2075","-22.9031",NA,NA,NA,NA,"NY00521209","NY00521209_01","Magnoliophyta","Myrtales","4860","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767715' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 01:11:00-03","NY","NYBG","1019432","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis",NA,"J. F. A. Baumgratz","C. de Paula","2004","06","18","Brazil","Rio de Janeiro","Teresópolis","PNSO.","-42.9656","-22.4122",NA,NA,NA,NA,"NY01019432","NY01019432_01","Magnoliophyta","Myrtales","634","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282341' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521208","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis","(Spreng.) Triana","J. J. Wurdack","J. P. P. Carauta","1968","05","17","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Rio de janeiro, Estrada da Vista Chinesa, pouco antes de se chegar à curva dos bonecos, lado direito da estrada","-43.257166","-22.971675",NA,NA,NA,NA,"NY00521208","NY00521208_01","Magnoliophyta","Myrtales","605","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 18:41:00-03","NY","NYBG","521207","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis",NA,"R. Goldenberg","F. C. Hoehne","1932","06","06","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00521207","NY00521207_01",NA,"Myrtales","29716","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767717' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 00:50:00-03","NY","NYBG","1018304","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis",NA,NA,"M. F. Oliveira da Silva","2006","08","11","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca. Camorim.","-43.2075","-22.9031",NA,NA,NA,NA,"NY01018304","NY01018304_01","Magnoliophyta","Myrtales","123","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1254870' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03257234","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis","(Spreng.) Triana",NA,"P. Rosa","2016","08","07","Brazil","Rio de Janeiro","Nova Friburgo","Area de Protecao Ambiental de Macae de Cima. Serra de Macae de Cima, localidade de Rio Bonito, nata atras da pousada Estalagem de propriedade de Bruce Leitmann. Na trilha. Area de encosta, a 50 m esquerda do riacho.","-42.4294","-22.4028",NA,NA,"984","984","NY03257234",NA,"Magnoliophyta","Myrtales","869","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03257239","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis","(Spreng.) Triana",NA,"M. Moraes","2016","10","05","Brazil","Rio de Janeiro","Nova Friburgo","Curuzu, Morro Possolé (Porcelet), trilha saindo do Sitio Itororó.","-42.5311012268066","-22.2819004058838",NA,NA,"1250","1250","NY03257239",NA,"Magnoliophyta","Myrtales","677","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578870' target='other'> <mi>dwc_moreinfo</mi></a>","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 23:06:00-03","NY","NYBG","1015417","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis",NA,"R. Goldenberg","R. Goldenberg","2007","07","12","Brazil","Espírito Santo","Santa Teresa","Alto de Santo Antonio. Terreno do Bozza.","-40.5911","-19.9086",NA,NA,"750","750","NY01015417","NY01015417_01","Magnoliophyta","Myrtales","912","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105607' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521206","PreservedSpecimen","Plantae","Melastomataceae","Miconia","brasiliensis","Miconia brasiliensis","(Spreng.) Triana","R. Goldenberg","R. M. Klein","1949","08","19","Brazil","Santa Catarina","Brusque","Mata da Azambuja","-48.910147","-27.126635",NA,NA,"50","50","NY00521206","NY00521206_01","Magnoliophyta","Myrtales","107","South America","sheet","Eq. Ecologia 36b <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767716' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
