"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","sex"
"1","2021-04-05 14:25:47-03","UNESC","CRI","11852","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.","M. Verdi","2010","03","17","M. Verdi; D.h. klettenberg e G. Klemz","4041","2010","03","17","Brasil","Santa Catarina","Imaruí","Forquilha da Aratingaúba - Parque Estadual da Serra do Tabuleiro.","-48.870278","-28.169444","48º52'13''W","28º10'10''S","604","604","Floresta Ombrófila Densa","CRI006109","CRI006109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:47-03","UNESC","CRI","11857","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.","A. L. de Gasper","2009","07","15","A.L. de Gasper; E. Brogni","2415","2009","09","15","Brasil","Santa Catarina","Brusque","RPPN Chácara Edith.","-48.896667","-27.100833","48º53'48''W","27º6'3''S","112","112","Floresta Ombrófila Densa Habitat: local úmido Habito: arbustiva","CRI008608","CRI008608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:54-03","UNESC","CRI","6015","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.","V. C. Zanette","1997","06","20","V. C. Zanette; R. dos Santos",NA,"1994","07","07","Brasil","Santa Catarina","Urussanga",NA,"-49.321389","-28.525556","49º19'17''W","28º31'32''S",NA,NA,NA,"CRI006110","CRI006110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1831","S","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende",NA,"2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","43°39.696'","19°48.935'","1252","1252","254",NA,NA,"Magnoliophyta","Piperales","22051","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:25-03","E","E","346045","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum",NA,NA,NA,NA,NA,"Rusby, H.H.","2174",NA,NA,NA,"BO","Mapiri",NA,NA,NA,NA,NA,NA,"1524","1524","<a href=http://data.rbge.org.uk/herb/E00346045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346045",NA,NA,NA,NA,NA,NA,"unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:330369",NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:25-03","E","E","293621","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum",NA,NA,NA,NA,NA,"Laessoe, T.; Sano, P T",NA,"1992","02","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293621",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:306615",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","556058","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.",NA,NA,NA,NA,"N. Armond","155",NA,NA,NA,"Brazil","Rio de Janeiro","Carmo","Carmo","-42.6083","-21.9336",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556058","NY00556058_01","Magnoliophyta","Piperales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","556048","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum glabricaule","Yunck.","T. G. Yuncker",NA,NA,NA,"R. Reitz","4478","1957","06","22","Brazil","Santa Catarina","Garuva","Três Barras, Garuva, Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"60","60","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556048","NY00556048_01","Magnoliophyta","Piperales",NA,NA,NA,NA,"South America","sheet",NA,"glabricaule",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01021338","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.",NA,NA,NA,NA,"H. S. Irwin","28672","1971","01","18","Brazil","Minas Gerais",NA,"Serra do Espinhaço, slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.7263889","-19.83305",NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021338","NY01021338_01","Magnoliophyta","Piperales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00956837","PreservedSpecimen","Plantae","Piperaceae","Piper","cernuum","Piper cernuum","Vell.",NA,NA,NA,NA,"W. A. Ducke","1394","1908","07","24","Brazil","Ceará","Guaramiranga","Riacho do Capim.","-38.9331","-4.2633",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956837","NY00956837_01","Magnoliophyta","Piperales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
