"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","order","continentOcean","monthIdentified","dayIdentified","typeStatus","individualCount"
"1","2020-11-24 17:10:56-03","UTFPR","DVPR","4917","PreservedSpecimen","Plantae","Magnoliophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann","Cordeiro, J; Barboza. E.","2009","Caxambu, MG; et al.","2503","2009","02","27","Brasil","Paraná","Turvo","Propriedade da família Rickli","-51.35039","-25.04137","-51.35039","-25.04137","1102","1102","Árvoreta ca. 4m, helófita. Flores avermelhadas; Relevo: suave-ondulado - Vegetação: Floresta Ombrofila Mista Montana","DVPR004917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:38-03","PUCPR","HUCP","18586","S","Plantae","Eudicotiledonea","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani.","Beltrami, L",NA,"Selusniaki, M","1039","2006","06",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,"HUCP00018594","27346","HUCP00018594","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:38-03","PUCPR","HUCP","18887","S","Plantae","Eudicotiledonea","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani.","Selusniaki, M",NA,"Selusniaki, M","1438","2007","09","09","Brasil","Paraná","Colombo","Santa Mônica Clube de Campo","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"HUCP00018646","13536","HUCP00018646","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:33:39-03","NBC","NL-BOTANY","WAG.1525063","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani",NA,NA,"Paciornik EF; Hatschbach GG",NA,"1986","07","16","Brazil",NA,NA,"Passa Vinte (mun Bocaivu do Sul) Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1525063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1525063",NA,"NL-WAG1525063",NA,"Magnoliopsidae","Sapindales","Southern America",NA,NA,NA,NA
"5","2020-11-04 11:19:45-03","ESALQ","ESA","88729","PreservedSpecimen","Plantae","Magnoliophyta","Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kulmann ex Piruni","Hatschbach, G.",NA,"Maschio, W.","206.0","1997","08","22","Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"ESA088729","13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:15:41-03","ESALQ","ESA","134234","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa",NA,NA,NA,"C.P. Caliari et al.","2244.0","2009","04","14","Brasil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin. Borda da mata. Floresta ombrófila mista próximo a curso de rio com presenaça marcante de Pteridophyta no subosque.","-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,"Árvore, ca. 5,5 m., fruto marrom","ESA134234","35037",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:34:27-03","IAP","PACA-AGP","69382","PreservedSpecimen","Plantae","Magnoliophyta","Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","J. R. Pirani","1988","Hatschbach, G.","50883","1987","02","02","Brasil","Pr","Tijucas do Sul","Saltinho","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"Inflorescência pendente- vinosa&nf;do erval (muito Ilex - Araucaria). Fenofase: Inflorescência pêndula","PACA069382","25228",NA,"auto","Magnoliopsida","Rutales",NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0048883","PreservedSpecimen","Plantae","Magnoliophyta","Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","J. R. Pirani",NA,"E. F. Paciornik; G. Hatschbach","353","1986","7","16","Brazil","Parana",NA,"Passa Vinte (Mun. Bocaiuva do Sul).","-49.1333","-25.1833",NA,NA,NA,NA,"Arvore 6 m, flores bordeaux.",NA,NA,NA,NA,NA,"Picramniales",NA,NA,NA,NA,NA
"9","2019-11-21 14:41:22-03","UFJF","CESJ","31808","PreservedSpecimen","Plantae","Angiosperma","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","G. Hatschbach","1998","O.S. Ribas; et al.","2643","1998","05","08","Brasil","Paraná","Tunas do Paraná","Parque Estadual de Campinhos","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,"Árvore, ca. 5 m alt., fruto avermelhado. Mata ombrófila mista.","CESJ031808","41885",NA,"auto",NA,NA,"América do Sul",NA,NA,NA,NA
"10","2019-11-21 14:41:29-03","UFJF","CESJ","32125","PreservedSpecimen","Plantae","Angiosperma","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","G. Hatschbach","1998","J.M. Silva; et al.","2289","1998","03","04","Brasil","Paraná","Tunas do Paraná","Gruta de Campinhos","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,"Árvore, ca. 4 m alt., fruto imaturo. Mata secundária.","CESJ032125","41885",NA,"auto",NA,NA,"América do Sul",NA,NA,NA,NA
"11","2021-03-25 09:28:15-03","UNICAMP","UEC","109059","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Vieira, AOS","1999","Francisco, EM","25021","1999","06","09","Brazil","Paraná","Ortigueira","Sítio do Basílio","-51.083556","-23.966389","-51.083556","-23.966389",NA,NA,"Árvore 4m; fruto imaturo cor vinho; dentro do mato.","UEC031592",NA,"UEC031592",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:37:44-03","UNICAMP","UEC","46175","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1996","Reitz; Klein","8798","1959","04","25","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro Müller-Uruçanga",NA,NA,NA,NA,"300","300","Árvore 15m; fruto roxo imaturo.; Pinhal","UEC031589",NA,"UEC031589",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:37:44-03","UNICAMP","UEC","46176","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1996","Reitz; Klein","12933","1962","04","24","Brazil","Santa Catarina",NA,"Encruzilhada, Lajes",NA,NA,NA,NA,"950","950","Arvoreta 6 metros, flor vermelha; Mata","UEC031594",NA,"UEC031594",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:37:44-03","UNICAMP","UEC","46177","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1996","Reitz; Klein","12935","1962","04","24","Brazil","Santa Catarina",NA,"Encruzilhada, Lajes",NA,NA,NA,NA,"950","950","Arvoreta 4m; fruto roxeado imaturo.; Mata","UEC031591",NA,"UEC031591",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:37:44-03","UNICAMP","UEC","46178","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1996","Reitz; Klein","8712","1959","03","21","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro Müller-Uruçanga",NA,NA,NA,NA,"300","300","Árvore 15m, flor vermelha.; Pinhal","UEC031588",NA,"UEC031588",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:37:44-03","UNICAMP","UEC","203487","S","Plantae","Magnoliopsida","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Britez, RM",NA,"Britez, RM; Silva, SM; Sousa, WS","1360","1987","02","25","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Arvoreta de 4m, CAP 33cm, flores vermelhas pequenas, em beira de caminho de floresta de Araucária.","UEC031590","31353","UEC031590","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-10-14 10:04:32-03","FURB","FURB","20684","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Sobral, M","2010","Verdi, M.","4012","2007","11","22","Brasil","Santa Catarina","Itaiópolis",NA,"-50.0733334","-26.37","-50.0733334","-26.3700000","740","740","Fito IFFSC 984 /S/36 Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração Habito: arbórea;","FURB02955",NA,"FURB02955",NA,NA,NA,NA,"01","25",NA,NA
