"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","03075408","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","F. B. Pereira","2001","02","11","South America","Brazil","Minas Gerais","Itamonte","Fazenda Campo Redondo. Coletas organizadas pela EXTRACTA MOLÉCULAS NATURAIS Ltda. Projeto de Bioprospecção.","-44.7","-22.2858333","1423","1423","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301094' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075408","NY03075408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533153","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","L. Riedel","1820","01",NA,"South America","Brazil",NA,NA,"Ad rivulos S. da C[rest of word illegible]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533153","NY00533153_01","A. L. Bernardi","1446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533151","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","G. Gardner","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533151","NY00533151_01","A. L. Bernardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533154","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","O. Handro","1937","11","08","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico.","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533154","NY00533154_01","J. Mattos","38556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533152","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","G. Gardner","1840",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","This number is cited under this name in Martius, Flora Brasiliensis. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533152","NY00533152_01","A. L. Bernardi","4697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533155","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","G. T. Prance","1987","01","24","South America","Brazil","Rio de Janeiro","Resende","Engo. Passos-Itamonte.","-44.75","-22.38","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533155","NY00533155_01","J. A. Kallunki","30134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00533158","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","H. S. Irwin","1965","09","23","South America","Brazil","Distrito Federal","Brasília","Ca. 20 km. S. of Brasília, on road to Belo Horizonte.","-47.9296989440918","-15.7797002792358","1235","1235","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533158","NY00533158_01","A. L. Bernardi","8601","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","356096","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","G. Gardner",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,"sheet","Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00356096","NY00356096_01",NA,"5721",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533156","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","G. G. Hatschbach","1970","01","23","South America","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553","-25.3058","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533156","NY00533156_01","G. G. Hatschbach","23401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533157","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Weinmannia","organensis","Weinmannia organensis","Gardner","K. Kubitzki","1984","02","28","South America","Brazil",NA,NA,"Serra da Mantiqueira, nahe Serra das Alguhas Negras.",NA,NA,"2200","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533157","NY00533157_01",NA,"84-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
