"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01019983","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","M. H. Nee","M. dos R. Cordeiro","88","1974","06","15","South America","Brazil","Mato Grosso","Aripuanã","Dardanelos; Rio Aripuana. Estrada Sta. Elena","-59.4592","-10.1669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019983","NY01019983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01417446","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","M. Blasco Capdevila","P. J. M. Maas","411",NA,NA,NA,"South America","Brazil","Rondônia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1657732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01417446","NY01417446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01417444","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.",NA,"M. G. da Silva","4614","1979","05","23","South America","Brazil","Rondônia","Vilhena","Arredores do Aeroporto","-60.099174","-12.694217","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1657704' target='other'> <mi>dwc_moreinfo</mi></a>","NY01417444","NY01417444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01417447","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","R. C. Barneby","L. Coradin","946","1977","10","28","South America","Brazil","Roraima",NA,"Arimutã region, on an Azimuth of 011º from Boa Vista at a distance of 210 km. Within a radius of 12 km from the village of Arimutã. Along roads and in agricultural fields, weedy habitats.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1379928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01417447","NY01417447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01417445","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","M. Blasco Capdevila","P. J. M. Maas","411",NA,NA,NA,"South America","Brazil","Rondônia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1657729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01417445","NY01417445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01019984","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","A. E. Burkart","A. Macedo","290","1944","02","18","South America","Brazil","Minas Gerais","Ituiutaba",NA,"-49.465","-18.9692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138921' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019984","NY01019984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01019979","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.",NA,"R. M. Harley","11232","1968","11","27","South America","Brazil","Mato Grosso",NA,"R.10, about 12km SW of base camp","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138913' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019979","NY01019979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","595602","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","J. W. Grimes","H. S. Irwin","55260","1963","08","27","South America","Suriname",NA,NA,"Kayser airstrip, 45 km above confluence with Lucie Rivier","-56.65","3.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595602","NY00595602_01","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01019980","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.","J. W. Grimes","M. G. da Silva","3174","1977","06","25","South America","Brazil","Mato Grosso","Juína","Rio Juruena, Aripuana, Fontanilha, arredores da vila","-58.3360907","-11.3393518","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019980","NY01019980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01019981","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","cajanifolium","Desmodium cajanifolium","(Kunth) DC.",NA,"E. P. Heringer","950","1979","01","29","South America","Brazil","Mato Grosso do Sul",NA,"Estrada para Três Lagoas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019981","NY01019981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
