"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","typeStatus","year","month","day","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","barcode","imagecode","preparationType","individualCount","fieldNumber","sex"
"1","2019-11-06 09:56:50-03","UFOP","OUPR","9673","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.","Batista, J.A.N.; Bianchetti, L.B.","2005","12","Badini, J.","s.n.","Brasil","Minas Gerais","Ouro Preto","Falcão","-43.5080986022949","-20.2875003814697","44599","Erva. Flores marrons &nf;Flores em estágio muito inical de desenvolvimento","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:56:50-03","UFOP","OUPR","9676","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.","Batista, J.A.N.",NA,NA,"Badini, J.","s.n.","Brasil","Minas Gerais","Ouro Preto","Três Moinhos","-43.5080986022949","-20.2875003814697","44599","Erva, flores verde-pálidas ou verde amareladas, pintalgadas de castanho. Campo. Ex Herb. Escola de Farmácia de Ouro Preto n. 24197","auto","Paratype","1977","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-05 18:57:25-03","UTFPR","HCF","15237","S","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.","J.A.N. Batista","2020","11","M.G. Caxambu","5660","Brasil","PR","Tibagi","Sítio Sete Quedas","-50.253889","-24.5805",NA,"erva heliófita, rupícola. Flores amarelo-avermelhadas, com labelo rosa. Em afloramento arenítico.",NA,NA,"2014","10","24","27","50°15'14 W","24°34'49,8 S","1028","1028",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:26-03","UFMG","BHCB","116510","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,"2007","11","Martins, CAN; Batista, JAN","10","Brasil","Minas Gerais","Moeda","Estrada para a Serra da Moeda","-43.95","-20.273972",NA,"Crescendo em ambiente arenoso próximo à estrada.",NA,NA,"2007","11","01","01","-43.95","-20.273972","1451","1451","Monocotyledon","Southern America","BHCB001169","BHCB001169",NA,NA,NA,NA
"5","2020-12-11 11:44:26-03","UFMG","BHCB","97501","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,NA,NA,"Batista, JAN; et al.","1262A","Brasil","Minas Gerais","Moeda","Serra da Moeda, nos morros a margem da estrada vic","-43.950667","-20.289028",NA,"Erva terrestre, em campo rupestre com cobertura de campo limpo seco, ocasionalmente com algum cascalho e blocos rochosos sobre a superfície. Área anteriormente queimada. Sempre em relevo, em maior ou menor proporção, inclinado. Solo areno-argiloso, s",NA,NA,"2001","10","24",NA,"-43.950667","-20.289028","1400","1400","Monocotyledon","Southern America",NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:44:26-03","UFMG","BHCB","132455","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,"2009","01","Batista, JAN; Munhoz, ACD; Oliveira, HO","2741","Brasil","Minas Gerais","Brumadinho","Retiro das Pedras, Serra da Calçada","-44.1996994018555","-20.1432991027832","26639","Erva terrestre, em campo limpo seco. Solo areno-argiloso, raso, seco. Comum no local. Pseudobulbos exposto. Estéril. Coletada a fim de documentar a espécie para o local.","auto",NA,"2009","01","21","21",NA,NA,"1376","1376","Monocotyledon","Southern America",NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:44:26-03","UFMG","BHCB","35362","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,"2003","10","Martens, LD","s.n.","Brasil","Minas Gerais","Moeda","Serra da Moeda","-44.0527992248535","-20.3330993652344","14750","Herbáceo. Pétalas e sépalas marrons e labelo vinho.; Campo rupestre","auto","Paratypus","1988","11",NA,NA,NA,NA,NA,NA,"Monocotyledon","Southern America","BHCB000946","BHCB000946",NA,NA,NA,NA
"8","2021-01-15 17:53:18-03","UFMG","BHCB","113734","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,NA,NA,"Batista, JAN; Faria, MWF de; Borges, KS","1664","Brasil","Minas Gerais","Moeda","Serra da Moeda. Cerca de 33 km S de Belo Horizonte","-44.0527992248535","-20.3330993652344","14750","Erva terrestre, em campo limpo seco em encosta. Solo argilo-arenoso, superficialmente marrom, com pedaços de rocha sobre a superfície. Área anteriormente queimada. Pseudobulbos com a base enterrada. Ocasional no local, mas observada uma grande popula","auto",NA,"2006","10","21",NA,NA,NA,NA,NA,"Monocotyledon","Southern America",NA,NA,NA,NA,NA,NA
"9","2021-01-15 17:53:18-03","UFMG","BHCB","113720","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,NA,NA,"Batista, JAN; Faria, MWF de; Borges, KS; El Bizri, HR","1650","Brasil","Minas Gerais","Moeda","Serra da Moeda. Cerca de 33 km S de Belo Horizonte","-44.0527992248535","-20.3330993652344","14750","Erva terrestre, em campo limpo seco em encosta. Área anteriormente queimada. Pseudobulbos com a base enterrada. Sépalas castanhas. Pétalas castanhas com a base esverdeada. Labelo arroxeado.","auto",NA,"2006","10","07",NA,NA,NA,NA,NA,"Monocotyledon","Southern America",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:44:26-03","UFMG","BHCB","132480","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","lamellaticallosum","Cyrtopodium lamellaticallosum","J.A.N.Bat. & Bianch.",NA,"2009","01","Batista, JAN; Oliveira, HO; Lau, BL; Massensini Júnior, A","2766","Brasil","Minas Gerais","Brumadinho","Serra da Moeda, Entrada para Moeda, cerca de 33 Km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR-040. Morros a esquerda da pista em direção a Moeda, cerca de 3Km após o entrocamento com a Br-040","-44.1996994018555","-20.1432991027832","26639","Erva terrestre, em campo limpo seco em encosta na margem de pequeno curso d#?#agua. Solo arenoso, raso, seco, com muito cascalho e blocos de rocha sobre a superfície. Pseudobulbos expostos. Estéril. Coletado a fim de documentar a parte vegetativa da es","auto",NA,"2009","01","27","27",NA,NA,"1380","1380","Monocotyledon","Southern America",NA,NA,NA,NA,NA,NA
