"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","886908","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","A. Lima","R. P. Belém","1487","1965","08","09","South America","Brazil","Espírito Santo","Reserva Florestal de Sooretama.","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1065176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886908","NY00886908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886907","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","P. Occhioni","J. G. Kuhlmann","76","1934","03","29","South America","Brazil","Espírito Santo","Goitacazes, Rio Doce.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1065173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886907","NY00886907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","582283","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","M. T. K. Arroyo","R. P. Belém","858","1965","04","17","South America","Brazil","Bahia","31 km W de Pôrto Seguro","-39.0644","-16.4497","sheet","coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582283","NY00582283_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","582290","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","M. T. K. Arroyo","R. P. Belém","3861","1968","07","13","South America","Brazil","Bahia","Ao lado da Rodovia BR 101. Vale do Rio Mucurí","-39.8934603","-18.0984986","sheet","coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582290","NY00582290_01","Mucuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","582281","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","L. P. de Queiroz","J. P. Lanna Sobrinho","1340","1967","04","14","South America","Brazil","Bahia","Entre Porto Seguro","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582281","NY00582281_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00979912","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","M. T. K. Arroyo","G. M. Magalhaes","18919","1963","03","18","South America","Brazil","Minas Gerais","Serra Azul, Casa da Telha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979912","NY00979912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","582286","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott",NA,"L. Riedel","2235","1836",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582286","NY00582286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","582287","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","R. S. Cowan","R. P. Belém","1487","1965","08","09","South America","Brazil","Espírito Santo","Reserva Florestal de Sooretama","-40.10894","-18.996963","sheet","coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582287","NY00582287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00934246","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","G. M. Magalhaes","G. M. Magalhaes","s.n.","1941","07","14","South America","Brazil","Minas Gerais","Estaçao Experimental de Agricultura e arredores","-43.9378","-19.9208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934246","NY00934246_01","Belo Horizonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","582301","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","R. S. Cowan","R. S. Pinheiro","1869","1972","07","08","South America","Brazil","Bahia","Rod Itiruçu a Maracas","-40.1503","-13.5319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582301","NY00582301_01","Itiruçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
