"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","540966","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","H. N. Moldenke","R. S. Pinheiro","1340","1971","06","14","South America","Brazil","Bahia","Una. Faz. S. Rafael","-39.2481074","-15.2189248","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540966","NY00540966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015161","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","F. França","L. Riedel","323","1831","12",NA,"South America","Brazil","Rio de Janeiro","Brasilia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015161","NY01015161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","540960","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","H. N. Moldenke","L. Riedel","323","1831","12",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540960","NY00540960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540963","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","H. N. Moldenke","W. A. Ducke","601","1925","10","30","South America","Brazil","Rio de Janeiro","Ad urbem in silvis loco Sumaré","-43.226672","-22.945054","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540963","NY00540963_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540962","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","H. N. Moldenke","A. C. Brade","11277","1932","01","17","South America","Brazil","Rio de Janeiro","D.F. - Estrada do Redentor","-43.245505","-22.956326","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540962","NY00540962_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1146783","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","O. Kosovsky","W. W. Thomas","10792","1995","01","15","South America","Brazil","Bahia","2 km NNE of Banco da Vitoria (5.7 km west of bridge over the Rio Fundão on road to Itabuna) on road leading to west edge of the Mata da Esperança","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727847' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146783","NY01146783_01","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02350325","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.",NA,"Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534382' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350325","NY02350325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1198363","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","O. Kosovsky","A. M. Amorim","6968","2007","03","25","South America","Brazil","Bahia","RPPN Serra Bonita. 10 km W de Camacan na estrada para Jacarecí, 6 km SW na estrada para a RPPN e Torre de transmissão. Trilha de acesso a RPPN","-39.5647","-15.3931","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198363","NY01198363_01","Camacan","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540964","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","J. G. Jardim","A. M. Amorim","3140","1999","09","29","South America","Brazil","Bahia","Distrito de Serra Grande. Parque Estadual da Serra do Condurú. Fazenda Oregon","-39.1072","-14.5053","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540964","NY00540964_01","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1114019","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","fluminensis","Aegiphila fluminensis","Vell.","G. G. Hatschbach","J. Cordeiro","1755","2000","01","18","South America","Brazil","Paraná","Praia de Leste","-48.5108","-25.6736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1256954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114019","NY01114019_01","Pontal do Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
