"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","identifiedBy","day","coordinatePrecision","geoFlag"
"1","2019-10-07 09:20:05-03","UEFS","HUEFS","101590","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Orchidaceae","Mesadenella","atroviridis","Mesadenella atroviridis","(Barb.Rodr.) Garay","Smidt, E.C.","654","2005","10","Brasil","Bahia","Itabuna","Pedra branca.","-39.483333","-13.866667","39W29'","13S52'","Mata atlântica.","HUEFS0101590","HUEFS0101590",NA,NA,NA,NA,NA
"2","2017-09-11 17:12:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Spiranthes","atroviridis","Spiranthes atroviridis","(Barb.Rodr.) Cogn.","Barbosa Rodrigues, J","s.n.",NA,NA,"Brazil","Minas Gerais",NA,"ad cacumen mont. Serra do Capytinga prope Rio Sapucahy prov. Minas Geraës",NA,NA,NA,NA,NA,NA,"P03P4N0043","Southern America",NA,NA,NA,NA
"3","2019-11-21 10:13:03-03","IBt","SP","8249","S","Plantae",NA,NA,NA,"Orchidaceae","Cyclopogon","atroviridis","Cyclopogon atroviridis","Barb.Rodr.","Gehrt, A","s.n.","1922","05","Brasil","São Paulo","Santo André","Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,"Hoehne, FC","06","27258","auto"
"4","2019-11-21 10:13:03-03","IBt","SP","29068","S","Plantae",NA,NA,NA,"Orchidaceae","Cyclopogon","atroviridis","Cyclopogon atroviridis","Barb.Rodr.","Edwall, G","CGG2561","1894","07","Brasil","São Paulo","São João da Boa Vista","Em cultivo da Comissão","-46.7900009155273","-21.9599990844727",NA,NA,NA,"SP029893","SP029893",NA,NA,"20","17205","auto"
"5","2019-11-21 10:13:34-03","IBt","SP","17207","S","Plantae",NA,NA,NA,"Orchidaceae","Mesadenella","atroviridis","Mesadenella atroviridis","(Barb.Rodr.) Garay","Kuhlmann, M","s.n.","1926","04","Brasil","São Paulo","Cubatão","Raiz da Serra","-46.4199981689453","-23.8899993896484",NA,NA,NA,NA,NA,NA,NA,"01","15123","auto"
