"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","885354","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","lagoense","Psidium lagoense","Kiaersk.","C. E. B. Proença","M. M. Arbo","7724","1997","01","27","South America","Brazil","Espírito Santo","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","-41.13","-20.3","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182151","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","M. Koscinsky","187","1933","11","09","South America","Brazil","São Paulo","Serra da Cantareira.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399176' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182151","NY01182151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182545","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","L. O. Williams","8061","1945","09","25","South America","Brazil","Minas Gerais","Morro das Pedras, near Belo Horizonte","-43.2485756","-19.9480039","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182545","NY01182545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182308","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","G. G. Hatschbach","15252","1966","11","23","South America","Brazil","Paraná","Sítio do Belizário.","-49.0553","-25.3058",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182308","NY01182308_01","Campina Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182329","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","E. P. Heringer","2960","1979","07","18","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182329","NY01182329_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182316","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","G. G. Hatschbach","26839","1971","07","06","South America","Brazil","Paraná","Serra S'Ana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399681' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182316","NY01182316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617057","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg) Proença","C. E. B. Proença","J. A. Ratter","R4872","1983","11","16","South America","Brazil","São Paulo","Floresta de Angatuba. Instituto Florestal de SP","-48.42","-23.45",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617057","NY00617057_01","Angatuba","widgrenianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182343","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","W. Hoehne","s.n.","1945","10","10","South America","Brazil","São Paulo","Caieiras.","-46.740798","-23.374672",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401110' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182343","NY01182343_01","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00932488","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","C. E. B. Proença","L. O. Williams","7232","1945","05","31","South America","Brazil","Minas Gerais","Colonia Alfonso Pena in Belo Horizonte",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932488","NY00932488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1182210","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","W. R. Anderson","36053","1972","02","15","South America","Brazil","Minas Gerais","Serra do Espinhaço, foothills east and south of Pico do Itambé, about halfway between summit and Santo Antonio de Itambé","-43.3495","-18.4699","950","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182210","NY01182210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
