"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00878980","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","L. R. Noblick","A. M. Amorim","1529","South America","Brazil","Sergipe","Estância","Cerca de 19.4 km da BR-101 em direcao a Praia do Abais","-37.4381","-11.2683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=620897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878980","NY00878980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00568030","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes",NA,"R. de Lemos Fróes","12631","South America","Brazil","Bahia",NA,"Central portion of the State",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568030","NY00568030_01","1942","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674757","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","A. J. Henderson","P. da C. Gadelha Neto","3864","South America","Brazil","Bahia","Ilhéus","Ponta do Ramo","-39.043611","-14.526389","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3392174' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674757","NY02674757_01","2014","10","26","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02674759","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","A. J. Henderson","P. da C. Gadelha Neto","3864","South America","Brazil","Bahia","Ilhéus","Ponta do Ramo","-39.043611","-14.526389","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3919791' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674759","NY02674759_01","2014","10","26","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00568031","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","L. R. Noblick","L. R. Noblick","4702","South America","Brazil","Bahia","Esplanada","5 km W of the village of Altamira.","-37.95","-11.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568031","NY00568031_01","1988","12","01","100","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02674758","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","A. J. Henderson","P. da C. Gadelha Neto","3864","South America","Brazil","Bahia","Ilhéus","Ponta do Ramo","-39.043611","-14.526389","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3919790' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674758","NY02674758_01","2014","10","26","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00878981","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes",NA,"A. M. Amorim","1529","South America","Brazil","Sergipe","Estância","Cerca de 19.4 km da BR-101 em direcao a Praia do Abais","-37.4381","-11.2683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878981","NY00878981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00568032","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","M.Moraes","M. Moraes Ramírez","L. A. Mattos Silva","3023","South America","Brazil","Sergipe","Estância","Rodovia Estância/Abais, com entrada no km 11 da Rod. BR. 101 (Trecho Estância/Aracajú); 20 km ao Leste do entrocamento.","-37.2772","-11.2583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568032","NY00568032_01","1994","06","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:03-03","UFRJ","RFA","39956","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","Moraes","Rosana C. Lopes","R.C. Lopes",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","APA Grumari, Rua Santa Beatriz, beira da estrada.","-43.533889","-23.048889",NA,"Palmeira ca. 2m de altura, folha ca. 1,80m, frutos maduros marrons. Comum no local.","RFA32301",NA,"2014","04","08",NA,NA,"2014","04","08","43º32'2''W","23º2'56''S",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:09:23-03","UFBA","ALCB","109724","PreservedSpecimen","Plantae","Dicotyledon",NA,"Arecaceae","Allagoptera","brevicalyx","Allagoptera brevicalyx","Moraes","Guedes, ML","Guedes, ML; Alunos de Botânica III","20724","Southern America","Brasil","Bahia","Lauro de Freitas","Região Metropolitana Salvador, dunas de área de preservação UNIDUNAS","-38.330833","-12.921667",NA,"Caule subterrâneo. Folhas emergindo do solo. Inflorescência interfoliar, espiciforme, protegido por bracteas","ALCB009991","ALCB009991 ALCB009991_1","2013","07","06",NA,NA,"2013","07",NA,"-38.330833","-12.921667",NA,NA,NA,NA,NA,NA
