"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00836205","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","L. Aristeguieta","H. S. Irwin","14107","1966","03","19","South America","Brazil","Distrito Federal","Brasília","Setor Industrial, ca. 5 km W of Brasília","-47.95","-15.8","1000","1000","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836205","NY00836205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02431607","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.",NA,"H. S. Irwin","26009","1970","02","04","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, ca. 5 km W. of Paracatú","-46.874698638916","-17.2222003936768","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979930' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431607","NY02431607_01","72344","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","680041","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","W. Morawetz; H. Rainer","W. R. Anderson","7952","1973","03","25","South America","Brazil","Goiás","São João d'Aliança","3-4 km NE of São João da Aliança. Serra Geral do Paraná.","-47.52","-14.68","1070","1070","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680041","NY00680041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02685710","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","J. A. Ratter","H. S. Irwin","25985","1970","02","04","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 5 km N.W. of Paracatú","-46.8727778","-17.22555","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2242506' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685710","NY02685710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-01-25 10:17:00-02","NY","NYBG","02431608","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"Rio Pardo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979931' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431608","NY02431608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1099240","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","P. J. M. Maas; A. K. van Setten","M. N. F. da Silva","128","1983","04","27","South America","Brazil","Pará","Itaituba","Serra do Cachimbo, Base aérea, depois do Aeroporto do Cachimbo, 5 km, margem do rio Formiga. Ilha de mata alta.","-55.9833","-4.2761",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099240","NY01099240_01 NY01099240_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836230","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","L. Aristeguieta","H. S. Irwin","13891","1966","03","11","South America","Brazil","Distrito Federal","Brasília","West margin of Lagoa Paranoá","-47.83","-15.78","975","975","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836230","NY00836230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00836232","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","L. Aristeguieta","H. S. Irwin","16574","1966","06","04","South America","Brazil","Mato Grosso",NA,"Ca. 94 km. N. of Xavantina. Serra do Roncador.","-52.07","-13.87","550","550","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836232","NY00836232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02685711","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","J. A. Ratter","H. S. Irwin","25985","1970","02","04","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 5 km N.W. of Paracatú","-46.8727778","-17.22555","800","800","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2975899' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","868522","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","monticola","Annona monticola","Mart.","Unspecified Determiner","C. Ehringhaus","1029","1999","06","03","South America","Brazil","Acre","Xapuri","Reserva Extrativista Chico Mendes, Seringal Dois Irmãos, Colocação Já Começa","-68.3030556","-10.5644444",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868522","NY00868522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
