"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","413712","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","G. Ocampo Acosta","R. M. Harley","16168","1974","02","18","South America","Brazil","Bahia","6 km from Filadelfia on the BA 385 to Itiuba","-40.07","-10.75","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413712","NY00413712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015706","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","G. Ocampo Acosta","R. M. Harley","19432","1977","03","06","South America","Brazil","Bahia","Milagres. Morro de Ouro or Morro São Cristovão.","-39.87","-12.9","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1111461' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015706","NY01015706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","413687","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","G. Ocampo Acosta","W. R. Anderson","36573","1972","03","04","South America","Brazil","Bahia","Serra ca. 22 km W of Barreiras","-44.99","-12.15","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=379544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413687","NY00413687_01","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03042326","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"A. J. Castelo","199","2012","08","05","South America","Brazil","Rio de Janeiro","Entre as Lagoas Comprida e Carapebus. Parque Nacional da Restinga de Jurubatiba","-41.6447222","-22.2758334",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3272405' target='other'> <mi>dwc_moreinfo</mi></a>","NY03042326","NY03042326_01","Macaé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01023261","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","G. Ocampo Acosta","H. S. Irwin","30486","1971","01","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023261","NY01023261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02796027","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","A. de O. P. Coelho","A. M. Amorim","2857","1999","04","15","South America","Brazil","Bahia","Estrada Oliveira dos Brejinhos-Agua Quente, ca. 6 km a partir de Oliveira dos Brejinhos","-42.8958","-12.3169",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233988' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796027","NY02796027_01","Oliveira dos Brejinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 05:27:00-03","NY","NYBG","413701","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides",NA,"R. L. Liesner","R. L. Liesner","12074","1981","05","19","South America","Venezuela","Sucre","Peninsula de Araya, ca. 22 km northwest of Cariaco by air, 7 to 14 km west of corner where road from Cariaco to Chacopata meets ocean; 6 to 13 km east of turnoff to new road","-63.73","10.65",NA,"50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","413700","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","D. H. Nicolson","G. Eiten","5014","1962","07","19","South America","Brazil","Bahia","Ca. 17 km south of village of Araci, along the road from Serrinha to Tucano","-39.0074996948242","-11.6641998291016",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413700","NY00413700_01","Serrinha","29840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 18:32:00-03","NY","NYBG","413702","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides",NA,"U. H. Eliasson","L. B. Holm-Nielsen","2071","1973","03","17","South America","Ecuador","Santa Elena","Between Santa Elena and San Pablo","-80.83","-2.17","3","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413702","NY00413702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","413699","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","D. H. Nicolson","G. Eiten","4945B","1962","07","16","South America","Brazil","Pernambuco","200 meters north of center of village of Terra Nova","-39.2583","-8.22",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413699","NY00413699_01","Parnamirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-10-21 19:24:00-02","NY","NYBG","342277","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","milleri","Portulaca milleri",NA,NA,"O. O. Miller","11","1901","07","31","South America","Venezuela",NA,"El Valle; Island of Margarita",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00342277","NY00342277_01",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00859347","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","rubricaulis","Portulaca rubricaulis","Kunth","P. Bernhardt","H. S. Irwin","19823","1968","02","11","South America","Brazil","Minas Gerais","Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859347","NY00859347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-06 11:42:43-03","UFPI-MRV","HDELTA","4283","PreservedSpecimen","Plantae",NA,NA,"Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"Pereira, V.S.; Lima, F.M.","122",NA,NA,NA,NA,"Brasil","Piauí","Pontal do Anel","-41.6669006347656","-2.87916994094849",NA,NA,NA,NA,"HDELTA004283",NA,"Luis Correia","59685","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:32:08-03","UFRJ","RFA","27270","PreservedSpecimen","Plantae",NA,NA,"Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","A. Oliveira-Paes Coelho","V. Alves",NA,NA,NA,NA,NA,"Brasil","Bahia","Ilha de Santa Bárbara, Abrolhos",NA,NA,NA,NA,NA,NA,"RFA19728",NA,"Bahia",NA,NA,NA,"2007","01","10",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:32:08-03","UFRJ","RFA","4399","PreservedSpecimen","Plantae",NA,NA,"Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.","A.Oliveira-Paes Coelho","E. Pereira","3840","1958","06","17",NA,"Brasil","Rio de Janeiro","Restinga de Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA25082",NA,"Rio de Janeiro","57442","auto",NA,"2007","01","10",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-19 15:44:52-03","UNEB","HUNEB","6714","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"Noblick, L.R.","2024","1980","09","20",NA,"Brasil","Bahia",NA,"-38.966667","-12.25",NA,NA,NA,NA,"HUNEB0006714",NA,"Feira de Santana",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","38W58'0''","12S15'0''",NA,NA,NA,NA,NA
"17","2019-11-19 15:44:55-03","UNEB","HUNEB","13947","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"M. V. Meiado","394","2011","02","16",NA,"Brasil","Pernambuco","Lote 12.","-37.273611","-8.047222","595","595",NA,"Fitofisionomia Savana Estépica. Solo Bruno não cálcico.","HUNEB0013947",NA,"Sertania",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","37W16'25''","8S2'50''",NA,NA,NA,NA,NA
"18","2019-11-19 15:44:55-03","UNEB","HUNEB","13948","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"F. F. S. Silva","295","2011","04","10",NA,"Brasil","Pernambuco","Salgueiro, Reservatório Negreiros.","-39.204167","-8.101944","454","454",NA,"Fitofisionomia Savana Estépica. Solo Neossolo Litólico Eutrófico.","HUNEB0013948",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","39W12'15''","8S6'7''",NA,NA,NA,NA,NA
"19","2019-11-19 15:44:55-03","UNEB","HUNEB","13959","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"J. Carvalho","2090","2009","03","25",NA,"Brasil","Pernambuco","Estrada para Terra Nova.","-39.366667","-8.394444","371","371",NA,"Fitofisionomia Savana Estépica. Solo Neossolo Regolítico Eutrófico. Área prioritaria para conservaçao: CA-459-Vale do Sertão Central-Insuficientemente conhecida.","HUNEB0013959",NA,"Cabrobó",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","39W22'0''","8S23'40''",NA,NA,NA,NA,NA
"20","2019-11-19 15:44:52-03","UNEB","HUNEB","3154","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"Oliveira, R.P.","44460","2000","04","03",NA,"Brasil","Bahia","Estrada para a Faz. Estrondo, ca. 11 km da cidade.","-45.279167","-11.076944","527","527",NA,"Borda da mata decídua. Na beira da estrada.","HUNEB0003154",NA,"Formosa do Rio Preto",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","45W16'45''","11S4'37''",NA,NA,NA,NA,NA
"21","2019-11-19 15:44:52-03","UNEB","HUNEB","6059","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"Noblick, L.R.","3672","1985","03","13",NA,"Brasil","Bahia","Faz.Suíbra (Boa Sorte), 18 Km a leste da Cidade, seguindo a ferovia.","-40.116667","-12.716667",NA,NA,NA,NA,"HUNEB0006059",NA,"Iaçu",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","40W7'0''","12S43'0''",NA,NA,NA,NA,NA
"22","2019-11-19 15:44:52-03","UNEB","HUNEB","6564","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Portulacaceae","Portulaca","halimoides","Portulaca halimoides","L.",NA,"Noblick, L.R.","3166","1984","04","22",NA,"Brasil","Bahia","40 km leste da cidade BA 046.","-40.183333","-12.75",NA,NA,NA,NA,"HUNEB0006564",NA,"Iaçu",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","40W11'0''","12S45'0''",NA,NA,NA,NA,NA
