"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940173","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","T. B. Cavalcanti","B. L. Stannard","CFCR6546","1984","11","29","South America","Brazil","Minas Gerais","Itacambira","7km de Itacambira a leste da cidade, na estrada p/ Montes Claros.","-43.3089","-17.0647","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940173","NY00940173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","39376","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.",NA,"I. Cordeiro","9113","1986","01","09","South America","Brazil","Minas Gerais","Itacambira","Itacambira: estrada para Montes Claros","-43.3089","-17.0647",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039376","NY00039376_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00940172","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","S. A. T. Graham","J. R. Pirani","2228","1988","02","14","South America","Brazil","Minas Gerais",NA,"Itacambira. Serra de Itacambira, 45 Km de Juramento.","-43.33","-17.07","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940172","NY00940172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:20-03","ESALQ","ESA","77666","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B. Cavalcanti","Cavalcanti, T.B.","Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","28168.0","2002","02","22",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 9 km de Itacambira. Campo rupestre.","-432.058","-170.245","1200","1200",NA,"Subarbusto, ca. 60 cm alt.; folhas viscosas; hipanto verde com ápice vermelho; pétalas vermelhas. Entre rochas.","ESA077666","ESA077666",NA,"2014","04","15","-432,058","-170,245",NA,NA,NA,NA
"5","2020-12-21 16:32:18-03","MBM","MBM","129519","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B. Cavalc.",NA,"Cordeiro, I.; Pirani, J.R.; Meguro, M.; Mello-Silva, R.; Pirani, J.R.; Meguro, M.; Mello-Silva, R.","CFCR9113","1986","01","09","Southern America","Brazil","Minas Gerais","Itacambira","Estrada para Montes Claros","-43.3088989257812","-17.0646991729736",NA,NA,NA,"Subarbusto crescendo entre rochas, heliófilo, ca. 60 cm alt. Hipanto verde, pétalas vermelhas.; Subarbusto heliófilo, ca. 60cm alt. Hipanto verde, pétalas vermelhas.; Entre rochas.","MBM129519","MBM129519","ISOTYPE",NA,NA,NA,NA,NA,"48089","auto",NA,NA
"6","2020-09-12 05:00:02-03","US","US","3232945","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B. Cavalc.",NA,"G. Hatschbach","42871","1980","3","22","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Pipiri (mun. Grão Mogol).",NA,NA,"1000",NA,NA,NA,"US03040092","US03040092_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"7","2020-09-02 16:31:19-03","Cenargen","CEN","51495","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","T. B. Cavalcanti","Vinícius Castro Souza","28168","2002","02","22",NA,"Brasil","MG","ITACAMBIRA","Estrada Itacambira - Juramento, ca. 9 Km de Itacambira.","-43.349444","-17.045833","1200","1200","Exsicatas","Folhas viscosas; hipanto verde com ápice vermelho; pétalas vermelhas. Entre rochas. Doação da Universidade de São Paulo. Escola Superior de Agricultura Luiz de Queiroz - ESALQ. Departamento de Botânica - Herbário ESA (77666). Piracicaba.","CEN00051495","CEN00051495",NA,"2003","09",NA,"-43.349444","-17.045833",NA,NA,NA,"1"
"8","2020-09-02 16:31:19-03","Cenargen","CEN","27451","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","T. B. Cavalcanti","Inês Cordeiro - CFCR","9113","1986","01","09",NA,"Brasil","MG","ITACAMBIRA","Estrada para Montes Claros.","-43.3088989257812","-17.0646991729736",NA,NA,"Exsicatas","ISOTYPUS. Subarbusto crescendo entre rochas, heliófilo. ca. 60 cm. alt. Hipanto verde, pétalas vermelhas. Doação Departamento de Botânica - Universidade de São Paulo. Flora de Campos Rupestres.","CEN00027451","CEN00027451","ISOTYPUS","2014",NA,NA,NA,NA,"48089","auto",NA,"1"
"9","2020-09-02 16:31:19-03","Cenargen","CEN","18915","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","S. Graham","José Rubens Pirani- CFCR","9173","1986","01","09",NA,"Brasil","MG","ITACAMBIRA","Estrada para Montes Claros.","-43.3088989257812","-17.0646991729736",NA,NA,"Exsicatas","Doação Departamento de Botânica. Universidade de São Paulo. Flora dos Campos Rupestres.","CEN00018915","CEN00018915",NA,"1997",NA,NA,NA,NA,"48089","auto",NA,"1"
"10","2019-11-13 11:23:59-03","USP","SPF","36146","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","rubrovirens","Cuphea rubrovirens","T.B.Cavalc.","Cavalcanti, TB","Stannard, BL","CFCR6546","1984","11","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"1200","1200",NA,NA,"SPF00036146",NA,NA,"1986","07",NA,NA,NA,NA,NA,NA,NA
