"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","470136","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","R. M. de Carvalho-Okano","C. A. L. de Oliveira","42","1984","07","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa, 741 FEEMA-CBRJ, próximo a casa do Leopoldino","-43.273873","-22.971901","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2063216","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"J. M. A. Braga","4149","1997","06","15","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Lago Azul, próximo da estrada.","-44.658","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364806' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063216","650","NY02063216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470140","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","R. M. de Carvalho-Okano","P. K. H. Dusén","1616","1903","02","06","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470140",NA,"NY00470140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","470137","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","R. M. de Carvalho-Okano","A. P. Duarte","5827","1961","05","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Sacopan, Lagoa Rodrigo de Freitas","-43.207919","-22.973835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470137",NA,"NY00470137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03188768","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"R. C. Araujo","7","2013","03","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3437744' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188768",NA,"NY03188768_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470138","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","R. M. de Carvalho-Okano","A. C. Filho","276","1980","07","09","South America","Brazil","São Paulo","Cunha","Reserva Florestal","-44.9599990844727","-23.0699996948242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470138",NA,"NY00470138_01","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470139","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","R. M. de Carvalho-Okano","A. C. Filho","276","1980","07","09","South America","Brazil","São Paulo","Cunha","Reserva Florestal","-44.9599990844727","-23.0699996948242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470139",NA,"NY00470139_01","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-05-17 10:20:00-03","NY","NYBG","02699777","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia",NA,NA,"J. M. A. Braga","4149","1997","06","15","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Lago Azul, próximo da estrada.","-44.566667","-22.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982968' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699777",NA,"NY02699777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:19-03","UFRJ","RFA","25040","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","A.J. Coutinho","A. Quinet","23/18","2000","07","02",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Taquara, Jacarepaguá.","-43.45","-22.9225",NA,"Arbusto, altura 3m, DAP 13cm, folha discolor verde, flores amarelo esverdeado, rara no local.","RFA35519","150",NA,NA,NA,"2001","08","22","43º26'60''W","22º55'21''S","150",NA,NA,NA,NA,NA
"10","2020-06-29 11:29:47-03","UFRJ","RFA","39507","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Finotti R.; Caruzo J.","50","2008","00","00",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Interior de fragmento florestal cujo o entorno é ocupado por propriedades particulares pequenas e pela Fazenda Recanto","-42.845833","-22.577222",NA,"Arvore de 6 metros de altura e PAP de 27,1 cm.","RFA24464","50",NA,NA,NA,NA,NA,NA,"42º50'45''W","22º34'38''S","50",NA,NA,NA,NA,NA
"11","2020-11-13 09:19:19-03","UFRJ","RFA","27375","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","A.J. Coutinho","A. Quinet","29/83","2001","04","04",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá/Santa Maria - Caminho do rio Pequeno.","-43.2075004577637","-22.9027996063232",NA,"Árvore, 2m de altura, 17de DAP, folha discolor verde, flores de inflorescência esverdeada, fruto imaturo verde, comum no local.","RFA35526","200",NA,"57442","auto","2001","08","22","43º22'63''W","22º55'62''S","200",NA,NA,NA,NA,NA
"12","2020-06-29 11:29:47-03","UFRJ","RFA","4234","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","P. Occhioni","P. Occhioni","1460","1958","04","17",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas da Sacopã","-43.2075004577637","-22.9027996063232",NA,"Árvore pequena","RFA36946",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:19:19-03","UFRJ","RFA","26430","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","A.J. Coutinho","A. Quinet","14/62","2001","01","07",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.391667","-22.379444",NA,"Árvore, 2,5m de altura, 21cm de DAP, folha verde discolor, comum no local.","RFA35521","800",NA,NA,NA,"2001","08","22","42º23'30''W","22º22'46''S","800",NA,NA,NA,NA,NA
"14","2020-11-13 09:19:19-03","UFRJ","RFA","26451","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","A.J. Coutinho","A. Quinet","35/62","2001","01","08",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.391667","-22.379444",NA,"Arbusto, 6m de altura, 20cm de DAP, folha verde, comum no local.","RFA35523","800",NA,NA,NA,"2001","06","18","42º23'30''W","22º22'46''S","800",NA,NA,NA,NA,NA
"15","2020-06-29 11:29:47-03","UFRJ","RFA","29586","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","A. Joffily","A. Joffily; J.M.A. Braga","21","2001","01","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa, reserva Florestal da FEEMA, próximo ao herbário de monocotiledôneas","-43.2075004577637","-22.9027996063232",NA,"Arbusto na sombra com flores brancas","RFA36928",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:29:47-03","UFRJ","RFA","15421","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"P. Occhioni","6148","1974","09",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, próximo a Santo Aleixo","-43.2075004577637","-22.9027996063232",NA,"Arbusto; frutos maduros","RFA36947",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 08:57:29-03","NBC","NL-BOTANY","U.1194840","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Custodio Filho A; et al.",NA,"1980","07","09","Southern America","Brazil",NA,NA,"Estado de São Paulo, Cunha, Reserva Florestal.","-45","-23.25",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1194840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1194840",NA,"NL-U1194840",NA,NA,NA,NA,NA,"-45.0","-23.25",NA,"Magnoliopsidae",NA,NA,NA,NA
