"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:35:52-03","E","E","334784","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361346","<a href=http://data.rbge.org.uk/herb/E00334784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:52-03","E","E","334785","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Tweedie, John","Temperate South America","UY",NA,"Banda Oriental","herbarium specimen of unspecif","BGBASE:361347","<a href=http://data.rbge.org.uk/herb/E00334785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","487224","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","E. Pereira","South America","Brazil","Bahia","22 km de Tamburí rumo Joao Amaro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487224","Magnoliophyta","Caryophyllales","Schinz ex Pedersen","J. A. Mears","9739","1965","01","25","Iaçú","-40.21","-12.76","NY00487224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 18:37:00-02","NY","NYBG","487225","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","T. M. Pedersen","South America","Argentina","Entre Ríos",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487225","Magnoliophyta","Caryophyllales",NA,"J. A. Mears","4739","1957","12","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 18:37:00-02","NY","NYBG","487226","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Y. Peredo","South America","Bolivia","Santa Cruz","Laguna del turco (Cabezas)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487226","Magnoliophyta","Caryophyllales",NA,"J. A. Mears","156","1945","02","02",NA,NA,NA,NA,"420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674537","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Pedersen TM","Southern America","Argentina",NA,"Plantae Argentinae. About 5 km E. of Gualeguaychú, on road to Fray Bentos. Dep. Uruguay, Prov. Entre Rios.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674537",NA,"Caryophyllales","Schinz ex Pedersen",NA,NA,"1978","12","30",NA,NA,NA,"NL-L1674537",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674538","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Pedersen TM","Southern America","Argentina",NA,"Plantae Argentinae. Hickmann. Dep. Gral. San Martín. Prov. Salta.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674538",NA,"Caryophyllales","Schinz ex Pedersen",NA,NA,"1980","06","01",NA,NA,NA,"NL-L1674538",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674540","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Pedersen TM","Southern America","Argentina",NA,"Plantae Argentinenses. Estancia,,La Yela''. Dep. Empedrado. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674540 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674540",NA,"Caryophyllales","Schinz ex Pedersen",NA,NA,"1974","08","21",NA,NA,NA,"NL-L1674540",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.3709959","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Pedersen TM","Southern America","Argentina",NA,"Plantae Argentinae. About 15km S of Esquina, on road to La Paz. Dep. Esquina. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709959",NA,"Caryophyllales","Schinz ex Pedersen",NA,NA,"1982","01","17",NA,NA,NA,"NL-L3709959",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054570","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","kurtzii","Alternanthera kurtzii","Krapovickas A; Cristóbal CL; et al.","Southern America","Argentina","Corrientes",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054570",NA,"Caryophyllales","Schinz ex Pedersen",NA,NA,"1974","12","01",NA,NA,NA,"NL-U1054570",NA,NA,"Magnoliopsidae","U 0082293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
