"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","verbatimLongitude","verbatimLatitude","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","806808","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","R. Schmalz","160a","1904","04","South America","Brazil","Santa Catarina","Tresbarrasserra.","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806808","NY00806808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","806807","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","M. Wacket","288","1908",NA,"South America","Brazil","São Paulo","Serra do Mar.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806807","NY00806807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:33:18-03","MN","R","212137","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","glaziovii","Polypodium glaziovii","Baker","Hoehne, F.C.","3831","1911","03",NA,"Brasil","Mato Grosso","Chapada (Bocaina do Manuel Antonio)",NA,NA,NA,"Comissão Rondon (Mato Grosso - Acre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:33:18-03","MN","R","212138","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","glaziovii","Polypodium glaziovii","Baker","Hoehne, F.C.","3832","1911","03",NA,NA,NA,NA,NA,NA,NA,"Concorda envia det. 64 Fl. Mart. Determinção em dúvida por falta de (?)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:33:18-03","MN","R","212145","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","glaziovii","Polypodium glaziovii","Baker","Sampaio, A.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Santos, A.A.","1983","04","26","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA
"6","2019-11-21 14:53:10-03","UFJF","CESJ","64259","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","V.A.O. Dittrich; A.A. Vale; J.H.C. Ribeiro; L.D. Santana","1891","2014","05","América do Sul","Brasil","Minas Gerais","Parque Estadual da Serra do Papagaio, Picada para o Pico do Papagaio. Coordenadas geográficas e altitude aproximadas.","1950","1950",NA,"Holoepífito a 1,5m de altura em Floresta Ombrófila Densa","CESJ064259",NA,"V.A.O. Dittrich","2014","05",NA,"Aiuruoca","-44.649167","-22.0425",NA,NA,"11","-44.649167","-22.0425",NA,NA
"7","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567879","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Glaziou, A.",NA,"1885","8",NA,"Brésil",NA,"Brasiliae centr. et Austr. Apiahy. Chacara del Oro",NA,NA,"hb","Glaziou acced. 1901, Christ reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567879' target='other'> <mi>dwc_moreinfo</mi></a>","P01567879","P01567879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"722",NA
"8","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567880","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Glaziou, A.",NA,NA,NA,NA,"Brésil",NA,"Brasiliae centr. et Austr.",NA,NA,"hb","Glaziou acced. 1901, Christ reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567880' target='other'> <mi>dwc_moreinfo</mi></a>","P01567880","P01567880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567881","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","[illisible], L.",NA,"1951","6",NA,"[Brésil]",NA,"Serra do Caraca",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567881' target='other'> <mi>dwc_moreinfo</mi></a>","P01567881","P01567881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1869",NA
"10","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567882","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Annies, J.",NA,"1905","2",NA,"Brésil",NA,"Est. Parana, Villa Nova",NA,NA,"hb","Filices austro-brasil. exsicc. Nr. 108a, Christ reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567882' target='other'> <mi>dwc_moreinfo</mi></a>","P01567882","P01567882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"11","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567883","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Dusén, P.",NA,"1904","2",NA,"Brésil",NA,"Brasilia, Parana. Serra do Mar",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567883' target='other'> <mi>dwc_moreinfo</mi></a>","P01567883","P01567883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"3651",NA
"12","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567884","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Dusén, P.",NA,"1904","6",NA,"[Brésil]",NA,"Rio de Janeiro, Tijuca",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567884' target='other'> <mi>dwc_moreinfo</mi></a>","P01567884","P01567884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,"5022",NA
"13","2015-09-03 18:29:44-03","MNHN","RECOLNAT_MNHN_P","P01567885","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Ule",NA,"1883","1",NA,"Brésil",NA,"Brasil. Joinville",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01567885' target='other'> <mi>dwc_moreinfo</mi></a>","P01567885","P01567885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"27",NA
"14","2016-11-08 15:42:38-02","MNHN","RECOLNAT_MNHN_P","P01579458","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Schenck",NA,"1886","9",NA,"Brésil",NA,"Prov. Sa Cath. Blumenau",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579458' target='other'> <mi>dwc_moreinfo</mi></a>","P01579458","P01579458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,"95",NA
"15","2015-09-03 18:30:02-03","MNHN","RECOLNAT_MNHN_P","P01579459","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","[Schwacke]",NA,"1902","5",NA,"[Brésil]",NA,"Minas Geraes. im «…» Corrego do Defuncto («…» O. Preto)",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579459' target='other'> <mi>dwc_moreinfo</mi></a>","P01579459","P01579459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,"14607",NA
"16","2016-11-08 14:40:50-02","MNHN","RECOLNAT_MNHN_P","P01579461","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Wacket, M.",NA,"1905","2",NA,"Brésil",NA,"Est. Sao Paulo, Rio Grande",NA,NA,"hb","Exsicc. Nr. 108. Reçu le 1 décembre 1905 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579461' target='other'> <mi>dwc_moreinfo</mi></a>","P01579461","P01579461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"17","2016-11-08 15:26:06-02","MNHN","RECOLNAT_MNHN_P","P01579462","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Reineck",NA,"1899","1",NA,"Brésil",NA,"Sudamerika. Süd-Brasilien",NA,NA,"hb","Reçu le 12 octobre 1908 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579462' target='other'> <mi>dwc_moreinfo</mi></a>","P01579462","P01579462_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"18","2016-11-08 14:01:13-02","MNHN","RECOLNAT_MNHN_P","P01579463","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","[Schoeller]",NA,"1891","1",NA,"Brésil",NA,"S. Brasil. Blumenau",NA,NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579463' target='other'> <mi>dwc_moreinfo</mi></a>","P01579463","P01579463_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"19","2016-11-08 14:26:31-02","MNHN","RECOLNAT_MNHN_P","P01579464","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Wettstein|Schiffner",NA,"1901","7",NA,"Brésil",NA,"Brasilia. Prov Sao Paulo. Prope Rio Grande ad Sao Paulo Railway","800",NA,"hb","Reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579464' target='other'> <mi>dwc_moreinfo</mi></a>","P01579464","P01579464_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"20","2016-11-08 13:50:24-02","MNHN","RECOLNAT_MNHN_P","P01579465","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ceradenia","glaziovii","Ceradenia glaziovii","(Baker) Labiak","Wacket, M.",NA,"1905","2",NA,"Brésil",NA,"Est. Sao Paulo, Rio Grande",NA,NA,"hb","Exsicc. Nr. 108, Christ reçu le 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01579465' target='other'> <mi>dwc_moreinfo</mi></a>","P01579465","P01579465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
